chunk_id,speech_id,leader,language,speech_date,speech_type,source,chunk_index,n_chunks_in_speech,relative_position,chunk_text,token_count,word_count,paragraph_indices,is_short
erdogan1_c000,erdogan1,erdogan,tr,,symposium_speech,,0,13,0.0,"Değerli kardeşlerim Türkiye'nin tam da Cumhurbaşkanlığı sistemine geçmek için tarihi karar arefesinde olduğu bir dönemde tertip edilen bu sempozyum için Seta yöneticilerini tebrik ediyorum.

Her ülke kendi şartlarına özgü bir yönetim biçimine sahiptir ülkemize baktığımızda son 200 yü yılda çok farklı tecrubeleri ardı ardına yaşadığımıza şahit oluyoruz.",110,47,0;1,False
erdogan1_c001,erdogan1,erdogan,tr,,symposium_speech,,1,13,0.083,"Kardeşlerim bu süreçte ülkemiz savaşlar erimiş küçülmüş çok ağır bedeller ödemiştir Çanakkale Zaferi artık Bıçağın kemiğe dayandığı noktayı ifade eder Çanakkale'den aldığımız ilham ve güçle Kurtuluş savaşımızı verdik.

Avrupa ülkeleri monarşi ile Demokrasiyi birlikte yaşatma yoluna giderken biz hanedanı ülke dışına çıkartıp Cumhuriyeti ilan ettik önce tek partili buraya dikkat edelim ardından da çok partili bir hükümet sistemiyle ülkemiz bugünlere kadar geldi.",150,62,2;3,False
erdogan1_c002,erdogan1,erdogan,tr,,symposium_speech,,2,13,0.167,"Çok partili siyasi hayata geçtiğimiz 1950 yılından sonra demokrasimizi hep darbeler ve Vesayet yönetimlerinin gölgesi altında ayakta tutmaya çalıştık.

Bu çarpıklıklar en önemli sonucu istikrar ve güven ortamının sürekli tehdid altında olmasıdır siyasi istikrarsızlık beraberinde ekonomik ve sosyal sorunları da getirmektedir.",106,41,4;5,False
erdogan1_c003,erdogan1,erdogan,tr,,symposium_speech,,3,13,0.25,Son 200 yıllık arayışlarımız cumhuriyet dönemindeki tecrübelerimiz ve özellikle son yıllarda yaşadıklarımız bize bir gerçeği gösteriyor şayet ülke ve millet olarak hedeflerimize ulaşmak istiyorsak Öncelikle güçlü Etkin yetki ve sorumluluk sahibinin tam olarak belli olduğu bir yönetim sistemine ihtiyacımız vardır.,88,40,6,False
erdogan1_c004,erdogan1,erdogan,tr,,symposium_speech,,4,13,0.333,"Esasen Bugün üzerinde konuştuğumuz Cumhurbaşkanlığı sistemi konusu öyle bir anda bir günde bir yılda ortaya çıkmış değildir gerisinde işte böylesine Derin ve düşündürücü bir arka plan vardır.

Tartıştığımız sistem Türkiye'nin ve Türk milletinin Asırlardır devam eden Beka sorununun en doğru çözüm yol mesele budur.",95,44,7;8,False
erdogan1_c005,erdogan1,erdogan,tr,,symposium_speech,,5,13,0.417,Bütün bu tecrübeleri yaşanmış Olduğumuz bu olayları tarihi okumaları bir araya getirdiğimizde ülkemizin Yeni anayasaya ve onunla birlikte yeni bir yönetim sistemine olan ihtiyacı gün gibi ortaya çıkıyor kardeşlerim görüldüğü gibi Bugün üzerinde konuştuğumuz Cumhurbaşkanlığı sisteminin rejimle ne tek adamlıkla ne şahsilik le bir ilgisi vardır.,107,46,9,False
erdogan1_c006,erdogan1,erdogan,tr,,symposium_speech,,6,13,0.5,"Mesele ülke ve millet olarak geçmişte yaşadığımız tecrübeler ışığında kendimize çok daha güçlü çok daha dirençli hedeflerimizi gerçekleştirmeye çok daha uygun bir yönetim sistemi kurma çabasıdır.

Cumhurbaşkanlığı sisteminin en büyük güvencesi gerçek anlamda demokratik olmasıdır bu sistemde milletimizin yarısından fazlasının teveccühüne Mazar olamayan hiç kimsenin ülkeyi yönetme ihtimali yoktur.",117,49,10;11,False
erdogan1_c007,erdogan1,erdogan,tr,,symposium_speech,,7,13,0.583,"Biz burada bir sistem mücadelesini veriyoruz olay bir sistem mücadelesidir Erdoğan'dan sonrası ne olacak millet ne derse o olacak Allah ne derse o olacak.

Daha da önemlisi Türkiye bu sisteme doğru ilk adımlarını zaten atmış başarıyla da neticelendirmek 2007 yılındaki anayasa değişikliğinden söz ediyorum.",92,44,12;13,False
erdogan1_c008,erdogan1,erdogan,tr,,symposium_speech,,8,13,0.667,"Dolayısıyla anayasa değişikliğiyle konuyu şahsileştirmek yönetimi bir sisteme bağlıyoruz.

Kardeşlerim ruh olmayınca beden cesettir Bu konuda da milletimize işin ruhunu özünü esasını anlatmazsa tek başına anayasa değişikliği hükümleri kuru hukuki ifadelerden ibaret kalır.",93,33,14;15,False
erdogan1_c009,erdogan1,erdogan,tr,,symposium_speech,,9,13,0.75,"İşte bu anlayışta halk oylaması tarihine kadar 16 Nisan'a kadar Cumhurbaşkanlığı hükümeti sistemine Evet diyenler olarak ülkemizi karış karış gezip tüm iletişim imkanlarını kullanıp yeni sistemi anlatmalıyız.

Niye tek millet için Evet tek bayrak için evet tek vatan için Evet tek devlet için Evet.",91,44,16;17,False
erdogan1_c010,erdogan1,erdogan,tr,,symposium_speech,,10,13,0.833,"Cumhurbaşkanlığı sisteminin özü yönetimin doğrudan millete veriliyor olmasıdır.

Yürütme görevini ifa edecek olan Cumhurbaşkanı gücünü aldığı Millete karşı sorumlu olacağı için attığı her adımda gözü kamuoyunun üzerinde olmak zorundadır.

Biz ne dedik Bizimki Türk tipi bir Cumhurbaşkanlığı sistemi olacak aynısı olmak durumunda değiliz.",104,43,18;19;20,False
erdogan1_c011,erdogan1,erdogan,tr,,symposium_speech,,11,13,0.917,"Cumhurbaşkanı yani Başkan yürütmeyi o temsil edecek kabinesini kuracak yeri geldiğinde görevden alacak atamasını yapacak ama hesabını da kime verecek millete verecek millete verecek.

Yürütmenin halihazırda iki olan başı yani cumhurbaşkanı ve başbakan Artık tek isimde birleşiyor Böylece milletimiz yetkiyi kime verdiğini sorumluluğu kimin üstlendiğini Dolayısıyla gerektiğinde kimden hesap soracağını başından biliyor.",132,52,21;22,False
