leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.6073622678742464,0.5206125378608704,0.7208256125450134,0.05268963426351547,5
erdogan,cooperation_solidarity_framing,pct,0.5117766825459402,0.39568373560905457,0.6403241753578186,0.06392482668161392,5
macron,conflict_threat_framing,pct,0.49877230314822074,0.4527148902416229,0.5465819835662842,0.025940589606761932,4
macron,cooperation_solidarity_framing,pct,0.43120386460803667,0.38299041986465454,0.4794172942638397,0.02508208155632019,4
merkel,conflict_threat_framing,pct,0.35407321387121204,0.2907196879386902,0.4406586289405823,0.03942065313458443,4
merkel,cooperation_solidarity_framing,pct,0.5186154289670455,0.44078946113586426,0.6001794338226318,0.04198164865374565,4
putin,conflict_threat_framing,pct,0.4261550557727273,0.35587993264198303,0.490430623292923,0.03394767642021179,4
putin,cooperation_solidarity_framing,pct,0.6334217973143939,0.5276988744735718,0.7391447424888611,0.05357261002063751,4
trump,conflict_threat_framing,pct,0.5038461692038515,0.4105968177318573,0.5850425958633423,0.04147937893867493,3
trump,cooperation_solidarity_framing,pct,0.48903124628057887,0.33936402201652527,0.6637964248657227,0.07678806036710739,3
erdogan,conflict_threat_framing,rate,0.3710470085470085,0.2227170467376709,0.567105233669281,0.08906887471675873,5
erdogan,cooperation_solidarity_framing,rate,0.2301169590643275,0.08421052992343903,0.41959065198898315,0.08788978308439255,5
macron,conflict_threat_framing,rate,0.23817035905271197,0.11266233772039413,0.33361345529556274,0.05930272489786148,4
macron,cooperation_solidarity_framing,rate,0.16827349121466767,0.10545454174280167,0.2442857176065445,0.037653788924217224,4
merkel,conflict_threat_framing,rate,0.1268939393939394,0.022727273404598236,0.2708333432674408,0.06145153194665909,4
merkel,cooperation_solidarity_framing,rate,0.35227272727272724,0.25,0.5,0.06257747113704681,4
putin,conflict_threat_framing,rate,0.15340909090909088,0.0,0.3068181872367859,0.0791395828127861,4
putin,cooperation_solidarity_framing,rate,0.37462121212121213,0.21590909361839294,0.5634375214576721,0.09620831906795502,4
trump,conflict_threat_framing,rate,0.1260504201680672,0.0,0.23529411852359772,0.0558658093214035,3
trump,cooperation_solidarity_framing,rate,0.1967787114845938,0.0,0.4117647111415863,0.0969587042927742,3
erdogan,conflict_threat_framing,cos,0.31369010570687134,0.29069051146507263,0.343203604221344,0.013502913527190685,5
erdogan,cooperation_solidarity_framing,cos,0.3459210144656995,0.3167297840118408,0.3781835436820984,0.016249826177954674,5
macron,conflict_threat_framing,cos,0.28529191449216956,0.27552172541618347,0.29583650827407837,0.0055551715195178986,4
macron,cooperation_solidarity_framing,cos,0.32626386486848735,0.31571903824806213,0.33682364225387573,0.005786912515759468,4
merkel,conflict_threat_framing,cos,0.24993966649621208,0.2341219037771225,0.272057443857193,0.009997047483921051,4
merkel,cooperation_solidarity_framing,cos,0.34402815590909086,0.32750624418258667,0.3624446988105774,0.0090819476172328,4
putin,conflict_threat_framing,cos,0.26834770973484845,0.2531144917011261,0.28230568766593933,0.007517779245972633,4
putin,cooperation_solidarity_framing,cos,0.36996794771590913,0.34686705470085144,0.3931097984313965,0.01176345907151699,4
trump,conflict_threat_framing,cos,0.28464628072128845,0.2634022533893585,0.30490642786026,0.009791200049221516,3
trump,cooperation_solidarity_framing,cos,0.34082129165032676,0.3072358965873718,0.3855076730251312,0.01888335682451725,3
erdogan,conflict_threat_framing,nli,0.12431859670479946,0.07948510348796844,0.1693447381258011,0.023712055757641792,5
erdogan,cooperation_solidarity_framing,nli,0.2652495845509931,0.1664334237575531,0.3579525351524353,0.049809254705905914,5
macron,conflict_threat_framing,nli,0.11554621785526027,0.09528028219938278,0.14894559979438782,0.014836631715297699,4
macron,cooperation_solidarity_framing,nli,0.32494119561328594,0.24083930253982544,0.37336301803588867,0.03615794703364372,4
merkel,conflict_threat_framing,nli,0.02605735667121205,0.0031784484162926674,0.04893626645207405,0.011341872625052929,4
merkel,cooperation_solidarity_framing,nli,0.5096648541086364,0.45234155654907227,0.5796118974685669,0.030931122601032257,4
putin,conflict_threat_framing,nli,0.03757355899718555,0.004779037553817034,0.07230983674526215,0.018013181164860725,4
putin,cooperation_solidarity_framing,nli,0.3941469400621212,0.3006080389022827,0.5302900075912476,0.06470714509487152,4
trump,conflict_threat_framing,nli,0.05240257714979104,0.0026070764288306236,0.10391464084386826,0.023813823238015175,3
trump,cooperation_solidarity_framing,nli,0.4240573255691176,0.37354883551597595,0.47184228897094727,0.023114774376153946,3
