leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.487553325130893,0.39181816577911377,0.6022427678108215,0.05585607513785362,5
erdogan,cooperation_solidarity_framing,pct,0.4157202210095524,0.3613400161266327,0.4838988780975342,0.03234606981277466,5
macron,conflict_threat_framing,pct,0.5603805894995117,0.4927443563938141,0.6667531132698059,0.04733454808592796,4
macron,cooperation_solidarity_framing,pct,0.6702588982447212,0.602695882320404,0.7524353265762329,0.03811061382293701,4
merkel,conflict_threat_framing,pct,0.6444938681439394,0.5635217428207397,0.7254660129547119,0.04048922657966614,4
merkel,cooperation_solidarity_framing,pct,0.7064082451780304,0.6563870906829834,0.7739608287811279,0.030787916854023933,4
putin,conflict_threat_framing,pct,0.48935780905681814,0.40193256735801697,0.5712320804595947,0.04170598089694977,4
putin,cooperation_solidarity_framing,pct,0.42759046287499997,0.32462993264198303,0.5395559072494507,0.05230048671364784,4
trump,conflict_threat_framing,pct,0.2501535710591269,0.08826754242181778,0.4366292655467987,0.0823431983590126,3
trump,cooperation_solidarity_framing,pct,0.13994391516862745,0.03344298526644707,0.27854102849960327,0.05889289453625679,3
erdogan,conflict_threat_framing,rate,0.2097559604138551,0.07682186365127563,0.3838450312614441,0.07868999987840652,5
erdogan,cooperation_solidarity_framing,rate,0.108406432748538,0.03274853900074959,0.2144736796617508,0.04908788576722145,5
macron,conflict_threat_framing,rate,0.32108479755538577,0.19090908765792847,0.49117645621299744,0.08080647140741348,4
macron,cooperation_solidarity_framing,rate,0.44494270435446903,0.3028571307659149,0.6644384860992432,0.09308985620737076,4
merkel,conflict_threat_framing,rate,0.39393939393939387,0.25,0.5227272510528564,0.07184931635856628,4
merkel,cooperation_solidarity_framing,rate,0.48484848484848486,0.3011363744735718,0.7178030014038086,0.1013018935918808,4
putin,conflict_threat_framing,rate,0.1996212121212121,0.17424242198467255,0.23295454680919647,0.015949765220284462,4
putin,cooperation_solidarity_framing,rate,0.11439393939393938,0.0416666679084301,0.18333333730697632,0.038588330149650574,4
trump,conflict_threat_framing,rate,0.0707282913165266,0.0,0.1764705926179886,0.043686624616384506,3
trump,cooperation_solidarity_framing,rate,0.0,0.0,0.0,0.0,3
erdogan,conflict_threat_framing,cos,0.4378854653707265,0.42210763692855835,0.4575748145580292,0.00938104372471571,5
erdogan,cooperation_solidarity_framing,cos,0.4629660706198268,0.45013636350631714,0.47756412625312805,0.0070564779452979565,5
macron,conflict_threat_framing,cos,0.44745288861325433,0.4361375868320465,0.4667348265647888,0.008327176794409752,4
macron,cooperation_solidarity_framing,cos,0.510105097054469,0.4960525631904602,0.5274777412414551,0.007665491662919521,4
merkel,conflict_threat_framing,cos,0.46234644437499994,0.4499569535255432,0.47473591566085815,0.006278774235397577,4
merkel,cooperation_solidarity_framing,cos,0.5148663772727273,0.5048016309738159,0.5264501571655273,0.005720055196434259,4
putin,conflict_threat_framing,cos,0.4381135321439394,0.42635154724121094,0.44937530159950256,0.0057661207392811775,4
putin,cooperation_solidarity_framing,cos,0.4644321999431818,0.4418882727622986,0.4852096736431122,0.010359021835029125,4
trump,conflict_threat_framing,cos,0.39643289811624643,0.36890318989753723,0.4299243688583374,0.01451175007969141,3
trump,cooperation_solidarity_framing,cos,0.3978688976283846,0.3607012927532196,0.43786320090293884,0.018156521022319794,3
erdogan,conflict_threat_framing,nli,0.12431859670479946,0.07948510348796844,0.1693447381258011,0.023712055757641792,5
erdogan,cooperation_solidarity_framing,nli,0.2652495845509931,0.1664334237575531,0.3579525351524353,0.049809254705905914,5
macron,conflict_threat_framing,nli,0.11554621785526027,0.09528028219938278,0.14894559979438782,0.014836631715297699,4
macron,cooperation_solidarity_framing,nli,0.32494119561328594,0.24083930253982544,0.37336301803588867,0.03615794703364372,4
merkel,conflict_threat_framing,nli,0.02605735667121205,0.0031784484162926674,0.04893626645207405,0.011341872625052929,4
merkel,cooperation_solidarity_framing,nli,0.5096648541086364,0.45234155654907227,0.5796118974685669,0.030931122601032257,4
putin,conflict_threat_framing,nli,0.03757355899718555,0.004779037553817034,0.07230983674526215,0.018013181164860725,4
putin,cooperation_solidarity_framing,nli,0.3941469400621212,0.3006080389022827,0.5302900075912476,0.06470714509487152,4
trump,conflict_threat_framing,nli,0.05240257714979104,0.0026070764288306236,0.10391464084386826,0.023813823238015175,3
trump,cooperation_solidarity_framing,nli,0.4240573255691176,0.37354883551597595,0.47184228897094727,0.023114774376153946,3
