leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.6090246363552984,0.5281364321708679,0.7221727967262268,0.05251485854387283,5
erdogan,cooperation_solidarity_framing,pct,0.5156286943402476,0.3967711627483368,0.6496256589889526,0.06581876426935196,5
macron,conflict_threat_framing,pct,0.48734163002486075,0.4246506094932556,0.5503771901130676,0.03317326679825783,4
macron,cooperation_solidarity_framing,pct,0.4169650689104166,0.3620297908782959,0.4719003438949585,0.02838132157921791,4
merkel,conflict_threat_framing,pct,0.3559421792833333,0.29789969325065613,0.44275861978530884,0.03856496140360832,4
merkel,cooperation_solidarity_framing,pct,0.4974817166818182,0.4375,0.5477586388587952,0.029619436711072922,4
putin,conflict_threat_framing,pct,0.41962513367424237,0.35495689511299133,0.47360241413116455,0.029398616403341293,4
putin,cooperation_solidarity_framing,pct,0.6419278979015152,0.5148903131484985,0.768965482711792,0.06376122683286667,4
trump,conflict_threat_framing,pct,0.5837643716904762,0.4051724076271057,0.7241379618644714,0.07784805446863174,3
trump,cooperation_solidarity_framing,pct,0.5747844840952381,0.4637930989265442,0.715732753276825,0.060366664081811905,3
erdogan,conflict_threat_framing,rate,0.3562236138474528,0.17586898803710938,0.5950077176094055,0.10409137606620789,5
erdogan,cooperation_solidarity_framing,rate,0.23835139318885448,0.0941176488995552,0.4018188714981079,0.08121393620967865,5
macron,conflict_threat_framing,rate,0.23287098930481281,0.11221590638160706,0.3180147111415863,0.055909786373376846,4
macron,cooperation_solidarity_framing,rate,0.15661207664884136,0.08712121099233627,0.22610294818878174,0.037871167063713074,4
merkel,conflict_threat_framing,rate,0.1338383838383838,0.02777777798473835,0.27272728085517883,0.06036088988184929,4
merkel,cooperation_solidarity_framing,rate,0.27323232323232316,0.17424242198467255,0.40833333134651184,0.05771243944764137,4
putin,conflict_threat_framing,rate,0.15340909090909088,0.0,0.3068181872367859,0.0791395828127861,4
putin,cooperation_solidarity_framing,rate,0.4746212121212121,0.21590909361839294,0.7333333492279053,0.13100665807724,4
trump,conflict_threat_framing,rate,0.13095238095238093,0.0,0.25,0.05906059965491295,3
trump,cooperation_solidarity_framing,rate,0.23809523809523805,0.0,0.5,0.11777971684932709,3
erdogan,conflict_threat_framing,cos,0.3155438230566775,0.29436561465263367,0.3446899652481079,0.01329641044139862,5
erdogan,cooperation_solidarity_framing,cos,0.3477410379185195,0.31822025775909424,0.3820078372955322,0.0166951771825552,5
macron,conflict_threat_framing,cos,0.28442773679562167,0.27103692293167114,0.29851460456848145,0.00713723199442029,4
macron,cooperation_solidarity_framing,cos,0.3221707846696747,0.309612900018692,0.3347286880016327,0.006711136549711227,4
merkel,conflict_threat_framing,cos,0.2516991599646465,0.23719249665737152,0.2748388946056366,0.010035853832960129,4
merkel,cooperation_solidarity_framing,cos,0.33627399506818173,0.3235616385936737,0.346542090177536,0.0061966306529939175,4
putin,conflict_threat_framing,cos,0.26851993635227267,0.25573697686195374,0.2798319160938263,0.006316237151622772,4
putin,cooperation_solidarity_framing,cos,0.37178934728409085,0.3432890474796295,0.4002896547317505,0.01429758034646511,4
trump,conflict_threat_framing,cos,0.3036752053571428,0.2635875642299652,0.33309370279312134,0.017179904505610466,3
trump,cooperation_solidarity_framing,cos,0.35657796122023805,0.32918962836265564,0.39360108971595764,0.015604410320520401,3
erdogan,conflict_threat_framing,nli,0.13824321996362868,0.09213961660861969,0.19261333346366882,0.025838389992713928,5
erdogan,cooperation_solidarity_framing,nli,0.27622643453832585,0.18432319164276123,0.35515958070755005,0.045325085520744324,5
macron,conflict_threat_framing,nli,0.12102263462289922,0.09871579706668854,0.15606552362442017,0.015478236600756645,4
macron,cooperation_solidarity_framing,nli,0.3190846721657531,0.236455038189888,0.36548230051994324,0.035678088665008545,4
merkel,conflict_threat_framing,nli,0.02919769287007168,0.0036465900484472513,0.05474879592657089,0.013038509525358677,4
merkel,cooperation_solidarity_framing,nli,0.4882581192880808,0.4580817222595215,0.5304939150810242,0.018505580723285675,4
putin,conflict_threat_framing,nli,0.0380170512288636,0.004910624586045742,0.07275243103504181,0.01814989373087883,4
putin,cooperation_solidarity_framing,nli,0.40622822271060605,0.2967045307159424,0.5355580449104309,0.0664542093873024,4
trump,conflict_threat_framing,nli,0.06762331438955356,0.04061964154243469,0.11098862439393997,0.017755761742591858,3
trump,cooperation_solidarity_framing,nli,0.4500359200875,0.31568726897239685,0.5852425694465637,0.06337495148181915,3
