leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
macron,merkel,0.9421530365943909,0.9329307079315186,0.9156190752983093,0.943640947341919,0.007526311557739973,4,4
erdogan,macron,0.9414877891540527,0.9292932748794556,0.9020872712135315,0.9391499161720276,0.010011264123022556,5,4
erdogan,merkel,0.9242264032363892,0.9103127121925354,0.8899303674697876,0.9250046014785767,0.009473982267081738,5,4
macron,trump,0.8796706199645996,0.8638216257095337,0.782202959060669,0.8888658881187439,0.02437511831521988,4,3
erdogan,trump,0.8747012615203857,0.8543812036514282,0.7757616639137268,0.8824238777160645,0.02596084401011467,5,3
merkel,trump,0.8640571236610413,0.8464699983596802,0.761358380317688,0.8755928874015808,0.026628706604242325,4,3
macron,putin,0.8604211807250977,0.8513767719268799,0.8281252384185791,0.8670154809951782,0.010336712934076786,4,4
erdogan,putin,0.8512459993362427,0.8380599617958069,0.7951404452323914,0.8634571433067322,0.01773650571703911,5,4
merkel,putin,0.8378373980522156,0.8272148370742798,0.796289324760437,0.848252534866333,0.013372262008488178,4,4
putin,trump,0.8236379623413086,0.8064140677452087,0.7221265435218811,0.8429616689682007,0.029686210677027702,4,3
