leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
putin,trump,0.7522379159927368,0.7268516421318054,0.5981969237327576,0.7694097757339478,0.039334408938884735,4,3
macron,merkel,0.6959191560745239,0.6806018352508545,0.6451984643936157,0.7059922218322754,0.01658894307911396,4,4
merkel,putin,0.6741669774055481,0.6574214100837708,0.6125725507736206,0.6887463331222534,0.019690368324518204,4,4
merkel,trump,0.6681346893310547,0.6426125764846802,0.5631904602050781,0.6681346297264099,0.02390386536717415,4,3
macron,putin,0.6466285586357117,0.6359206438064575,0.608035683631897,0.6545807719230652,0.012227606028318405,4,4
macron,trump,0.6437197923660278,0.6244073510169983,0.5493003726005554,0.645218551158905,0.020796211436390877,4,3
erdogan,merkel,0.6147727370262146,0.5969776511192322,0.5546554923057556,0.6293243169784546,0.01899959333240986,5,4
erdogan,trump,0.6100170016288757,0.5875831246376038,0.5297542810440063,0.6131454110145569,0.020705483853816986,5,3
erdogan,putin,0.6002284288406372,0.5859001278877258,0.5247347354888916,0.6257157325744629,0.026522094383835793,5,4
erdogan,macron,0.5797748565673828,0.5674028396606445,0.5281395316123962,0.5866989493370056,0.015288560651242733,5,4
