leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.039,0.9915,0.5479965552930621,2
erdogan,security_military,0.0,0.0125,0.4534249112576168,7
erdogan,economy_welfare,0.0,0.1805,0.46279321810106244,6
erdogan,foreign_policy,0.0,0.071,0.4646522602260695,5
erdogan,democracy_institutions,0.1615,0.501,0.4908161856612475,3
erdogan,social_solidarity,0.0,0.0995,0.43702308270232904,8
erdogan,crisis_resilience,0.7995,0.9455,0.5844568219392767,1
erdogan,future_reform_technology,0.0,0.1985,0.46692104406827684,4
macron,national_identity,0.0,0.0,0.3699450454033422,8
macron,security_military,0.0,0.0,0.517894365263887,7
macron,economy_welfare,0.0,0.9565,0.6093919985787656,3
macron,foreign_policy,0.0,0.0435,0.5696999483347426,5
macron,democracy_institutions,0.0,0.0,0.5508306639115587,6
macron,social_solidarity,0.0,0.0,0.5730129978697638,4
macron,crisis_resilience,0.222,1.0,0.6608651804698641,2
macron,future_reform_technology,0.778,1.0,0.6847414938561164,1
merkel,national_identity,0.0,0.387,0.6326998449343434,4
merkel,security_military,0.0,0.0,0.5256757223339646,7
merkel,economy_welfare,0.0,0.854,0.6540286528926768,3
merkel,foreign_policy,0.079,0.6965,0.656611806846591,2
merkel,democracy_institutions,0.0,0.066,0.6125792475858586,5
merkel,social_solidarity,0.921,0.9935,0.7164145801085858,1
merkel,crisis_resilience,0.0,0.0,0.36605886648800506,8
merkel,future_reform_technology,0.0,0.003,0.5784604687588384,6
putin,national_identity,0.375,1.0,0.5912434704393938,2
putin,security_military,0.625,1.0,0.6240321327651516,1
putin,economy_welfare,0.0,0.0,0.26824190500208334,8
putin,foreign_policy,0.0,0.0,0.42605930303787876,4
putin,democracy_institutions,0.0,0.0,0.4047152566382575,5
putin,social_solidarity,0.0,0.9965,0.49350313347348485,3
putin,crisis_resilience,0.0,0.0,0.3276410680265151,6
putin,future_reform_technology,0.0,0.0035,0.3246747663693182,7
trump,national_identity,0.388,0.62,0.4263546819761905,2
trump,security_military,0.4615,1.0,0.4530685587797619,1
trump,economy_welfare,0.1505,0.38,0.3879105047440476,4
trump,foreign_policy,0.0,0.0,0.2796900656309524,5
trump,democracy_institutions,0.0,1.0,0.3959051711845238,3
trump,social_solidarity,0.0,0.0,0.22684728973095233,6
trump,crisis_resilience,0.0,0.0,0.1850164184229167,8
trump,future_reform_technology,0.0,0.0,0.20469006776964283,7
