chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5577868
erdogan1_c001,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5507324
erdogan1_c002,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50132245
erdogan1_c003,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.56398326
erdogan1_c004,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50639594
erdogan1_c005,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.47700444
erdogan1_c006,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.509187
erdogan1_c007,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5816761
erdogan1_c008,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.4620954
erdogan1_c009,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5035952
erdogan1_c010,erdogan1,erdogan,0.8,0.0,0.0,0.0,0.2,0.8,0.42328057
erdogan1_c011,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.42929587
erdogan1_c012,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.41141844
erdogan2022_c000,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7485688
erdogan2022_c001,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5489744
erdogan2022_c002,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5202034
erdogan2022_c003,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.66147196
erdogan2022_c004,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.64876723
erdogan2022_c005,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5453669
erdogan2022_c006,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6572171
erdogan2022_c007,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.66384244
erdogan2022_c008,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5462981
erdogan2022_c009,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.501208
erdogan2022_c010,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.5418084
erdogan2022_c011,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5691072
erdogan2022_c012,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.580863
erdogan2022_c013,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.540239
erdogan2022_c014,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.51880425
erdogan2022_c015,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.68519205
erdogan2022_c016,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6176822
erdogan2022_c017,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7343411
erdogan2023_c000,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.77314323
erdogan2023_c001,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6462908
erdogan2023_c002,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6143531
erdogan2023_c003,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.59184396
erdogan2023_c004,erdogan2023,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.51623166
erdogan2023_c005,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6052309
erdogan2023_c006,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6169286
erdogan2023_c007,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6923789
erdogan2023_c008,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.62064314
erdogan2023_c009,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6096622
erdogan2023_c010,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.57782525
erdogan2023_c011,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5368315
erdogan2023_c012,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.60448205
erdogan2023_c013,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6854456
erdogan2023_c014,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.63084567
erdogan2023_c015,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5664593
erdogan2023_c016,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.57746714
erdogan2023_c017,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7083808
erdogan2023_c018,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.73534673
erdogan2024_c000,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.76594603
erdogan2024_c001,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6679421
erdogan2024_c002,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.56689316
erdogan2024_c003,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.49996418
erdogan2024_c004,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5909361
erdogan2024_c005,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6248659
erdogan2024_c006,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.60183257
erdogan2024_c007,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.56183875
erdogan2024_c008,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.72099775
erdogan2024_c009,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5773793
erdogan2024_c010,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6403044
erdogan2024_c011,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.59801
erdogan2024_c012,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.64970946
erdogan2024_c013,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.701496
erdogan2024_c014,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.67798007
erdogan2024_c015,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.71787024
erdogan2025_c000,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7427691
erdogan2025_c001,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.70101875
erdogan2025_c002,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6445979
erdogan2025_c003,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5248609
erdogan2025_c004,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.55995715
erdogan2025_c005,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.63251096
erdogan2025_c006,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5299184
erdogan2025_c007,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.53255284
erdogan2025_c008,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5704063
erdogan2025_c009,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6159669
erdogan2025_c010,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50037795
erdogan2025_c011,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5916033
erdogan2025_c012,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.60928875
erdogan2025_c013,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6237136
erdogan2025_c014,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.65755403
erdogan2025_c015,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.53006476
erdogan2025_c016,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.59204334
erdogan2025_c017,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6536937
erdogan2025_c018,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7190262
macron2022_c000,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.66203785
macron2022_c001,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.60613286
macron2022_c002,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.59298515
macron2022_c003,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.560631
macron2022_c004,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.62448823
macron2022_c005,macron2022,macron,0.1,0.8,0.0,0.0,0.1,0.8,0.5418139
macron2022_c006,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5176452
macron2022_c007,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5256586
macron2022_c008,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.59771955
macron2022_c009,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.42202076
macron2022_c010,macron2022,macron,0.2,0.8,0.0,0.0,0.0,0.8,0.39121178
macron2022_c011,macron2022,macron,0.1,0.9,0.0,0.0,0.0,0.9,0.42376822
macron2022_c012,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.4104654
macron2022_c013,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.48576418
macron2022_c014,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.44850057
macron2022_c015,macron2022,macron,0.1,0.8,0.1,0.0,0.0,0.8,0.42158523
macron2022_c016,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5861764
macron2022_c017,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.58928406
macron2022_c018,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6698245
macron2022_c019,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5564805
macron2022_c020,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5510505
