chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,0.6,0.2,0.2,0.0,0.0,0.6,0.6327503
erdogan1_c001,erdogan1,erdogan,0.1,0.4,0.5,0.0,0.0,0.1,0.58622307
erdogan1_c002,erdogan1,erdogan,0.3,0.2,0.5,0.0,0.0,0.3,0.66471803
erdogan1_c003,erdogan1,erdogan,0.4,0.3,0.3,0.0,0.0,0.4,0.5847001
erdogan1_c004,erdogan1,erdogan,0.1,0.3,0.4,0.0,0.2,0.1,0.6018954
erdogan1_c005,erdogan1,erdogan,0.4,0.1,0.5,0.0,0.0,0.4,0.64734596
erdogan1_c006,erdogan1,erdogan,0.1,0.5,0.3,0.0,0.1,0.1,0.5990529
erdogan1_c007,erdogan1,erdogan,0.3,0.3,0.4,0.0,0.0,0.3,0.54979485
erdogan1_c008,erdogan1,erdogan,0.4,0.5,0.0,0.0,0.1,0.4,0.6074219
erdogan1_c009,erdogan1,erdogan,0.1,0.2,0.3,0.0,0.4,0.1,0.6002185
erdogan1_c010,erdogan1,erdogan,0.0,0.4,0.3,0.0,0.3,0.0,0.56612337
erdogan2022_c000,erdogan2022,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.666246
erdogan2022_c001,erdogan2022,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.61042404
erdogan2022_c002,erdogan2022,erdogan,0.6,0.2,0.1,0.1,0.0,0.6,0.64522105
erdogan2022_c003,erdogan2022,erdogan,0.2,0.7,0.0,0.1,0.0,0.2,0.701319
erdogan2022_c004,erdogan2022,erdogan,0.2,0.7,0.0,0.1,0.0,0.2,0.585208
erdogan2022_c005,erdogan2022,erdogan,0.4,0.4,0.1,0.1,0.0,0.4,0.64410853
erdogan2022_c006,erdogan2022,erdogan,0.2,0.2,0.4,0.0,0.2,0.2,0.6531973
erdogan2022_c007,erdogan2022,erdogan,0.5,0.5,0.0,0.0,0.0,0.5,0.693561
erdogan2022_c008,erdogan2022,erdogan,0.3,0.4,0.1,0.1,0.1,0.3,0.6307998
erdogan2022_c009,erdogan2022,erdogan,0.3,0.3,0.3,0.0,0.1,0.3,0.6592263
erdogan2022_c010,erdogan2022,erdogan,0.3,0.5,0.2,0.0,0.0,0.3,0.6784421
erdogan2022_c011,erdogan2022,erdogan,0.5,0.3,0.1,0.0,0.1,0.5,0.6168801
erdogan2022_c012,erdogan2022,erdogan,0.5,0.2,0.3,0.0,0.0,0.5,0.6013072
erdogan2022_c013,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.6510529
erdogan2022_c014,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.733946
erdogan2022_c015,erdogan2022,erdogan,0.6,0.2,0.2,0.0,0.0,0.6,0.66815895
erdogan2022_c016,erdogan2022,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.79170924
erdogan2023_c000,erdogan2023,erdogan,0.4,0.4,0.0,0.2,0.0,0.4,0.78478336
erdogan2023_c001,erdogan2023,erdogan,0.6,0.2,0.1,0.1,0.0,0.6,0.6956997
erdogan2023_c002,erdogan2023,erdogan,0.5,0.1,0.3,0.1,0.0,0.5,0.62284666
erdogan2023_c003,erdogan2023,erdogan,0.2,0.4,0.1,0.3,0.0,0.2,0.63516617
erdogan2023_c004,erdogan2023,erdogan,0.2,0.5,0.2,0.0,0.1,0.2,0.63598037
erdogan2023_c005,erdogan2023,erdogan,0.2,0.4,0.2,0.0,0.2,0.2,0.6353938
erdogan2023_c006,erdogan2023,erdogan,0.4,0.2,0.0,0.3,0.1,0.4,0.649765
erdogan2023_c007,erdogan2023,erdogan,0.8,0.1,0.1,0.0,0.0,0.8,0.67769825
erdogan2023_c008,erdogan2023,erdogan,0.7,0.0,0.3,0.0,0.0,0.7,0.61853963
erdogan2023_c009,erdogan2023,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.6631349
erdogan2023_c010,erdogan2023,erdogan,0.5,0.5,0.0,0.0,0.0,0.5,0.6300335
erdogan2023_c011,erdogan2023,erdogan,0.2,0.2,0.4,0.0,0.2,0.2,0.63013107
