chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5706329
erdogan1_c001,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.51152027
erdogan1_c002,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5278312
erdogan1_c003,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50413024
erdogan1_c004,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.47574037
erdogan1_c005,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50882506
erdogan1_c006,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.58475506
erdogan1_c007,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.4656063
erdogan1_c008,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.50755894
erdogan1_c009,erdogan1,erdogan,0.9,0.0,0.0,0.0,0.1,0.9,0.42116445
erdogan1_c010,erdogan1,erdogan,0.9,0.0,0.0,0.0,0.1,0.9,0.4241032
erdogan2022_c000,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6472284
erdogan2022_c001,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.58294106
erdogan2022_c002,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6047714
erdogan2022_c003,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.63093483
erdogan2022_c004,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6187948
erdogan2022_c005,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.59608114
erdogan2022_c006,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.59810954
erdogan2022_c007,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6067992
erdogan2022_c008,erdogan2022,erdogan,0.9,0.0,0.0,0.1,0.0,0.9,0.5427231
erdogan2022_c009,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5644528
erdogan2022_c010,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6090845
erdogan2022_c011,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5783124
erdogan2022_c012,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.54047906
erdogan2022_c013,erdogan2022,erdogan,0.9,0.0,0.0,0.1,0.0,0.9,0.5171967
erdogan2022_c014,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.69052064
erdogan2022_c015,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6170662
erdogan2022_c016,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7179314
erdogan2023_c000,erdogan2023,erdogan,0.9,0.0,0.0,0.1,0.0,0.9,0.7106514
erdogan2023_c001,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6568888
erdogan2023_c002,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.58740366
erdogan2023_c003,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.556159
erdogan2023_c004,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.57659376
erdogan2023_c005,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5579828
erdogan2023_c006,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6124331
erdogan2023_c007,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6850165
erdogan2023_c008,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.61884296
erdogan2023_c009,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6118629
erdogan2023_c010,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5757395
erdogan2023_c011,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.53168976
