leader_a,leader_b,cosine_similarity,cosine_distance
macron,merkel,0.9421530365943909,0.05784696340560913
erdogan,macron,0.9414878487586975,0.05851215124130249
erdogan,merkel,0.9242264032363892,0.07577359676361084
macron,trump,0.8796706795692444,0.12032932043075562
erdogan,trump,0.8747013807296753,0.1252986192703247
merkel,trump,0.864057183265686,0.13594281673431396
macron,putin,0.8604211807250977,0.13957881927490234
erdogan,putin,0.8512461185455322,0.14875388145446777
merkel,putin,0.8378373980522156,0.16216260194778442
putin,trump,0.8236380815505981,0.17636191844940186
