leader_a,leader_b,cosine_similarity,cosine_distance
erdogan,macron,0.9416014552116394,0.058398544788360596
macron,merkel,0.9395085573196411,0.06049144268035889
erdogan,merkel,0.9223589897155762,0.07764101028442383
macron,trump,0.8793995976448059,0.12060040235519409
erdogan,trump,0.8777114152908325,0.12228858470916748
macron,putin,0.8748397827148438,0.12516021728515625
erdogan,putin,0.8638936877250671,0.13610631227493286
merkel,trump,0.8626632690429688,0.13733673095703125
merkel,putin,0.8466387987136841,0.15336120128631592
putin,trump,0.8441535234451294,0.1558464765548706
