leader_a,leader_b,cosine_similarity,cosine_distance
putin,trump,0.7522379159927368,0.24776208400726318
macron,merkel,0.6959193348884583,0.30408066511154175
merkel,putin,0.6741669774055481,0.3258330225944519
merkel,trump,0.6681346893310547,0.3318653106689453
macron,putin,0.6466285586357117,0.35337144136428833
macron,trump,0.6437198519706726,0.3562801480293274
erdogan,merkel,0.6147727966308594,0.3852272033691406
erdogan,trump,0.6100170612335205,0.3899829387664795
erdogan,putin,0.6002285480499268,0.39977145195007324
erdogan,macron,0.5797749757766724,0.42022502422332764
