language,theme,n_chunks,mean_cos_matched,mean_cos_en,mean_pct
de,national_identity,46,0.52273405,0.48606288,0.64058924
de,security_military,46,0.48457047,0.47935104,0.54362124
de,economy_welfare,46,0.50132847,0.4691872,0.65424764
de,foreign_policy,46,0.49822173,0.47087193,0.6566791
de,democracy_institutions,46,0.4788833,0.4663125,0.6162757
de,social_solidarity,46,0.5549041,0.4891177,0.7479977
de,crisis_resilience,46,0.49341595,0.4799324,0.36434498
de,future_reform_technology,46,0.55054635,0.5023751,0.5911757
en,national_identity,74,0.50090146,0.50090146,0.52747154
en,security_military,74,0.48010445,0.48010445,0.50649005
en,economy_welfare,74,0.43223086,0.43223086,0.3092105
en,foreign_policy,74,0.4516596,0.4516596,0.36610955
en,democracy_institutions,74,0.44117257,0.44117257,0.4074502
en,social_solidarity,74,0.45948368,0.45948368,0.32503557
en,crisis_resilience,74,0.46841687,0.46841687,0.25293383
en,future_reform_technology,74,0.47366473,0.47366473,0.2291963
fr,national_identity,99,0.47315708,0.47840133,0.3689029
fr,security_military,99,0.47727743,0.4665785,0.50546587
fr,economy_welfare,99,0.49283668,0.45107576,0.61069584
fr,foreign_policy,99,0.4828398,0.45956194,0.56311476
fr,democracy_institutions,99,0.46526346,0.44264427,0.5391248
fr,social_solidarity,99,0.5097829,0.45216236,0.56497544
fr,crisis_resilience,99,0.5450665,0.47883567,0.6593068
fr,future_reform_technology,99,0.57131547,0.50449115,0.69166994
tr,national_identity,85,0.50955665,0.45590004,0.5526896
tr,security_military,85,0.47184542,0.45892867,0.46437693
tr,economy_welfare,85,0.46449584,0.43213147,0.4536958
tr,foreign_policy,85,0.46804196,0.4471205,0.45826244
tr,democracy_institutions,85,0.45831397,0.42803735,0.47207817
tr,social_solidarity,85,0.48541474,0.43454784,0.44243425
tr,crisis_resilience,85,0.5345485,0.47238272,0.60296047
tr,future_reform_technology,85,0.52168304,0.46953958,0.46317726
