language,theme,n_chunks,mean_cos_matched,mean_cos_en,mean_pct
de,national_identity,42,0.2586541,0.20689413,0.33448276
de,security_military,42,0.23621875,0.20703256,0.34433496
de,economy_welfare,42,0.24448875,0.20766753,0.4275041
de,foreign_policy,42,0.22639176,0.20089597,0.39039406
de,democracy_institutions,42,0.2252073,0.2015744,0.4248768
de,social_solidarity,42,0.32502314,0.27138206,0.53193754
de,crisis_resilience,42,0.3150045,0.24449146,0.43300498
de,future_reform_technology,42,0.3173629,0.25279737,0.52873564
en,national_identity,72,0.34343508,0.34343508,0.6115421
en,security_military,72,0.30271155,0.30271155,0.5931034
en,economy_welfare,72,0.2664485,0.2664485,0.48745215
en,foreign_policy,72,0.27282986,0.27282986,0.59262455
en,democracy_institutions,72,0.23527776,0.23527776,0.4833812
en,social_solidarity,72,0.34461164,0.34461164,0.60129315
en,crisis_resilience,72,0.3338617,0.3338617,0.5227969
en,future_reform_technology,72,0.2685275,0.2685275,0.37480843
fr,national_identity,96,0.29341188,0.22453813,0.4506825
fr,security_military,96,0.28634444,0.20612605,0.51375717
fr,economy_welfare,96,0.299938,0.21084924,0.6246767
fr,foreign_policy,96,0.23035014,0.19840167,0.4270474
fr,democracy_institutions,96,0.25183365,0.18806739,0.5604167
fr,social_solidarity,96,0.29074398,0.22639139,0.41214076
fr,crisis_resilience,96,0.32601458,0.25118637,0.46605602
fr,future_reform_technology,96,0.362419,0.27076963,0.6778736
tr,national_identity,80,0.31833696,0.20641544,0.5456897
tr,security_military,80,0.27663097,0.20874806,0.48142242
tr,economy_welfare,80,0.24547839,0.1726369,0.39974138
tr,foreign_policy,80,0.26423687,0.20570263,0.5617242
tr,democracy_institutions,80,0.2392766,0.17857507,0.48189655
tr,social_solidarity,80,0.31660002,0.19827767,0.4975
tr,crisis_resilience,80,0.3439191,0.2374099,0.5553879
tr,future_reform_technology,80,0.27167612,0.20753321,0.38413793
