chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,tr,,symposium_speech,0,13,0.0,110,47,0.3151409,0.20028609,0.54769737,0.006216407,2.1276596,0.23825932,0.18612981,0.32072368,-0.04010749,0.0,0.23149484,0.13575259,0.38322368,-0.03584081,0.0,0.33178926,0.28068504,0.8996711,0.083578095,0.0,0.33322257,0.3014883,0.89638156,0.093078986,2.1276596,0.28405595,0.16824801,0.3338816,-0.033661693,4.255319,0.3592565,0.25429156,0.7055921,0.030365914,0.0,0.3417686,0.29706874,0.6990132,0.033535004,0.0,0.303936,0.19823498,0.6134868,0.01782152,0.36041063,0.22937286,0.6003289,0.018688083,foreign_policy,0.0032895207,0.5291417,0.10347652,0.00083446014,0.9232816,0.6730842,0.78882736,0.098382086,0.00063743425,0.001199549,0.014104308,foreign_policy
erdogan1_c001,erdogan1,erdogan,tr,,symposium_speech,1,13,0.083,150,62,0.31919783,0.22207269,0.56414473,0.010273337,3.2258065,0.24327347,0.16651016,0.3536184,-0.035093337,3.2258065,0.1664422,0.07691574,0.060855262,-0.10089345,0.0,0.27211022,0.20888609,0.6957237,0.023899063,1.6129032,0.32115507,0.2502701,0.8667763,0.08101149,3.2258065,0.24754258,0.12964338,0.21217105,-0.07017507,3.2258065,0.3038869,0.21928906,0.35032895,-0.025003701,0.0,0.24718574,0.18863991,0.24835527,-0.061047852,0.0,0.30122262,0.17843923,0.59375,0.015108138,0.31256992,0.21334806,0.3536184,-0.029152632,democracy_institutions,0.17105258,0.8765023,0.01096574,0.00019147785,0.66909647,0.022737443,0.8331889,0.18086497,0.00010932307,0.67276186,0.0016072205,national_identity
erdogan1_c002,erdogan1,erdogan,tr,,symposium_speech,2,13,0.167,106,41,0.24857214,0.1361472,0.25493422,-0.060352355,0.0,0.2425074,0.15724444,0.34046054,-0.035859406,0.0,0.26132664,0.1393088,0.5246711,-0.0060090125,2.4390244,0.25123554,0.17752516,0.5674342,0.0030243844,0.0,0.375015,0.32280707,0.9490132,0.13487141,2.4390244,0.2699217,0.14993653,0.2911184,-0.04779595,0.0,0.36934417,0.24755278,0.7582237,0.040453583,0.0,0.22679153,0.17092928,0.16940789,-0.08144206,0.0,0.34476858,0.19328898,0.7878289,0.0586541,0.35734487,0.18420666,0.59375,0.015622318,democracy_institutions,0.19078946,0.1390453,0.025932683,0.46854746,0.03087972,0.99425304,0.073879816,0.999675,6.949274e-05,0.00018740872,0.00078088866,crisis_resilience
erdogan1_c003,erdogan1,erdogan,tr,,symposium_speech,3,13,0.25,88,40,0.34132856,0.24600975,0.66611844,0.032404065,5.0,0.25861096,0.14306311,0.43256578,-0.01975584,0.0,0.21937692,0.15240654,0.28782895,-0.04795873,0.0,0.25415576,0.19538209,0.57730263,0.0059445947,0.0,0.36748445,0.34803638,0.93914473,0.12734087,2.5,0.3003759,0.19717497,0.39967105,-0.017341733,0.0,0.37170786,0.25001124,0.7680921,0.042817265,0.0,0.34833544,0.28270423,0.71546054,0.040101856,0.0,0.25878695,0.1634596,0.36348686,-0.027327538,0.33756998,0.22887382,0.46875,-0.004152566,democracy_institutions,0.17105263,0.46722537,0.18388656,0.0014607494,0.84853345,0.05033063,0.9389409,0.5431056,0.00027425666,0.0040701376,0.005050509,social_solidarity
erdogan1_c004,erdogan1,erdogan,tr,,symposium_speech,4,13,0.333,95,44,0.33796406,0.2109159,0.6332237,0.029039562,2.2727273,0.26087898,0.20179486,0.45230263,-0.017487824,0.0,0.22172952,0.15170503,0.31414473,-0.045606136,2.2727273,0.23158887,0.20177607,0.39967105,-0.01662229,0.0,0.3150699,0.28057978,0.8503289,0.07492633,4.5454545,0.25770497,0.16419616,0.24835527,-0.06001267,0.0,0.3071587,0.23278144,0.37664473,-0.021731883,0.0,0.30315253,0.2520176,0.5246711,-0.0050810575,0.0,0.31797504,0.21784677,0.6792763,0.03186056,0.3336134,0.20572594,0.43914473,-0.008109152,democracy_institutions,0.21710521,0.72340715,0.034004062,0.0002642683,0.8698805,0.05134372,0.012895588,0.8776473,0.00023276829,0.0006563728,0.0048579667,crisis_resilience
erdogan1_c005,erdogan1,erdogan,tr,,symposium_speech,5,13,0.417,107,46,0.30362993,0.21604675,0.49506578,-0.0052945614,4.347826,0.21143755,0.15284863,0.20230263,-0.06692925,0.0,0.18401247,0.11873939,0.12335526,-0.08332318,0.0,0.22330514,0.18666306,0.3536184,-0.024906024,0.0,0.3138324,0.28974324,0.84703946,0.07368882,6.521739,0.2499638,0.16494319,0.22532895,-0.06775384,4.347826,0.2838248,0.20215793,0.25164473,-0.04506579,0.0,0.29906404,0.25051033,0.5082237,-0.009169549,0.0,0.27199638,0.19857898,0.42927632,-0.014118105,0.30794156,0.20639208,0.31414473,-0.033780992,democracy_institutions,0.33881575,0.0006202513,0.20850109,0.00091461366,0.2923932,0.7777222,0.4473396,0.5633779,0.00062511285,0.00053682737,0.012241275,democracy_institutions
erdogan1_c006,erdogan1,erdogan,tr,,symposium_speech,6,13,0.5,117,49,0.34210712,0.21580538,0.6759868,0.03318262,4.0816326,0.31613904,0.2054561,0.71875,0.03777224,0.0,0.24061008,0.16739622,0.42598686,-0.026725575,2.0408163,0.24981906,0.18874702,0.54769737,0.0016078949,0.0,0.47332674,0.4280721,0.99835527,0.23318316,6.122449,0.33229315,0.22224745,0.5575658,0.014575511,0.0,0.36290085,0.2628676,0.72861844,0.03401026,0.0,0.28742555,0.23614042,0.4555921,-0.020808041,0.0,0.28300053,0.18369693,0.51480263,-0.0031139553,0.32315576,0.20340143,0.37664473,-0.018566787,democracy_institutions,0.26973683,0.98395544,0.22175993,0.0002965355,0.8958876,0.9978427,0.99941045,0.8466094,0.00041894842,0.0049822694,0.21157971,social_solidarity
erdogan1_c007,erdogan1,erdogan,tr,,symposium_speech,7,13,0.583,92,44,0.25494033,0.12560786,0.2944079,-0.053984165,2.2727273,0.24803515,0.15426953,0.37335527,-0.030331656,0.0,0.21350187,0.12781142,0.25164473,-0.053833783,0.0,0.26613632,0.21183547,0.65625,0.017925158,0.0,0.35172242,0.27215773,0.9259868,0.11157884,9.090909,0.2239869,0.1067463,0.15953948,-0.09373075,0.0,0.31058306,0.19832173,0.38980263,-0.018307537,4.5454545,0.33350223,0.26655462,0.65953946,0.025268644,0.0,0.36353874,0.22642466,0.86019737,0.07742426,0.33079487,0.15757322,0.42598686,-0.010927677,democracy_institutions,0.26644737,0.018599968,0.07091265,0.00047193223,0.9603798,0.8433798,0.0606962,0.67864645,0.00025216967,0.0026061658,0.00030061638,foreign_policy
erdogan1_c008,erdogan1,erdogan,tr,,symposium_speech,8,13,0.667,93,33,0.30916873,0.18867004,0.52796054,0.00024423003,3.030303,0.23903516,0.14185159,0.32401314,-0.039331645,0.0,0.224554,0.13127449,0.3338816,-0.04278165,3.030303,0.21896835,0.15367687,0.32072368,-0.029242814,0.0,0.38529146,0.3276462,0.9555921,0.14514787,12.121212,0.33205932,0.22694351,0.5542763,0.014341682,3.030303,0.25949004,0.16996141,0.14309211,-0.06940055,0.0,0.28923833,0.2338225,0.46546054,-0.018995255,0.0,0.2751919,0.16421425,0.46875,-0.010922581,0.3066486,0.17319472,0.31085527,-0.035073936,democracy_institutions,0.4013158,0.1407648,0.060321487,0.0089334035,0.34356198,0.88388896,0.7681576,0.4444442,0.010293274,0.0042563486,0.0024919678,democracy_institutions
erdogan1_c009,erdogan1,erdogan,tr,,symposium_speech,9,13,0.75,91,44,0.3892948,0.24452214,0.8240132,0.08037031,9.090909,0.22009194,0.16161565,0.23190789,-0.058274865,0.0,0.2076385,0.12874454,0.23519737,-0.05969715,0.0,0.23940699,0.16335315,0.4786184,-0.008804172,0.0,0.3203721,0.28378505,0.8634868,0.08022852,6.818182,0.31065726,0.21170376,0.44243422,-0.007060379,0.0,0.26098904,0.19055036,0.14967105,-0.06790155,0.0,0.2810708,0.24029684,0.42927632,-0.02716279,0.0,0.29387593,0.2109951,0.5707237,0.0077614486,0.34457517,0.2466829,0.5180921,0.0028526187,democracy_institutions,0.039473653,0.9964619,0.7874412,0.0076436205,0.9144819,0.92730576,0.99504673,0.8555497,0.26836583,0.0016198055,0.11987101,national_identity
