chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,top_theme_nli
erdogan1_c000,erdogan1,erdogan,tr,,symposium_speech,0,11,0.0,127,51,0.52226967,0.49694005,0.6637931,0.025631636,0.0,0.4809004,0.4694882,0.50517243,0.0023619533,3.9215686,0.4602042,0.4357444,0.41206896,-0.011670262,0.0,0.47567654,0.4562143,0.4948276,0.00078228116,0.0,0.43146756,0.42391676,0.30172414,-0.02794522,0.0,0.50553846,0.43016618,0.55,0.009004325,1.9607843,0.60074604,0.53198445,0.92241377,0.0836156,0.0,0.5046284,0.4508817,0.35344827,-0.025322378,0.0,0.4685631,0.45516813,0.7258621,0.029082626,0.4584152,0.44757235,0.38448277,-0.018199474,crisis_resilience,0.25862068,0.6278371,0.0054374957,0.00047193226,0.8352149,0.0007364808,0.86488205,0.11735701,0.00011104446,0.9525741,0.0020229532,social_solidarity
erdogan1_c001,erdogan1,erdogan,tr,,symposium_speech,1,11,0.1,128,53,0.46174186,0.46000668,0.25344828,-0.034896165,3.7735848,0.4152881,0.43468565,0.09827586,-0.06325036,0.0,0.43475035,0.41714925,0.25344828,-0.037124127,0.0,0.48507515,0.45891094,0.5672414,0.010180891,1.8867924,0.5200589,0.5178561,0.8913793,0.060646087,5.6603775,0.40829396,0.36240274,0.077586204,-0.08824018,1.8867924,0.50712276,0.4231189,0.4224138,-0.010007679,0.0,0.4616812,0.41982093,0.15344827,-0.06826961,0.0,0.4058924,0.37922496,0.24655172,-0.03358808,0.4116959,0.3759892,0.12241379,-0.06491879,democracy_institutions,0.32413793,0.99703634,0.029929746,9.134448e-05,0.83702135,0.99801993,0.90211487,0.92690146,8.092757e-05,0.00075688143,0.02973191,democracy_institutions
erdogan1_c002,erdogan1,erdogan,tr,,symposium_speech,2,11,0.2,141,62,0.55630684,0.5266465,0.8672414,0.05966881,3.2258065,0.5489944,0.53693044,0.9293103,0.07045597,0.0,0.5792928,0.56018734,0.95,0.1074183,1.6129032,0.5651963,0.544708,0.97068965,0.09030202,0.0,0.57814544,0.54723525,0.9672414,0.11873266,1.6129032,0.53651243,0.50893867,0.75344825,0.039978296,0.0,0.63325465,0.5870003,0.98448277,0.11612421,0.0,0.6045352,0.552078,0.8637931,0.074584424,0.0,0.4810058,0.49987665,0.7948276,0.041525304,0.4944656,0.48848942,0.6086207,0.017850906,crisis_resilience,0.013793111,0.9267359,0.24981311,0.2890204,0.6913932,0.3366581,0.14962845,0.99788016,0.00013058452,0.0005636751,0.026430633,crisis_resilience
erdogan1_c003,erdogan1,erdogan,tr,,symposium_speech,3,11,0.3,95,44,0.48297536,0.47021967,0.40172413,-0.013662666,2.2727273,0.43849117,0.44627148,0.21896552,-0.040047288,0.0,0.46646142,0.42091084,0.47068965,-0.0054130554,2.2727273,0.49444377,0.46734822,0.65689653,0.019549519,0.0,0.50834453,0.5161052,0.85,0.048931748,4.5454545,0.44071501,0.38527578,0.17068966,-0.055819124,0.0,0.5239327,0.45691904,0.5603448,0.006802261,0.0,0.5237564,0.4852895,0.46724138,-0.0061944127,0.0,0.438232,0.41164142,0.46724138,-0.0012484789,0.4788949,0.4125538,0.51551723,0.0022802055,democracy_institutions,0.19310349,0.7240906,0.034488525,0.0002642683,0.8698805,0.05134372,0.012895588,0.8776473,0.00023276829,0.00066931,0.00502115,crisis_resilience
erdogan1_c004,erdogan1,erdogan,tr,,symposium_speech,4,11,0.4,107,46,0.54507184,0.55395687,0.8189655,0.04843381,4.347826,0.48715842,0.51016986,0.5465517,0.008619964,0.0,0.4787019,0.47359014,0.55344826,0.006827414,0.0,0.5519503,0.51878977,0.9396552,0.07705602,0.0,0.59356976,0.58411634,0.987931,0.13415697,6.521739,0.4897555,0.46383953,0.42586207,-0.0067786276,4.347826,0.54145724,0.49560624,0.6810345,0.024326801,0.0,0.54029447,0.53358674,0.5810345,0.010343671,0.0,0.42563152,0.43301547,0.3913793,-0.01384896,0.44921964,0.444288,0.31896552,-0.02739504,democracy_institutions,0.04827583,0.00062878407,0.21617694,0.00091819017,0.2938096,0.7738152,0.45362484,0.5607338,0.00064368563,0.0005506248,0.01200735,democracy_institutions
erdogan1_c005,erdogan1,erdogan,tr,,symposium_speech,5,11,0.5,117,49,0.5416411,0.4916436,0.787931,0.045003086,4.0816326,0.5059899,0.513793,0.712069,0.027451456,0.0,0.48925632,0.47018206,0.6431034,0.017381847,2.0408163,0.53749824,0.4984153,0.89827585,0.06260398,0.0,0.6043538,0.5842454,0.9982759,0.144941,6.122449,0.51089776,0.44806594,0.6051724,0.014363617,0.0,0.55169284,0.49742916,0.7396552,0.03456241,0.0,0.55159456,0.5037293,0.6431034,0.021643758,0.0,0.44470426,0.4494577,0.52931035,0.005223781,0.48885328,0.47520632,0.5741379,0.012238592,democracy_institutions,0.100000024,0.98488384,0.21946555,0.00029944468,0.8976056,0.9978427,0.99941045,0.8466094,0.00041894842,0.0049822694,0.21157971,social_solidarity
erdogan1_c006,erdogan1,erdogan,tr,,symposium_speech,6,11,0.6,92,44,0.47892535,0.44996768,0.37413794,-0.017712682,2.2727273,0.50164115,0.48893717,0.67413795,0.0231027,0.0,0.48858282,0.4606336,0.6362069,0.016708344,0.0,0.48852962,0.47989917,0.59827584,0.013635367,0.0,0.53937614,0.53697264,0.9362069,0.079963356,9.090909,0.4389117,0.39786792,0.16724138,-0.057622433,0.0,0.516556,0.47508538,0.49137932,-0.00057440996,4.5454545,0.5610889,0.5603351,0.6913793,0.031138122,0.0,0.4728691,0.4567235,0.7603448,0.033388615,0.45529056,0.42041218,0.35689655,-0.021324128,democracy_institutions,0.24482757,0.018599968,0.07091265,0.00047193223,0.9603798,0.84394336,0.06159315,0.68357795,0.00025315638,0.0027954772,0.00029886057,foreign_policy
erdogan1_c007,erdogan1,erdogan,tr,,symposium_speech,7,11,0.7,93,33,0.5147293,0.49920475,0.6224138,0.018091291,3.030303,0.47261846,0.47045425,0.45,-0.005919993,0.0,0.4654179,0.42163134,0.46034482,-0.0064565837,3.030303,0.47401598,0.45487747,0.47068965,-0.00087827444,0.0,0.51565844,0.51016563,0.87068963,0.056245655,12.121212,0.4572189,0.42536438,0.24655172,-0.039315253,3.030303,0.46969968,0.45677364,0.21551724,-0.047430754,0.0,0.5010778,0.46795216,0.32586208,-0.028873026,0.0,0.4542806,0.45264494,0.61206895,0.014800131,0.4577666,0.4494997,0.37758622,-0.018848091,democracy_institutions,0.24827582,0.14175786,0.061438117,0.008942055,0.34070447,0.8843393,0.76919943,0.44335938,0.010298249,0.0043738233,0.0024919678,democracy_institutions
erdogan1_c008,erdogan1,erdogan,tr,,symposium_speech,8,11,0.8,91,44,0.5576763,0.5131071,0.87413794,0.061038285,9.090909,0.44064313,0.43026757,0.23965517,-0.03789532,0.0,0.46192083,0.41399792,0.42931035,-0.009953648,0.0,0.45638782,0.43078226,0.35,-0.018506438,0.0,0.48753047,0.5026064,0.72931033,0.028117687,6.818182,0.47418678,0.41992772,0.35344827,-0.02234736,0.0,0.4758598,0.40675914,0.23620689,-0.041270643,0.0,0.53716147,0.49431568,0.55,0.007210672,0.0,0.40248185,0.40823698,0.21206896,-0.03699863,0.45746818,0.44478565,0.36724138,-0.019146502,national_identity,0.1448276,0.9966036,0.78711414,0.0076214294,0.91471064,0.9266446,0.99496907,0.8565425,0.26435834,0.0016581542,0.11864015,national_identity
erdogan1_c009,erdogan1,erdogan,tr,,symposium_speech,9,11,0.9,104,43,0.52839684,0.5041366,0.69482756,0.031758815,4.6511626,0.48994786,0.49129543,0.5948276,0.011409402,0.0,0.48309392,0.44981688,0.59827584,0.011219442,0.0,0.51674056,0.4980037,0.81551725,0.041846305,0.0,0.5875902,0.59110475,0.9741379,0.12817743,4.6511626,0.5136521,0.46618736,0.6327586,0.017117947,0.0,0.5042654,0.45242327,0.39827585,-0.012865007,0.0,0.50526285,0.47915578,0.36724138,-0.024687946,0.0,0.41348296,0.4155447,0.29827586,-0.02599752,0.4662536,0.45097888,0.43965518,-0.010361075,democracy_institutions,0.15862066,0.7594039,0.7010995,0.06587475,0.7676899,0.982815,0.96276945,0.034586214,0.046486307,0.002773783,0.07230848,democracy_institutions
