leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.48994695970695973,0.34008410573005676,0.6530783772468567,0.0798114538192749,5
erdogan,cooperation_solidarity_framing,pct,0.43450388278388274,0.27194109559059143,0.6062727570533752,0.08632982522249222,5
erdogan,past_orientation,pct,0.5280776556776556,0.37586668133735657,0.6401538848876953,0.06689225882291794,5
erdogan,future_orientation,pct,0.5150134798534798,0.33272212743759155,0.6674344539642334,0.09009510278701782,5
erdogan,us_vs_them,pct,0.46184630036630037,0.3760036528110504,0.5773091912269592,0.05394652113318443,5
erdogan,gratitude_recognition,pct,0.41103838827838823,0.2759714126586914,0.5035393238067627,0.06261153519153595,5
erdogan,promises_commitments,pct,0.4576033699633699,0.32003429532051086,0.5678395628929138,0.06724531203508377,5
macron,conflict_threat_framing,pct,0.43782024104063577,0.36788487434387207,0.49718233942985535,0.033107634633779526,4
macron,cooperation_solidarity_framing,pct,0.4728090324636377,0.37124013900756836,0.5315527319908142,0.04417378827929497,4
macron,past_orientation,pct,0.48538001387014545,0.4214245080947876,0.5493355393409729,0.032735276967287064,4
macron,future_orientation,pct,0.5711374550157444,0.5497075915336609,0.5925673246383667,0.011686335317790508,4
macron,us_vs_them,pct,0.3870402234218024,0.31203946471214294,0.43798860907554626,0.033376626670360565,4
macron,gratitude_recognition,pct,0.44332577972709547,0.4123552739620209,0.47429630160331726,0.016743429005146027,4
macron,promises_commitments,pct,0.5722216692907482,0.5519337058067322,0.598780632019043,0.01235770620405674,4
merkel,conflict_threat_framing,pct,0.4852444444444445,0.39275556802749634,0.5777333378791809,0.04676419496536255,4
merkel,cooperation_solidarity_framing,pct,0.6123555555555555,0.5426333546638489,0.7066333293914795,0.04108821973204613,4
merkel,past_orientation,pct,0.38282222222222223,0.30684444308280945,0.46619999408721924,0.04390465468168259,4
merkel,future_orientation,pct,0.4483111111111111,0.37860000133514404,0.5254999995231628,0.03589935228228569,4
merkel,us_vs_them,pct,0.5109111111111111,0.4085555672645569,0.598800003528595,0.049351468682289124,4
merkel,gratitude_recognition,pct,0.44445555555555555,0.41868889331817627,0.4802333414554596,0.01683702878654003,4
merkel,promises_commitments,pct,0.43224444444444443,0.35457777976989746,0.5342000126838684,0.047266434878110886,4
putin,conflict_threat_framing,pct,0.5090272727272727,0.4375999867916107,0.5909818410873413,0.040661606937646866,4
putin,cooperation_solidarity_framing,pct,0.5643969696969697,0.42669999599456787,0.6515095233917236,0.06081189587712288,4
putin,past_orientation,pct,0.6178424242424243,0.5638099908828735,0.6895999908447266,0.03436543792486191,4
putin,future_orientation,pct,0.5464515151515151,0.44225454330444336,0.6496000289916992,0.056865595281124115,4
putin,us_vs_them,pct,0.5027348484848485,0.41306817531585693,0.565500020980835,0.03938881307840347,4
putin,gratitude_recognition,pct,0.6962106060606061,0.6621666550636292,0.7355151772499084,0.01955055445432663,4
putin,promises_commitments,pct,0.30879090909090906,0.2657727301120758,0.3431999981403351,0.019355589523911476,4
trump,conflict_threat_framing,pct,0.5447609710550886,0.3513333201408386,0.7742353081703186,0.10026482492685318,3
trump,cooperation_solidarity_framing,pct,0.409171802054155,0.15266667306423187,0.6787058711051941,0.12368565052747726,3
trump,past_orientation,pct,0.43755368814192347,0.27533334493637085,0.5268571376800537,0.06694965064525604,3
trump,future_orientation,pct,0.37136134453781516,0.21799999475479126,0.5949411988258362,0.09274030476808548,3
trump,us_vs_them,pct,0.651359477124183,0.4246666729450226,0.9114117622375488,0.11501045525074005,3
trump,gratitude_recognition,pct,0.5117170868347339,0.2460000067949295,0.6692941188812256,0.10974907875061035,3
trump,promises_commitments,pct,0.5907404295051354,0.476666659116745,0.7954117655754089,0.08314021676778793,3
erdogan,conflict_threat_framing,rate,0.2225274725274725,0.07362637668848038,0.40824174880981445,0.08871075510978699,5
erdogan,cooperation_solidarity_framing,rate,0.22142857142857145,0.05000000074505806,0.4000000059604645,0.09558986127376556,5
erdogan,past_orientation,rate,0.31593406593406587,0.14267857372760773,0.5049450397491455,0.0924314484000206,5
erdogan,future_orientation,rate,0.3673992673992673,0.17107143998146057,0.5571428537368774,0.10291186720132828,5
erdogan,us_vs_them,rate,0.132051282051282,0.03205128386616707,0.28809523582458496,0.06766454130411148,5
erdogan,gratitude_recognition,rate,0.1225274725274725,0.05714285746216774,0.19410714507102966,0.03794040158390999,5
erdogan,promises_commitments,rate,0.21868131868131865,0.0714285746216774,0.3857142925262451,0.07960914820432663,5
macron,conflict_threat_framing,rate,0.20206365272154744,0.13663966953754425,0.2430555522441864,0.028371844440698624,4
macron,cooperation_solidarity_framing,rate,0.16938212250712248,0.057692307978868484,0.2450142502784729,0.05099045857787132,4
macron,past_orientation,rate,0.2293915879442195,0.12019230425357819,0.3318713307380676,0.05143098533153534,4
macron,future_orientation,rate,0.3009844991752886,0.23601973056793213,0.36253562569618225,0.03059472143650055,4
macron,us_vs_them,rate,0.12887286324786323,0.03125,0.22649572789669037,0.050421830266714096,4
macron,gratitude_recognition,rate,0.1956979119808067,0.13663966953754425,0.2450142502784729,0.029424013569951057,4
macron,promises_commitments,rate,0.34221303793672214,0.311740905046463,0.37268519401550293,0.015505759045481682,4
merkel,conflict_threat_framing,rate,0.1527777777777778,0.02777777798473835,0.32499998807907104,0.07340144366025925,4
merkel,cooperation_solidarity_framing,rate,0.42499999999999993,0.2666666805744171,0.625,0.0903974324464798,4
merkel,past_orientation,rate,0.1611111111111111,0.10000000149011612,0.2750000059604645,0.051352452486753464,4
merkel,future_orientation,rate,0.18611111111111112,0.13055555522441864,0.2222222238779068,0.024656817317008972,4
merkel,us_vs_them,rate,0.2361111111111111,0.15555556118488312,0.3166666626930237,0.04333264008164406,4
merkel,gratitude_recognition,rate,0.18611111111111112,0.13055555522441864,0.2222222238779068,0.025220055133104324,4
merkel,promises_commitments,rate,0.1611111111111111,0.10000000149011612,0.2750000059604645,0.051352452486753464,4
putin,conflict_threat_framing,rate,0.22424242424242424,0.0833333358168602,0.3484848439693451,0.07186243683099747,4
putin,cooperation_solidarity_framing,rate,0.34318181818181814,0.125,0.550000011920929,0.11576499044895172,4
putin,past_orientation,rate,0.3492424242424242,0.24090908467769623,0.4583333432674408,0.05290132388472557,4
putin,future_orientation,rate,0.28106060606060607,0.145454540848732,0.42500001192092896,0.07579312473535538,4
putin,us_vs_them,rate,0.24772727272727274,0.04545454680919647,0.4506250023841858,0.10585751384496689,4
putin,gratitude_recognition,rate,0.4965909090909091,0.3375000059604645,0.6181818246841431,0.07500548660755157,4
putin,promises_commitments,rate,0.05,0.0,0.15000000596046448,0.04273637384176254,4
trump,conflict_threat_framing,rate,0.4143323996265173,0.3214285671710968,0.5882353186607361,0.0705539733171463,3
trump,cooperation_solidarity_framing,rate,0.17296918767507,0.0,0.4117647111415863,0.100074402987957,3
trump,past_orientation,rate,0.1302521008403361,0.0,0.2142857164144516,0.05451248213648796,3
trump,future_orientation,rate,0.07843137254901959,0.0,0.23529411852359772,0.06358341872692108,3
trump,us_vs_them,rate,0.46848739495798314,0.0,0.9411764740943909,0.2212308645248413,3
trump,gratitude_recognition,rate,0.2801120448179271,0.0,0.4285714328289032,0.11542729288339615,3
trump,promises_commitments,rate,0.3667133520074697,0.1785714328289032,0.5882353186607361,0.09718925505876541,3
erdogan,conflict_threat_framing,cos,0.4104780580534798,0.38367560505867004,0.4414643347263336,0.014685200527310371,5
erdogan,cooperation_solidarity_framing,cos,0.3889820475139194,0.361188679933548,0.41897088289260864,0.015007345005869865,5
erdogan,past_orientation,cos,0.4103636560084249,0.3784613609313965,0.43269237875938416,0.013997016474604607,5
erdogan,future_orientation,cos,0.4571256371494504,0.41848257184028625,0.4891695976257324,0.019106488674879074,5
erdogan,us_vs_them,cos,0.3684952509131868,0.3517405092716217,0.39181986451148987,0.010818611830472946,5
erdogan,gratitude_recognition,cos,0.40733735867948717,0.3776918649673462,0.4254736006259918,0.013506402261555195,5
erdogan,promises_commitments,cos,0.42367454630329665,0.402114599943161,0.44213590025901794,0.010876907967031002,5
macron,conflict_threat_framing,cos,0.39872397618976324,0.3862372934818268,0.4117370545864105,0.0068982429802417755,4
macron,cooperation_solidarity_framing,cos,0.39353246153712607,0.37783902883529663,0.40439558029174805,0.007110766600817442,4
macron,past_orientation,cos,0.39976999436911925,0.38729310035705566,0.4122468829154968,0.00629230123013258,4
macron,future_orientation,cos,0.46956209714977876,0.46313121914863586,0.4766094386577606,0.0036109425127506256,4
macron,us_vs_them,cos,0.35339884243151615,0.34142541885375977,0.3643413186073303,0.0061109671369194984,4
macron,gratitude_recognition,cos,0.41301703785275157,0.4060511589050293,0.42146408557891846,0.004027471877634525,4
macron,promises_commitments,cos,0.44299165977690613,0.43725669384002686,0.4492369592189789,0.003212333656847477,4
