leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.4814981629393154,0.38162779808044434,0.5907028317451477,0.05505011975765228,5
erdogan,cooperation_solidarity_framing,pct,0.4109351512274556,0.3553853929042816,0.4783724844455719,0.03296932578086853,5
macron,conflict_threat_framing,pct,0.559091102515224,0.48411089181900024,0.6815014481544495,0.05384455621242523,4
macron,cooperation_solidarity_framing,pct,0.6676872031032755,0.6001077890396118,0.7511283159255981,0.03864773362874985,4
merkel,conflict_threat_framing,pct,0.6321691032512626,0.5338209867477417,0.7305172681808472,0.04939228296279907,4
merkel,cooperation_solidarity_framing,pct,0.6910671361174243,0.6456112861633301,0.764443576335907,0.03177093341946602,4
putin,conflict_threat_framing,pct,0.5262878837613637,0.45732760429382324,0.5919435620307922,0.03370590880513191,4
putin,cooperation_solidarity_framing,pct,0.45840647841477267,0.3459770083427429,0.5720846652984619,0.0529763363301754,4
trump,conflict_threat_framing,pct,0.27795566386904763,0.16034482419490814,0.4336206912994385,0.06586405634880066,3
trump,cooperation_solidarity_framing,pct,0.16156609337083333,0.07586207240819931,0.2907327711582184,0.05330120399594307,3
erdogan,conflict_threat_framing,rate,0.22347663945961158,0.08489304780960083,0.40619194507598877,0.08417484164237976,5
erdogan,cooperation_solidarity_framing,rate,0.09918730650154799,0.024264706298708916,0.21373839676380157,0.049558330327272415,5
macron,conflict_threat_framing,rate,0.3273172905525846,0.19507575035095215,0.5208333134651184,0.08792818337678909,4
macron,cooperation_solidarity_framing,rate,0.450924688057041,0.32102271914482117,0.6507353186607361,0.08772829174995422,4
merkel,conflict_threat_framing,rate,0.3787878787878788,0.25757575035095215,0.5,0.06475559622049332,4
merkel,cooperation_solidarity_framing,rate,0.4622474747474747,0.3011363744735718,0.6361111402511597,0.0781138688325882,4
putin,conflict_threat_framing,rate,0.2496212121212121,0.17424242198467255,0.34545454382896423,0.04586399719119072,4
putin,cooperation_solidarity_framing,rate,0.1871212121212121,0.04545454680919647,0.34166666865348816,0.07041935622692108,4
trump,conflict_threat_framing,rate,0.05357142857142857,0.0,0.125,0.03016873449087143,3
trump,cooperation_solidarity_framing,rate,0.0,0.0,0.0,0.0,3
erdogan,conflict_threat_framing,cos,0.4379504941304531,0.4214995503425598,0.4564063847064972,0.009274156764149666,5
erdogan,cooperation_solidarity_framing,cos,0.46189731275678997,0.4490986168384552,0.4763171076774597,0.0070063266903162,5
macron,conflict_threat_framing,cos,0.448166757975156,0.4358626902103424,0.46969661116600037,0.009302507154643536,4
macron,cooperation_solidarity_framing,cos,0.5088707035062945,0.4948379695415497,0.5268859267234802,0.007976807653903961,4
merkel,conflict_threat_framing,cos,0.46133589918181817,0.4458353817462921,0.4768364131450653,0.007750604767352343,4
merkel,cooperation_solidarity_framing,cos,0.5115717267512627,0.5036191344261169,0.5247141718864441,0.005691762547940016,4
putin,conflict_threat_framing,cos,0.44424768158333333,0.4345090687274933,0.4538365602493286,0.005043821409344673,4
putin,cooperation_solidarity_framing,cos,0.46947092743560603,0.44668084383010864,0.4900793433189392,0.010601457208395004,4
trump,conflict_threat_framing,cos,0.40558231041666665,0.3924929201602936,0.431646466255188,0.010564935393631458,3
trump,cooperation_solidarity_framing,cos,0.40953286330357147,0.3926008641719818,0.43885964155197144,0.011934556066989899,3
erdogan,conflict_threat_framing,nli,0.13824321996362868,0.09213961660861969,0.19261333346366882,0.025838389992713928,5
erdogan,cooperation_solidarity_framing,nli,0.27622643453832585,0.18432319164276123,0.35515958070755005,0.045325085520744324,5
macron,conflict_threat_framing,nli,0.12102263462289922,0.09871579706668854,0.15606552362442017,0.015478236600756645,4
macron,cooperation_solidarity_framing,nli,0.3190846721657531,0.236455038189888,0.36548230051994324,0.035678088665008545,4
merkel,conflict_threat_framing,nli,0.02919769287007168,0.0036465900484472513,0.05474879592657089,0.013038509525358677,4
merkel,cooperation_solidarity_framing,nli,0.4882581192880808,0.4580817222595215,0.5304939150810242,0.018505580723285675,4
putin,conflict_threat_framing,nli,0.0380170512288636,0.004910624586045742,0.07275243103504181,0.01814989373087883,4
putin,cooperation_solidarity_framing,nli,0.40622822271060605,0.2967045307159424,0.5355580449104309,0.0664542093873024,4
trump,conflict_threat_framing,nli,0.06762331438955356,0.04061964154243469,0.11098862439393997,0.017755761742591858,3
trump,cooperation_solidarity_framing,nli,0.4500359200875,0.31568726897239685,0.5852425694465637,0.06337495148181915,3
