leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.489992586175702,0.33205658197402954,0.6554513573646545,0.08163769543170929,5
erdogan,cooperation_solidarity_framing,pct,0.43664870387228333,0.2629713714122772,0.610665500164032,0.09326544404029846,5
erdogan,past_orientation,pct,0.5188294031221001,0.35967138409614563,0.635649561882019,0.07082492113113403,5
erdogan,future_orientation,pct,0.5054798776710623,0.3042242228984833,0.6624391078948975,0.09748106449842453,5
erdogan,us_vs_them,pct,0.4558825006813187,0.37323635816574097,0.5780673027038574,0.05503639951348305,5
erdogan,gratitude_recognition,pct,0.4076355449028083,0.2613976001739502,0.5056965947151184,0.06670315563678741,5
erdogan,promises_commitments,pct,0.4486387349106227,0.28394636511802673,0.5763641595840454,0.07505770027637482,5
macron,conflict_threat_framing,pct,0.43428608122508106,0.3679453134536743,0.5021573305130005,0.032652463763952255,4
macron,cooperation_solidarity_framing,pct,0.46534850245889847,0.36920642852783203,0.5314735174179077,0.041506439447402954,4
macron,past_orientation,pct,0.48361002143641096,0.41850319504737854,0.5487168431282043,0.033482395112514496,4
macron,future_orientation,pct,0.5792959512807486,0.5528079271316528,0.6024693250656128,0.011890742927789688,4
macron,us_vs_them,pct,0.3850335185217265,0.3117489814758301,0.4470256268978119,0.032684266567230225,4
macron,gratitude_recognition,pct,0.43404326797759263,0.3981894254684448,0.4698970913887024,0.018384864553809166,4
macron,promises_commitments,pct,0.5740123717425307,0.5546229481697083,0.6063006520271301,0.014115212485194206,4
merkel,conflict_threat_framing,pct,0.4472423071076389,0.35683539509773254,0.5376492142677307,0.04444891959428787,4
merkel,cooperation_solidarity_framing,pct,0.5666752752916666,0.4884641766548157,0.6791064143180847,0.04764023795723915,4
merkel,past_orientation,pct,0.3346390032777778,0.2627410590648651,0.422821968793869,0.04376034811139107,4
merkel,future_orientation,pct,0.3923037139618055,0.31049126386642456,0.4855085015296936,0.0430699959397316,4
merkel,us_vs_them,pct,0.4848197891354166,0.39462810754776,0.5553547143936157,0.042616989463567734,4
merkel,gratitude_recognition,pct,0.4018595069513889,0.3645833432674408,0.4558798372745514,0.022882279008626938,4
merkel,promises_commitments,pct,0.3890610651076389,0.27780646085739136,0.5006600022315979,0.05488133057951927,4
putin,conflict_threat_framing,pct,0.5178750282765151,0.4555785059928894,0.5995961427688599,0.037449415773153305,4
putin,cooperation_solidarity_framing,pct,0.6164522273446968,0.5177169442176819,0.6892329454421997,0.04699793830513954,4
putin,past_orientation,pct,0.642983031060606,0.5619046092033386,0.7460227012634277,0.04758431389927864,4
putin,future_orientation,pct,0.5500125219431818,0.4374217391014099,0.6639118790626526,0.06180819869041443,4
putin,us_vs_them,pct,0.5468836131818181,0.49436983466148376,0.588966965675354,0.024815494194626808,4
putin,gratitude_recognition,pct,0.744768972625,0.7040237188339233,0.7724267244338989,0.018151961266994476,4
putin,promises_commitments,pct,0.3505400051325757,0.29423364996910095,0.4086260199546814,0.028516778722405434,4
