leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.47615238095238094,0.39800000190734863,0.598723828792572,0.0547630749642849,5
erdogan,cooperation_solidarity_framing,pct,0.39299384615384614,0.2451876848936081,0.5475999712944031,0.07800169289112091,5
erdogan,past_orientation,pct,0.5090675457875458,0.43806856870651245,0.5616512894630432,0.03225693479180336,5
erdogan,future_orientation,pct,0.4797731868131868,0.4054320752620697,0.5566417574882507,0.0410262867808342,5
erdogan,us_vs_them,pct,0.40758754578754575,0.3040798604488373,0.5128571391105652,0.05432175472378731,5
erdogan,gratitude_recognition,pct,0.36782681318681315,0.30176791548728943,0.43388572335243225,0.03376283869147301,5
erdogan,promises_commitments,pct,0.43949274725274723,0.37359121441841125,0.5055131316184998,0.03472902253270149,5
macron,conflict_threat_framing,pct,0.47337945156695155,0.42225927114486694,0.5417355895042419,0.029479000717401505,4
macron,cooperation_solidarity_framing,pct,0.4745013307842255,0.4133319854736328,0.5166210532188416,0.028386658057570457,4
macron,past_orientation,pct,0.479528668091168,0.434182345867157,0.5248749852180481,0.024699373170733452,4
macron,future_orientation,pct,0.5581521030139451,0.5123172998428345,0.5825321674346924,0.019804341718554497,4
macron,us_vs_them,pct,0.4010529033588244,0.36359867453575134,0.44427528977394104,0.021700236946344376,4
macron,gratitude_recognition,pct,0.4585635683760684,0.4007847309112549,0.5067521333694458,0.02848142758011818,4
macron,promises_commitments,pct,0.5429596078872394,0.4794802665710449,0.5911139845848083,0.028532007709145546,4
merkel,conflict_threat_framing,pct,0.47153333333333336,0.42835554480552673,0.5171777606010437,0.024190301075577736,4
merkel,cooperation_solidarity_framing,pct,0.5456555555555556,0.4491666555404663,0.601111114025116,0.042251087725162506,4
merkel,past_orientation,pct,0.35855555555555557,0.28999999165534973,0.4345000088214874,0.0400579534471035,4
merkel,future_orientation,pct,0.4500888888888889,0.3283444344997406,0.5332333445549011,0.05277479067444801,4
merkel,us_vs_them,pct,0.4577888888888888,0.40577778220176697,0.5098000168800354,0.026750361546874046,4
merkel,gratitude_recognition,pct,0.42173333333333335,0.37628889083862305,0.46717777848243713,0.023138245567679405,4
merkel,promises_commitments,pct,0.4465,0.33410000801086426,0.5360000133514404,0.05464445427060127,4
putin,conflict_threat_framing,pct,0.5283196969696969,0.45463332533836365,0.5981590747833252,0.033100392669439316,4
putin,cooperation_solidarity_framing,pct,0.6562590909090908,0.5583181977272034,0.7542724609375,0.04948229715228081,4
putin,past_orientation,pct,0.7190363636363637,0.6093090772628784,0.8500000238418579,0.06026448681950569,4
