leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
macron,merkel,0.8495888710021973,0.8394972085952759,0.8107475638389587,0.8604437708854675,0.013178909197449684,4,4
erdogan,macron,0.8056294918060303,0.7905717492103577,0.7513816952705383,0.8116179704666138,0.015942450612783432,5,4
erdogan,merkel,0.7844728827476501,0.7679935097694397,0.7309761643409729,0.7935271263122559,0.016498224809765816,5,4
erdogan,putin,0.7547877430915833,0.739363431930542,0.6788312792778015,0.7760283350944519,0.02665458805859089,5,4
macron,putin,0.7534238696098328,0.7449663281440735,0.7180823683738708,0.7629125714302063,0.011486699804663658,4,4
macron,trump,0.7358540892601013,0.7219536900520325,0.6637310981750488,0.7436863780021667,0.01811675913631916,4,3
merkel,putin,0.7357667088508606,0.7256291508674622,0.7005645036697388,0.7432557940483093,0.011273517273366451,4,4
erdogan,trump,0.7345325350761414,0.7139164209365845,0.656669557094574,0.7447916269302368,0.02107018046081066,5,3
merkel,trump,0.7288129925727844,0.7131028175354004,0.6534956693649292,0.7330968379974365,0.018128814175724983,4,3
putin,trump,0.7013195753097534,0.6867924928665161,0.6337290406227112,0.7098659873008728,0.018464459106326103,4,3
