leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
erdogan,macron,0.9416013360023499,0.928712785243988,0.8991371989250183,0.9393395781517029,0.010779483243823051,5,4
macron,merkel,0.9395084381103516,0.92927086353302,0.9103561043739319,0.9411243796348572,0.008102389052510262,4,4
erdogan,merkel,0.9223588705062866,0.9071546792984009,0.8848232626914978,0.923037588596344,0.010332828387618065,5,4
macron,trump,0.8793995976448059,0.8591450452804565,0.7473057508468628,0.8879277110099792,0.03207492455840111,4,3
erdogan,trump,0.8777114152908325,0.8529336452484131,0.7563797235488892,0.8802216649055481,0.030582431703805923,5,3
macron,putin,0.8748397827148438,0.8648862838745117,0.8404123187065125,0.8783056139945984,0.00974287185817957,4,4
erdogan,putin,0.8638936281204224,0.8495020866394043,0.810228168964386,0.8728421330451965,0.017045382410287857,5,4
merkel,trump,0.862663209438324,0.8403049111366272,0.7336806058883667,0.8686790466308594,0.030968639999628067,4,3
merkel,putin,0.8466387391090393,0.83464515209198,0.8048548698425293,0.8542316555976868,0.012641065753996372,4,4
putin,trump,0.8441535234451294,0.8218225240707397,0.7022543549537659,0.8662964701652527,0.03878457471728325,4,3
