leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
macron,merkel,0.84444659948349,0.8331601023674011,0.804997444152832,0.8522962927818298,0.012191949412226677,4,4
erdogan,macron,0.8112021088600159,0.7954837679862976,0.7559165954589844,0.815962016582489,0.016050294041633606,5,4
erdogan,merkel,0.7773322463035583,0.7595598697662354,0.7214322686195374,0.7855359315872192,0.01649855077266693,5,4
erdogan,putin,0.7727351188659668,0.7559500336647034,0.6921144127845764,0.7942161560058594,0.027930015698075294,5,4
macron,putin,0.7692521810531616,0.7599721550941467,0.7307566404342651,0.7791271805763245,0.012726152315735817,4,4
erdogan,trump,0.7516084909439087,0.7281515002250671,0.6767762303352356,0.7566275000572205,0.019653581082820892,5,3
macron,trump,0.7485046982765198,0.7322350740432739,0.6769413352012634,0.7501122951507568,0.01666109450161457,4,3
merkel,putin,0.7359130382537842,0.7243116497993469,0.6953566670417786,0.7460612654685974,0.013612345792353153,4,4
merkel,trump,0.7327574491500854,0.7141146063804626,0.6610949039459229,0.7338024377822876,0.016620395705103874,4,3
putin,trump,0.7225025296211243,0.7048327922821045,0.6392138600349426,0.7325583100318909,0.022327682003378868,4,3
