leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
macron,merkel,0.871052086353302,0.8546913266181946,0.8119504451751709,0.8823736906051636,0.01915958896279335,4,4
erdogan,macron,0.8569785356521606,0.8354625105857849,0.7962387204170227,0.8562414646148682,0.015940722078084946,5,4
erdogan,merkel,0.8275635242462158,0.8026915192604065,0.7568296194076538,0.8330703377723694,0.020396757870912552,5,4
macron,trump,0.8060958385467529,0.7863331437110901,0.708065927028656,0.8146941661834717,0.02559524215757847,4,3
erdogan,trump,0.7955118417739868,0.7671740055084229,0.6887465119361877,0.799807071685791,0.02689214237034321,5,3
macron,putin,0.778171718120575,0.7653356790542603,0.731800377368927,0.7893085479736328,0.015412924811244011,4,4
erdogan,putin,0.7743094563484192,0.7527431845664978,0.6816771626472473,0.796225368976593,0.03064298816025257,5,4
merkel,trump,0.7741202116012573,0.7510098814964294,0.6729562878608704,0.7794949412345886,0.024851888418197632,4,3
merkel,putin,0.761445939540863,0.7446363568305969,0.7014212608337402,0.7717605829238892,0.01898905821144581,4,4
putin,trump,0.7434664368629456,0.7228960990905762,0.6323210597038269,0.7588860392570496,0.029121750965714455,4,3
