leader_a,leader_b,cosine_similarity,boot_mean,ci_low,ci_high,boot_sd,n_speeches_a,n_speeches_b
macron,merkel,0.871435284614563,0.852993905544281,0.807228684425354,0.8806578516960144,0.019676348194479942,4,4
erdogan,macron,0.8614677786827087,0.8397585153579712,0.8017517328262329,0.8593249917030334,0.015511543489992619,5,4
erdogan,merkel,0.8240841627120972,0.7976140379905701,0.7527031898498535,0.8281405568122864,0.019966738298535347,5,4
macron,trump,0.8204466700553894,0.7957149744033813,0.7028318643569946,0.8255964517593384,0.02778349444270134,4,3
erdogan,trump,0.8155317306518555,0.7823967933654785,0.7052289247512817,0.8129519820213318,0.025813177227973938,5,3
macron,putin,0.7884635925292969,0.7754022479057312,0.7422808408737183,0.7984217405319214,0.015055656433105469,4,4
erdogan,putin,0.7829931974411011,0.7613093256950378,0.6972654461860657,0.803827702999115,0.02923349104821682,5,4
merkel,trump,0.7780965566635132,0.7491559982299805,0.6666172742843628,0.7780965566635132,0.024370823055505753,4,3
merkel,putin,0.7533241510391235,0.7351821064949036,0.6865907907485962,0.7654020190238953,0.021016431972384453,4,4
putin,trump,0.7523903846740723,0.7270793318748474,0.5991971492767334,0.769078254699707,0.039032429456710815,4,3
