leader_a,leader_b,share_most_similar_pair,share_least_similar_pair,observed
putin,trump,0.8665,0.0,0.7522379159927368
macron,merkel,0.1275,0.0,0.6959191560745239
merkel,putin,0.006,0.0005,0.6741669774055481
merkel,trump,0.0,0.0005,0.6681346893310547
macron,putin,0.0,0.0,0.6466285586357117
macron,trump,0.0,0.006,0.6437197923660278
erdogan,merkel,0.0,0.0335,0.6147727370262146
erdogan,trump,0.0,0.0565,0.6100170016288757
erdogan,putin,0.0,0.1315,0.6002284288406372
erdogan,macron,0.0,0.7715,0.5797748565673828
