leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.4566048351648352,0.35669538378715515,0.5748791098594666,0.0558200478553772,5,126
erdogan,security_military,pct,0.4956147985347985,0.34046050906181335,0.6395347714424133,0.07752981781959534,5,126
erdogan,economy_welfare,pct,0.4503573626373626,0.29147428274154663,0.575474739074707,0.07667813450098038,5,126
erdogan,foreign_policy,pct,0.5581954578754578,0.41454973816871643,0.7050183415412903,0.07321646064519882,5,126
erdogan,democracy_institutions,pct,0.5809046153846154,0.4506549537181854,0.7477356791496277,0.07925500720739365,5,126
erdogan,social_solidarity,pct,0.3526168498168499,0.22828571498394012,0.47648778557777405,0.06637132167816162,5,126
erdogan,crisis_resilience,pct,0.4684715018315019,0.3171771466732025,0.6010534763336182,0.07796793431043625,5,126
erdogan,future_reform_technology,pct,0.45683838827838824,0.37129905819892883,0.5335047841072083,0.042332302778959274,5,126
macron,national_identity,pct,0.46024457377417904,0.4323651194572449,0.48173612356185913,0.01346324197947979,4,35
macron,security_military,pct,0.43648919440695755,0.3738190829753876,0.5100142359733582,0.034564077854156494,4,35
macron,economy_welfare,pct,0.547858824411456,0.48416194319725037,0.6067222356796265,0.032783109694719315,4,35
macron,foreign_policy,pct,0.47517923414304986,0.3913886547088623,0.5535865426063538,0.043464403599500656,4,35
macron,democracy_institutions,pct,0.48674220272904484,0.4414210617542267,0.5197685360908508,0.02030104771256447,4,35
macron,social_solidarity,pct,0.49799123744189533,0.44419434666633606,0.5453048348426819,0.027607019990682602,4,35
macron,crisis_resilience,pct,0.528366265557055,0.4500197470188141,0.5745462775230408,0.03501050919294357,4,35
macron,future_reform_technology,pct,0.6893870145449092,0.6581424474716187,0.7219230532646179,0.017462672665715218,4,35
merkel,national_identity,pct,0.4222444444444444,0.37273332476615906,0.4596000015735626,0.023104678839445114,4,35
merkel,security_military,pct,0.4353222222222222,0.3513111174106598,0.5193333625793457,0.042401012033224106,4,35
merkel,economy_welfare,pct,0.5287,0.4525222182273865,0.6135777831077576,0.04103829711675644,4,35
merkel,foreign_policy,pct,0.5248777777777778,0.4518333375453949,0.6255000233650208,0.04379262402653694,4,35
merkel,democracy_institutions,pct,0.5556111111111111,0.48946666717529297,0.63673335313797,0.04013728350400925,4,35
merkel,social_solidarity,pct,0.5953666666666666,0.5254666805267334,0.6652666926383972,0.036501895636320114,4,35
merkel,crisis_resilience,pct,0.4628222222222222,0.3449110984802246,0.5807333588600159,0.05915151163935661,4,35
merkel,future_reform_technology,pct,0.6098888888888889,0.4908444583415985,0.6797778010368347,0.05228825658559799,4,35
putin,national_identity,pct,0.6762848484848484,0.5744545459747314,0.7929999828338623,0.053356390446424484,4,35
putin,security_military,pct,0.6061651515151515,0.5381412506103516,0.6879454255104065,0.037326570600271225,4,35
putin,economy_welfare,pct,0.25289242424242425,0.20210908353328705,0.30924999713897705,0.027596116065979004,4,35
putin,foreign_policy,pct,0.4356439393939394,0.39649999141693115,0.4747878909111023,0.02055814489722252,4,35
putin,democracy_institutions,pct,0.3193378787878788,0.2728545367717743,0.3707500100135803,0.02663394995033741,4,35
putin,social_solidarity,pct,0.6717272727272726,0.5600000023841858,0.7918590903282166,0.05816969648003578,4,35
putin,crisis_resilience,pct,0.48236363636363633,0.3919999897480011,0.5727272629737854,0.048096898943185806,4,35
putin,future_reform_technology,pct,0.3144257575757575,0.24032726883888245,0.3804166615009308,0.034007687121629715,4,35
trump,national_identity,pct,0.49192343604108313,0.18733333051204681,0.7732940912246704,0.13824810087680817,3,10
trump,security_military,pct,0.5342250233426703,0.38466668128967285,0.6532941460609436,0.06460351496934891,3,10
trump,economy_welfare,pct,0.5589028944911297,0.49266666173934937,0.6784706115722656,0.04855770990252495,3,10
trump,foreign_policy,pct,0.39636041083099904,0.17133332788944244,0.575176477432251,0.09715501219034195,3,10
