leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.5479965552930621,0.4470207989215851,0.6489723324775696,0.050751764327287674,5,126
erdogan,security_military,pct,0.4534249112576168,0.372606486082077,0.5467079877853394,0.04415098950266838,5,126
erdogan,economy_welfare,pct,0.46279321810106244,0.3784494698047638,0.5394436120986938,0.0420428030192852,5,126
erdogan,foreign_policy,pct,0.4646522602260695,0.3305882215499878,0.6094761490821838,0.07020311802625656,5,126
erdogan,democracy_institutions,pct,0.4908161856612475,0.33652636408805847,0.6928459405899048,0.09170565754175186,5,126
erdogan,social_solidarity,pct,0.43702308270232904,0.36444219946861267,0.522482693195343,0.03881685435771942,5,126
erdogan,crisis_resilience,pct,0.5844568219392767,0.5170219540596008,0.6725618839263916,0.03960810601711273,5,126
erdogan,future_reform_technology,pct,0.46692104406827684,0.40241315960884094,0.5245169997215271,0.032447680830955505,5,126
macron,national_identity,pct,0.3699450454033422,0.3474268615245819,0.4047234356403351,0.015545369125902653,4,35
macron,security_military,pct,0.517894365263887,0.4258359372615814,0.6308221220970154,0.05013301968574524,4,35
macron,economy_welfare,pct,0.6093919985787656,0.5410266518592834,0.6777573227882385,0.03621530160307884,4,35
macron,foreign_policy,pct,0.5696999483347426,0.49402889609336853,0.6652184724807739,0.04440656676888466,4,35
macron,democracy_institutions,pct,0.5508306639115587,0.506485104560852,0.6180593371391296,0.030427105724811554,4,35
macron,social_solidarity,pct,0.5730129978697638,0.5066940784454346,0.6457141637802124,0.037437595427036285,4,35
macron,crisis_resilience,pct,0.6608651804698641,0.600470244884491,0.721260130405426,0.033372145146131516,4,35
macron,future_reform_technology,pct,0.6847414938561164,0.6449255347251892,0.714173436164856,0.0188114196062088,4,35
merkel,national_identity,pct,0.6326998449343434,0.530329167842865,0.7569683790206909,0.05491790175437927,4,35
merkel,security_military,pct,0.5256757223339646,0.4329023063182831,0.6198040843009949,0.044531505554914474,4,35
merkel,economy_welfare,pct,0.6540286528926768,0.5631857514381409,0.7644348740577698,0.04905909299850464,4,35
merkel,foreign_policy,pct,0.656611806846591,0.5725574493408203,0.7605485916137695,0.04771389439702034,4,35
merkel,democracy_institutions,pct,0.6125792475858586,0.5714994668960571,0.6770141124725342,0.028315002098679543,4,35
merkel,social_solidarity,pct,0.7164145801085858,0.6133620738983154,0.8194670677185059,0.054569099098443985,4,35
merkel,crisis_resilience,pct,0.36605886648800506,0.33272987604141235,0.38859719038009644,0.014939140528440475,4,35
merkel,future_reform_technology,pct,0.5784604687588384,0.5173589587211609,0.6374765038490295,0.03196880593895912,4,35
putin,national_identity,pct,0.5912434704393938,0.4757053256034851,0.7067816257476807,0.06129372864961624,4,35
putin,security_military,pct,0.6240321327651516,0.5540948510169983,0.7064224481582642,0.03843190148472786,4,35
putin,economy_welfare,pct,0.26824190500208334,0.20734064280986786,0.3356034457683563,0.03212428838014603,4,35
putin,foreign_policy,pct,0.42605930303787876,0.3625718355178833,0.5011598467826843,0.03478635102510452,4,35
putin,democracy_institutions,pct,0.4047152566382575,0.3342607021331787,0.4784482717514038,0.03688511624932289,4,35
putin,social_solidarity,pct,0.49350313347348485,0.40905171632766724,0.5743103623390198,0.04511076584458351,4,35
