leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.42252380952380947,0.36320000886917114,0.49183809757232666,0.032921116799116135,5,126
erdogan,security_military,pct,0.43009523809523803,0.3626857101917267,0.49937430024147034,0.03639998286962509,5,126
erdogan,economy_welfare,pct,0.4046540659340659,0.3058171570301056,0.47655385732650757,0.04537815973162651,5,126
erdogan,foreign_policy,pct,0.4967755311355311,0.4270514249801636,0.5998136401176453,0.04517166689038277,5,126
erdogan,democracy_institutions,pct,0.45159780219780216,0.30133846402168274,0.6967228651046753,0.1112932562828064,5,126
erdogan,social_solidarity,pct,0.3435761172161172,0.24450461566448212,0.4426476061344147,0.05160440877079964,5,126
erdogan,crisis_resilience,pct,0.41363179487179486,0.3541390597820282,0.48165273666381836,0.03285178169608116,5,126
erdogan,future_reform_technology,pct,0.4306354578754578,0.3626556694507599,0.49861523509025574,0.03454158827662468,5,126
macron,national_identity,pct,0.4589034994002099,0.4419471025466919,0.48325732350349426,0.01049814559519291,4,35
macron,security_military,pct,0.47523895074224015,0.39377084374427795,0.5820161700248718,0.04670485481619835,4,35
macron,economy_welfare,pct,0.5431476514469935,0.4678223729133606,0.6184729337692261,0.03880326449871063,4,35
macron,foreign_policy,pct,0.5268209158044684,0.49153605103492737,0.5621057748794556,0.018780814483761787,4,35
macron,democracy_institutions,pct,0.5715951698155645,0.5411282777786255,0.6168034076690674,0.02009332925081253,4,35
macron,social_solidarity,pct,0.44358983730694257,0.3716184198856354,0.5155612826347351,0.036525726318359375,4,35
macron,crisis_resilience,pct,0.5304461500974659,0.4718552529811859,0.5890370607376099,0.030686216428875923,4,35
macron,future_reform_technology,pct,0.62043473534263,0.6040657758712769,0.6396837830543518,0.008754311129450798,4,35
merkel,national_identity,pct,0.37606666666666666,0.32012221217155457,0.43274444341659546,0.028955867514014244,4,35
merkel,security_military,pct,0.4241666666666667,0.4035666584968567,0.4375777840614319,0.008869634941220284,4,35
merkel,economy_welfare,pct,0.4679444444444444,0.34246665239334106,0.5934222340583801,0.0658828541636467,4,35
merkel,foreign_policy,pct,0.4217666666666666,0.3310999870300293,0.5044333338737488,0.0429418683052063,4,35
merkel,democracy_institutions,pct,0.5480111111111111,0.4998111128807068,0.5860000252723694,0.021911323070526123,4,35
merkel,social_solidarity,pct,0.5736444444444445,0.49388888478279114,0.6601555347442627,0.0398271307349205,4,35
merkel,crisis_resilience,pct,0.43853333333333333,0.3905999958515167,0.4864666759967804,0.023739732801914215,4,35
merkel,future_reform_technology,pct,0.5308,0.39640000462532043,0.6497777700424194,0.06278756260871887,4,35
putin,national_identity,pct,0.7139075757575757,0.5805227160453796,0.8297500014305115,0.06135375797748566,4,35
putin,security_military,pct,0.5948575757575758,0.5704666376113892,0.6157727241516113,0.010841253213584423,4,35
putin,economy_welfare,pct,0.3657515151515151,0.33083635568618774,0.41999998688697815,0.023035041987895966,4,35
putin,foreign_policy,pct,0.4735893939393939,0.40534543991088867,0.5418333411216736,0.037257514894008636,4,35
putin,democracy_institutions,pct,0.33695151515151506,0.2704545557498932,0.4009999930858612,0.03244014456868172,4,35
putin,social_solidarity,pct,0.7295621212121213,0.6245909333229065,0.834909975528717,0.054744936525821686,4,35
putin,crisis_resilience,pct,0.5098257575757577,0.4039090871810913,0.6011515259742737,0.05361054837703705,4,35
putin,future_reform_technology,pct,0.4321803030303031,0.29975757002830505,0.5566499829292297,0.06203138455748558,4,35
trump,national_identity,pct,0.6305452847805789,0.5073333382606506,0.7805882096290588,0.0649925246834755,3,10
trump,security_military,pct,0.6682773109243697,0.6147142648696899,0.7139999866485596,0.023955723270773888,3,10
trump,economy_welfare,pct,0.7101213818860878,0.5622857213020325,0.8486666679382324,0.0685795471072197,3,10
trump,foreign_policy,pct,0.49759663865546216,0.32199999690055847,0.6156470775604248,0.07338553667068481,3,10
trump,democracy_institutions,pct,0.578671335200747,0.475857138633728,0.6848235130310059,0.049207285046577454,3,10
trump,social_solidarity,pct,0.6131802054154996,0.5462856888771057,0.6845882534980774,0.032589126378297806,3,10
trump,crisis_resilience,pct,0.5475835667600374,0.4286666810512543,0.654941201210022,0.05348909646272659,3,10
trump,future_reform_technology,pct,0.5105518207282913,0.3467142879962921,0.6060000061988831,0.06795944273471832,3,10
erdogan,national_identity,cos,0.26131238989706956,0.24228782951831818,0.2846018373966217,0.010765200480818748,5,126
erdogan,security_military,cos,0.2552595901267399,0.24058543145656586,0.2697455585002899,0.0077133579179644585,5,126
erdogan,economy_welfare,cos,0.2377168162347985,0.21415384113788605,0.2596646547317505,0.012350374832749367,5,126
erdogan,foreign_policy,cos,0.2603611634131868,0.2414991408586502,0.28488653898239136,0.01071078795939684,5,126
erdogan,democracy_institutions,cos,0.2444187895388278,0.19866470992565155,0.3200038969516754,0.03445068374276161,5,126
erdogan,social_solidarity,cos,0.2567673020706959,0.22719857096672058,0.2863360345363617,0.01558545883744955,5,126
erdogan,crisis_resilience,cos,0.3015892772043956,0.2877621054649353,0.3175235390663147,0.007574630901217461,5,126
erdogan,future_reform_technology,cos,0.2720726536915751,0.2562931478023529,0.2878521680831909,0.007968397811055183,5,126
macron,national_identity,cos,0.27333166254945923,0.2682642936706543,0.2786538302898407,0.00285948789678514,4,35
macron,security_military,cos,0.2653681867822434,0.24632114171981812,0.2914275825023651,0.011517602950334549,4,35
macron,economy_welfare,cos,0.2636835352655711,0.24902084469795227,0.2783462107181549,0.008072098717093468,4,35
macron,foreign_policy,cos,0.2646060951985867,0.2564237117767334,0.27278846502304077,0.0044140564277768135,4,35
macron,democracy_institutions,cos,0.25818948657812735,0.2537505030632019,0.2647065818309784,0.0029382456559687853,4,35
macron,social_solidarity,cos,0.2870438893652534,0.2675831913948059,0.30650457739830017,0.009956469759345055,4,35
macron,crisis_resilience,cos,0.3265884542492081,0.31514477729797363,0.3366810977458954,0.005886576138436794,4,35
macron,future_reform_technology,cos,0.3290732540294412,0.32596588134765625,0.3340572714805603,0.002221727976575494,4,35
merkel,national_identity,cos,0.24689346380555552,0.2313670963048935,0.26241981983184814,0.008333337493240833,4,35
merkel,security_military,cos,0.25356929138888884,0.25122517347335815,0.2559323310852051,0.001314249588176608,4,35
merkel,economy_welfare,cos,0.2482277078333333,0.21918871998786926,0.27899184823036194,0.015898151323199272,4,35
merkel,foreign_policy,cos,0.24760899080555548,0.2223758101463318,0.2702455222606659,0.011735206469893456,4,35
merkel,democracy_institutions,cos,0.2604992982777778,0.25616633892059326,0.2647849917411804,0.0023004538379609585,4,35
merkel,social_solidarity,cos,0.32428985466666665,0.30653485655784607,0.346009761095047,0.010323172435164452,4,35
merkel,crisis_resilience,cos,0.3051419010277778,0.2964889407157898,0.313794881105423,0.004274121019989252,4,35
merkel,future_reform_technology,cos,0.3042361691666666,0.2598012089729309,0.33906301856040955,0.020555738359689713,4,35
putin,national_identity,cos,0.3551737770340909,0.30685287714004517,0.3949223756790161,0.021374721080064774,4,35
putin,security_military,cos,0.2987959466780303,0.2860291004180908,0.31156280636787415,0.006499710492789745,4,35
putin,economy_welfare,cos,0.21955723704166666,0.21329250931739807,0.22861629724502563,0.0038778320886194706,4,35
putin,foreign_policy,cos,0.25418890727272725,0.241136834025383,0.267240971326828,0.0070907603949308395,4,35
putin,democracy_institutions,cos,0.2052588159848484,0.1926387995481491,0.21683469414710999,0.006066301837563515,4,35
putin,social_solidarity,cos,0.3675456399090909,0.33872249722480774,0.3965710699558258,0.01631268486380577,4,35
putin,crisis_resilience,cos,0.32097509147727277,0.3016790747642517,0.33792737126350403,0.009892559610307217,4,35
putin,future_reform_technology,cos,0.2713813378636364,0.24247898161411285,0.29749658703804016,0.013144315220415592,4,35
trump,national_identity,cos,0.32598728977357605,0.27818217873573303,0.3713758885860443,0.021948233246803284,3,10
trump,security_military,cos,0.309629070971055,0.2935544550418854,0.3235807418823242,0.007231897208839655,3,10
trump,economy_welfare,cos,0.31472536669000933,0.2724115550518036,0.3530369699001312,0.019347524270415306,3,10
trump,foreign_policy,cos,0.2664782373132586,0.2268723100423813,0.29349759221076965,0.01658553257584572,3,10
trump,democracy_institutions,cos,0.2602881995704948,0.2370212823152542,0.28157442808151245,0.010540487244725227,3,10
trump,social_solidarity,cos,0.32972127879318397,0.31361398100852966,0.3494470715522766,0.008540931157767773,3,10
trump,crisis_resilience,cos,0.327559790445845,0.30414462089538574,0.34931284189224243,0.010652291588485241,3,10
trump,future_reform_technology,cos,0.28875931970821656,0.25243717432022095,0.3069824278354645,0.0149761363863945,3,10
