leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.0,0.0705,0.4566048351648352,6
erdogan,security_military,0.0,0.674,0.4956147985347985,3
erdogan,economy_welfare,0.0,0.073,0.4503573626373626,7
erdogan,foreign_policy,0.35,0.9985,0.5581954578754578,2
erdogan,democracy_institutions,0.6115,0.6925,0.5809046153846154,1
erdogan,social_solidarity,0.0,0.0,0.3526168498168499,8
erdogan,crisis_resilience,0.0385,0.3885,0.4684715018315019,4
erdogan,future_reform_technology,0.0,0.103,0.45683838827838824,5
macron,national_identity,0.0,0.0,0.46024457377417904,7
macron,security_military,0.0,0.0,0.43648919440695755,8
macron,economy_welfare,0.0,0.956,0.547858824411456,2
macron,foreign_policy,0.0,0.044,0.47517923414304986,6
macron,democracy_institutions,0.0,0.004,0.48674220272904484,5
macron,social_solidarity,0.0,0.0,0.49799123744189533,4
macron,crisis_resilience,0.0,0.996,0.528366265557055,3
macron,future_reform_technology,1.0,1.0,0.6893870145449092,1
merkel,national_identity,0.0,0.0,0.4222444444444444,8
merkel,security_military,0.0,0.0,0.4353222222222222,7
merkel,economy_welfare,0.0,0.351,0.5287,4
merkel,foreign_policy,0.0,0.0065,0.5248777777777778,5
merkel,democracy_institutions,0.1245,0.649,0.5556111111111111,3
merkel,social_solidarity,0.3395,0.9935,0.5953666666666666,2
merkel,crisis_resilience,0.004,0.0735,0.4628222222222222,6
merkel,future_reform_technology,0.532,0.9265,0.6098888888888889,1
putin,national_identity,0.542,0.997,0.6762848484848484,1
putin,security_military,0.109,0.99,0.6061651515151515,3
putin,economy_welfare,0.0,0.0,0.25289242424242425,8
putin,foreign_policy,0.0,0.0,0.4356439393939394,5
putin,democracy_institutions,0.0,0.0,0.3193378787878788,6
putin,social_solidarity,0.349,1.0,0.6717272727272726,2
putin,crisis_resilience,0.0,0.013,0.48236363636363633,4
putin,future_reform_technology,0.0,0.0,0.3144257575757575,7
trump,national_identity,0.244,0.735,0.49192343604108313,3
trump,security_military,0.1565,0.964,0.5342250233426703,2
trump,economy_welfare,0.5995,1.0,0.5589028944911297,1
trump,foreign_policy,0.0,0.0,0.39636041083099904,7
trump,democracy_institutions,0.0,0.301,0.4447142857142857,4
trump,social_solidarity,0.0,0.0,0.4377945845004669,5
trump,crisis_resilience,0.0,0.0,0.41228197945845,6
trump,future_reform_technology,0.0,0.0,0.275921568627451,8
