leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.0185,0.955,0.5545456289654072,2
erdogan,security_military,0.0,0.0695,0.46642802042156434,5
erdogan,economy_welfare,0.0,0.147,0.461083680826101,7
erdogan,foreign_policy,0.0,0.084,0.46971205506075686,4
erdogan,democracy_institutions,0.184,0.521,0.4932749427715969,3
erdogan,social_solidarity,0.0,0.095,0.43770496232628203,8
erdogan,crisis_resilience,0.7975,0.9635,0.5984490968387877,1
erdogan,future_reform_technology,0.0,0.165,0.4663982380962718,6
macron,national_identity,0.0,0.0,0.3709830364473262,8
macron,security_military,0.0,0.0,0.5144722019516219,7
macron,economy_welfare,0.0,0.981,0.6105783729305767,3
macron,foreign_policy,0.0,0.019,0.5701427242382132,4
macron,democracy_institutions,0.0,0.0,0.5450449826945538,6
macron,social_solidarity,0.0,0.0,0.5688653703830939,5
macron,crisis_resilience,0.077,1.0,0.6591124590797021,2
macron,future_reform_technology,0.923,1.0,0.6887873698268907,1
merkel,national_identity,0.0,0.389,0.6424877873522727,4
merkel,security_military,0.0,0.0,0.544582336096591,7
merkel,economy_welfare,0.0,0.8225,0.6574835520075757,3
merkel,foreign_policy,0.0065,0.7105,0.6605175899242425,2
merkel,democracy_institutions,0.0,0.075,0.6183961370454545,5
merkel,social_solidarity,0.9935,1.0,0.7495576656628787,1
merkel,crisis_resilience,0.0,0.0,0.36447119291098484,8
merkel,future_reform_technology,0.0,0.003,0.5926098987310606,6
putin,national_identity,0.375,1.0,0.5680522252992424,2
putin,security_military,0.625,1.0,0.6052781115075758,1
putin,economy_welfare,0.0,0.0,0.2319963589176136,8
putin,foreign_policy,0.0,0.017,0.4026739518901515,4
putin,democracy_institutions,0.0,0.0285,0.38905875913257576,5
putin,social_solidarity,0.0,0.951,0.46103344696515147,3
putin,crisis_resilience,0.0,0.0,0.300907096405303,7
putin,future_reform_technology,0.0,0.0035,0.31140226770757573,6
trump,national_identity,0.735,0.735,0.41899248922696075,1
trump,security_military,0.0,0.508,0.38184309007049483,4
trump,economy_welfare,0.265,0.7145,0.395981528640873,2
trump,foreign_policy,0.0,0.0,0.2714407046269374,5
trump,democracy_institutions,0.0,1.0,0.3886600684149159,3
trump,social_solidarity,0.0,0.0,0.210249890564986,6
trump,crisis_resilience,0.0,0.0,0.17882328284341734,8
trump,future_reform_technology,0.0,0.0425,0.2033661038495331,7
