leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.0,0.1645,0.44883020795372397,5
erdogan,security_military,0.0,0.6325,0.48531317200354096,3
erdogan,economy_welfare,0.0,0.1045,0.4456081801649816,7
erdogan,foreign_policy,0.3855,0.9985,0.5563373467263736,2
erdogan,democracy_institutions,0.6115,0.699,0.5780777283699634,1
erdogan,social_solidarity,0.0,0.0,0.35546070216788767,8
erdogan,crisis_resilience,0.003,0.3535,0.46521003621308915,4
erdogan,future_reform_technology,0.0,0.0475,0.44622321741495724,6
macron,national_identity,0.0,0.0,0.45032155739850244,7
macron,security_military,0.0,0.0,0.4317613511950541,8
macron,economy_welfare,0.0,0.9805,0.5503054079793471,2
macron,foreign_policy,0.0,0.0195,0.46888544806779076,6
macron,democracy_institutions,0.0,0.036,0.49078560692505196,4
macron,social_solidarity,0.0,0.0,0.4862715902702457,5
macron,crisis_resilience,0.0,0.964,0.5248788190684276,3
macron,future_reform_technology,1.0,1.0,0.6921946809098065,1
merkel,national_identity,0.0,0.0,0.3919593645069444,8
merkel,security_military,0.0,0.004,0.4025912520868056,7
merkel,economy_welfare,0.0,0.3085,0.5080348941770834,4
merkel,foreign_policy,0.0,0.055,0.4903868219340278,5
merkel,democracy_institutions,0.2045,0.6915,0.54304407553125,3
merkel,social_solidarity,0.284,0.941,0.5700040121041666,2
merkel,crisis_resilience,0.004,0.0735,0.42138717133333337,6
merkel,future_reform_technology,0.5075,0.9265,0.5814680938194444,1
putin,national_identity,0.405,0.997,0.7262553291477272,2
putin,security_military,0.044,0.99,0.630118327840909,3
putin,economy_welfare,0.0,0.0,0.2780913478617424,8
putin,foreign_policy,0.0,0.0,0.4563266985909091,5
putin,democracy_institutions,0.0,0.0,0.334031427935606,6
putin,social_solidarity,0.551,1.0,0.7336589091515152,1
putin,crisis_resilience,0.0,0.013,0.5035123977803031,4
putin,future_reform_technology,0.0,0.0,0.33174148487348487,7
trump,national_identity,0.244,0.62,0.5441017371785715,3
trump,security_military,0.756,1.0,0.6710817619285714,1
trump,economy_welfare,0.0,1.0,0.5838621596488096,2
trump,foreign_policy,0.0,0.0425,0.49995080039880957,6
trump,democracy_institutions,0.0,0.1145,0.5127410493285715,5
trump,social_solidarity,0.0,0.0,0.4833603892321428,7
trump,crisis_resilience,0.0,0.223,0.5144874080654761,4
trump,future_reform_technology,0.0,0.0,0.3248352033940476,8
