leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.0,0.1165,0.42252380952380947,5
erdogan,security_military,0.023,0.419,0.43009523809523803,4
erdogan,economy_welfare,0.063,0.26,0.4046540659340659,7
erdogan,foreign_policy,0.6275,1.0,0.4967755311355311,1
erdogan,democracy_institutions,0.2865,0.6595,0.45159780219780216,2
erdogan,social_solidarity,0.0,0.0,0.3435761172161172,8
erdogan,crisis_resilience,0.0,0.1785,0.41363179487179486,6
erdogan,future_reform_technology,0.0,0.3665,0.4306354578754578,3
macron,national_identity,0.0,0.0,0.4589034994002099,7
macron,security_military,0.0,0.0215,0.47523895074224015,6
macron,economy_welfare,0.0,0.546,0.5431476514469935,3
macron,foreign_policy,0.0,0.34,0.5268209158044684,5
macron,democracy_institutions,0.035,0.9455,0.5715951698155645,2
macron,social_solidarity,0.0,0.0,0.44358983730694257,8
macron,crisis_resilience,0.0,0.147,0.5304461500974659,4
macron,future_reform_technology,0.965,1.0,0.62043473534263,1
merkel,national_identity,0.0,0.0,0.37606666666666666,8
merkel,security_military,0.0,0.0,0.4241666666666667,6
merkel,economy_welfare,0.0,0.114,0.4679444444444444,4
merkel,foreign_policy,0.0,0.0065,0.4217666666666666,7
merkel,democracy_institutions,0.1865,0.947,0.5480111111111111,2
merkel,social_solidarity,0.6525,1.0,0.5736444444444445,1
merkel,crisis_resilience,0.004,0.133,0.43853333333333333,5
merkel,future_reform_technology,0.157,0.7995,0.5308,3
putin,national_identity,0.38,0.997,0.7139075757575757,2
putin,security_military,0.0,0.974,0.5948575757575758,3
putin,economy_welfare,0.0,0.0,0.3657515151515151,7
putin,foreign_policy,0.0,0.0,0.4735893939393939,5
putin,democracy_institutions,0.0,0.0,0.33695151515151506,8
putin,social_solidarity,0.62,1.0,0.7295621212121213,1
putin,crisis_resilience,0.0,0.0255,0.5098257575757577,4
putin,future_reform_technology,0.0,0.0035,0.4321803030303031,6
trump,national_identity,0.244,0.735,0.6305452847805789,3
trump,security_military,0.0415,0.964,0.6682773109243697,2
trump,economy_welfare,0.7145,1.0,0.7101213818860878,1
trump,foreign_policy,0.0,0.0,0.49759663865546216,8
trump,democracy_institutions,0.0,0.036,0.578671335200747,5
trump,social_solidarity,0.0,0.265,0.6131802054154996,4
trump,crisis_resilience,0.0,0.0,0.5475835667600374,6
trump,future_reform_technology,0.0,0.0,0.5105518207282913,7
