leader,theme,share_top1,share_top3,observed_pct,observed_rank
erdogan,national_identity,0.1735,0.967,0.5426162947491204,2
erdogan,security_military,0.0,0.0,0.4704135047299817,6
erdogan,economy_welfare,0.0,0.0,0.3920642464634534,7
erdogan,foreign_policy,0.327,0.853,0.555315142239727,1
erdogan,democracy_institutions,0.261,0.279,0.5091586541169153,4
erdogan,social_solidarity,0.037,0.173,0.48485980952297353,5
erdogan,crisis_resilience,0.2015,0.728,0.539835253908331,3
erdogan,future_reform_technology,0.0,0.0,0.3853385819271461,8
macron,national_identity,0.0,0.0,0.4473366703799465,6
macron,security_military,0.0,0.0215,0.5247098595439227,4
macron,economy_welfare,0.067,1.0,0.6207364283678699,2
macron,foreign_policy,0.0,0.0,0.4366600219182152,7
macron,democracy_institutions,0.0,0.9785,0.5684136616616534,3
macron,social_solidarity,0.0,0.0,0.4163365710120599,8
macron,crisis_resilience,0.0,0.0,0.4666007819792113,5
macron,future_reform_technology,0.933,1.0,0.6752791915450089,1
merkel,national_identity,0.0,0.0,0.33526906994633837,8
merkel,security_military,0.0,0.0,0.3441714570781818,7
merkel,economy_welfare,0.0,0.5065,0.4338305487157197,3
merkel,foreign_policy,0.0,0.1035,0.3983620681671717,6
merkel,democracy_institutions,0.0,0.034,0.424074365233207,5
merkel,social_solidarity,0.4155,1.0,0.5311450727188132,2
merkel,crisis_resilience,0.0425,0.39,0.4282062000871212,4
merkel,future_reform_technology,0.542,0.966,0.5335471085894571,1
putin,national_identity,0.1865,0.969,0.6527573179734849,2
putin,security_military,0.0,0.7085,0.5606556931988637,3
putin,economy_welfare,0.0,0.0,0.30442659415530304,8
putin,foreign_policy,0.0,0.2655,0.5405485854727272,4
putin,democracy_institutions,0.0,0.0,0.3472492151666667,7
putin,social_solidarity,0.8135,0.9795,0.7047792502954546,1
putin,crisis_resilience,0.0,0.0775,0.4788623297746212,5
putin,future_reform_technology,0.0,0.0,0.36892894409166666,6
trump,national_identity,0.1405,0.2855,0.536432676875,7
trump,security_military,0.612,0.8595,0.6868637105178571,1
trump,economy_welfare,0.1025,0.855,0.670433086934524,2
trump,foreign_policy,0.145,0.3645,0.5999384255297618,4
trump,democracy_institutions,0.0,0.6355,0.633589902125,3
trump,social_solidarity,0.0,0.0,0.5569478734047618,5
trump,crisis_resilience,0.0,0.0,0.5438526251011905,6
trump,future_reform_technology,0.0,0.0,0.43205049524999994,8
