chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
erdogan1_c000,erdogan1,erdogan,0,1.0,0.0
erdogan1_c001,erdogan1,erdogan,0,1.0,0.10629988385168178
erdogan1_c002,erdogan1,erdogan,0,0.7815888559572306,0.48698481940816746
erdogan1_c003,erdogan1,erdogan,0,1.0,0.03086808312962901
erdogan1_c004,erdogan1,erdogan,0,1.0,0.0
erdogan1_c005,erdogan1,erdogan,0,1.0,0.0
erdogan1_c006,erdogan1,erdogan,0,1.0,0.0
erdogan1_c007,erdogan1,erdogan,0,1.0,0.0
erdogan1_c008,erdogan1,erdogan,0,1.0,0.04364740529277643
erdogan1_c009,erdogan1,erdogan,0,1.0,0.06696303199172511
erdogan1_c010,erdogan1,erdogan,0,1.0,0.0
erdogan1_c011,erdogan1,erdogan,0,1.0,0.04848165690968576
erdogan1_c012,erdogan1,erdogan,0,0.8828061778764019,0.4205483262473351
erdogan2022_c000,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c001,erdogan2022,erdogan,0,0.9529287791154574,0.37452162222765595
erdogan2022_c002,erdogan2022,erdogan,0,0.912293788913612,0.401193403277062
erdogan2022_c003,erdogan2022,erdogan,0,1.0,0.011035212792497523
erdogan2022_c004,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c005,erdogan2022,erdogan,0,1.0,0.3392906853520183
erdogan2022_c006,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c007,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c008,erdogan2022,erdogan,0,0.8298497546232166,0.45530758468821664
erdogan2022_c009,erdogan2022,erdogan,0,0.8987675587336631,0.4100716790682319
erdogan2022_c010,erdogan2022,erdogan,0,0.8537571630804964,0.4396153657246121
erdogan2022_c011,erdogan2022,erdogan,0,0.9132875425106544,0.4005411285201169
erdogan2022_c012,erdogan2022,erdogan,0,0.9324487828619515,0.38796417440381853
erdogan2022_c013,erdogan2022,erdogan,0,0.9796308412950583,0.3569950631591219
erdogan2022_c014,erdogan2022,erdogan,0,0.8676559683606834,0.43049254104961954
erdogan2022_c015,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c016,erdogan2022,erdogan,0,1.0,0.3276608387412622
erdogan2022_c017,erdogan2022,erdogan,0,1.0,0.0
erdogan2023_c000,erdogan2023,erdogan,0,1.0,0.0
erdogan2023_c001,erdogan2023,erdogan,0,1.0,0.30894150490799827
erdogan2023_c002,erdogan2023,erdogan,0,1.0,0.34356863964306383
erdogan2023_c003,erdogan2023,erdogan,0,0.8986083780679275,0.4101761612360067
erdogan2023_c004,erdogan2023,erdogan,0,0.9841804116119613,0.354008840134124
erdogan2023_c005,erdogan2023,erdogan,0,0.9780970287435292,0.35800181897084987
erdogan2023_c006,erdogan2023,erdogan,0,1.0,0.32943241651740546
erdogan2023_c007,erdogan2023,erdogan,0,1.0,0.23881549520315357
erdogan2023_c008,erdogan2023,erdogan,0,0.952823573014371,0.37459067685469777
erdogan2023_c009,erdogan2023,erdogan,0,0.9954496877371918,0.3466119719694113
erdogan2023_c010,erdogan2023,erdogan,0,0.956091253790845,0.3724458537410082
erdogan2023_c011,erdogan2023,erdogan,0,1.0,0.34356863964306383
erdogan2023_c012,erdogan2023,erdogan,0,0.9534343675763591,0.3741897667340704
erdogan2023_c013,erdogan2023,erdogan,0,1.0,0.3299927621278901
erdogan2023_c014,erdogan2023,erdogan,0,0.9870889252997326,0.35209976522419795
erdogan2023_c015,erdogan2023,erdogan,0,0.9592384698063642,0.3703801006532346
erdogan2023_c016,erdogan2023,erdogan,0,1.0,0.12418752435506294
erdogan2023_c017,erdogan2023,erdogan,0,1.0,0.0
erdogan2023_c018,erdogan2023,erdogan,0,1.0,0.0
erdogan2024_c000,erdogan2024,erdogan,0,1.0,0.0
erdogan2024_c001,erdogan2024,erdogan,0,1.0,0.3108696296582631
erdogan2024_c002,erdogan2024,erdogan,0,0.8506942471479008,0.44162578636753913
erdogan2024_c003,erdogan2024,erdogan,0,0.8204465316422105,0.4614796227092016
erdogan2024_c004,erdogan2024,erdogan,0,0.9332681080690809,0.3874263900356112
erdogan2024_c005,erdogan2024,erdogan,0,0.9332681080690809,0.3874263900356112
erdogan2024_c006,erdogan2024,erdogan,0,0.9332681080690809,0.3874263900356112
erdogan2024_c007,erdogan2024,erdogan,0,0.8679320022212569,0.4303113593966926
erdogan2024_c008,erdogan2024,erdogan,0,1.0,0.0
erdogan2024_c009,erdogan2024,erdogan,0,0.9991842044687615,0.3441607295279833
erdogan2024_c010,erdogan2024,erdogan,0,0.9849558703033146,0.35349984863871836
erdogan2024_c011,erdogan2024,erdogan,0,1.0,0.3373640753676516
erdogan2024_c012,erdogan2024,erdogan,0,1.0,0.3373640753676516
erdogan2024_c013,erdogan2024,erdogan,0,1.0,0.23947901321798534
erdogan2024_c014,erdogan2024,erdogan,0,1.0,0.3108696296582631
erdogan2024_c015,erdogan2024,erdogan,0,1.0,0.0
erdogan2025_c000,erdogan2025,erdogan,0,1.0,0.0
erdogan2025_c001,erdogan2025,erdogan,0,1.0,0.22262630704673408
erdogan2025_c002,erdogan2025,erdogan,0,0.9849558703033146,0.35349984863871836
erdogan2025_c003,erdogan2025,erdogan,0,0.9095500481682941,0.40299432539004754
erdogan2025_c004,erdogan2025,erdogan,0,0.9332681080690809,0.3874263900356112
erdogan2025_c005,erdogan2025,erdogan,0,0.9332681080690809,0.3874263900356112
erdogan2025_c006,erdogan2025,erdogan,0,0.9961818624665791,0.34613139097320267
erdogan2025_c007,erdogan2025,erdogan,0,0.9135052452895875,0.4003982339156219
erdogan2025_c008,erdogan2025,erdogan,0,0.9961818624665791,0.34613139097320267
erdogan2025_c009,erdogan2025,erdogan,0,0.9947000610945589,0.3471040079606048
erdogan2025_c010,erdogan2025,erdogan,0,0.8803758614789352,0.42214352453610127
erdogan2025_c011,erdogan2025,erdogan,0,0.9991842044687615,0.3441607295279833
erdogan2025_c012,erdogan2025,erdogan,0,1.0,0.3373640753676516
erdogan2025_c013,erdogan2025,erdogan,0,0.9637959781212592,0.3673886673268841
erdogan2025_c014,erdogan2025,erdogan,0,1.0,0.25548882596078537
erdogan2025_c015,erdogan2025,erdogan,0,0.8942805497515892,0.4130168384134692
erdogan2025_c016,erdogan2025,erdogan,0,0.8911899270334981,0.4150454450904681
erdogan2025_c017,erdogan2025,erdogan,0,1.0,0.3320201268037349
erdogan2025_c018,erdogan2025,erdogan,0,1.0,0.0
macron2022_c000,macron2022,macron,3,1.0,0.05291138347841891
macron2022_c001,macron2022,macron,3,1.0,0.017844170845217784
macron2022_c002,macron2022,macron,3,1.0,0.04594238366299517
macron2022_c003,macron2022,macron,3,0.9786708913009113,0.1792589144971881
macron2022_c004,macron2022,macron,3,0.9786708913009113,0.1792589144971881
macron2022_c005,macron2022,macron,3,0.9559059967087804,0.19835019887580754
macron2022_c006,macron2022,macron,-1,0.0,0.33059892658160844
macron2022_c007,macron2022,macron,3,0.9485859968653957,0.2044889577484189
macron2022_c008,macron2022,macron,3,0.9993780416330952,0.16189331264638065
macron2022_c009,macron2022,macron,-1,0.0,0.21190324606185154
macron2022_c010,macron2022,macron,-1,0.0,0.21190324606185154
macron2022_c011,macron2022,macron,-1,0.0,0.21190324606185154
macron2022_c012,macron2022,macron,-1,0.0,0.34986898965700525
macron2022_c013,macron2022,macron,-1,0.0,0.3294228058013776
macron2022_c014,macron2022,macron,3,0.9750262424502766,0.18231542009118848
macron2022_c015,macron2022,macron,3,0.9750262424502766,0.18231542009118848
macron2022_c016,macron2022,macron,3,1.0,0.15980866337753022
macron2022_c017,macron2022,macron,3,1.0,0.1294050979861543
macron2022_c018,macron2022,macron,3,1.0,0.060126714489933
macron2022_c019,macron2022,macron,3,0.9616112636217364,0.19356560070205528
macron2022_c020,macron2022,macron,3,1.0,0.0
macron2022_c021,macron2022,macron,3,1.0,0.11626653511431527
macron2022_c022,macron2022,macron,3,1.0,0.0
macron2022_c023,macron2022,macron,3,1.0,0.0
macron2022_c024,macron2022,macron,3,1.0,0.0
macron2022_c025,macron2022,macron,3,1.0,0.0
macron2022_c026,macron2022,macron,3,1.0,0.0
macron2022_c027,macron2022,macron,3,0.9515114835460103,0.20203556188754887
macron2022_c028,macron2022,macron,3,1.0,0.14260961059301516
