chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
erdogan1_c000,erdogan1,erdogan,1,1.0,0.0
erdogan1_c001,erdogan1,erdogan,1,1.0,0.14389572436108367
erdogan1_c002,erdogan1,erdogan,1,1.0,0.09226496728934223
erdogan1_c003,erdogan1,erdogan,1,1.0,0.0
erdogan1_c004,erdogan1,erdogan,1,1.0,0.0
erdogan1_c005,erdogan1,erdogan,1,1.0,0.0
erdogan1_c006,erdogan1,erdogan,1,1.0,0.0
erdogan1_c007,erdogan1,erdogan,1,1.0,0.0
erdogan1_c008,erdogan1,erdogan,1,1.0,0.0
erdogan1_c009,erdogan1,erdogan,1,1.0,0.0
erdogan2022_c000,erdogan2022,erdogan,1,1.0,0.13279705657304275
erdogan2022_c001,erdogan2022,erdogan,1,1.0,0.13279705657304275
erdogan2022_c002,erdogan2022,erdogan,1,1.0,0.13279705657304275
erdogan2022_c003,erdogan2022,erdogan,1,1.0,0.1310281683869418
erdogan2022_c004,erdogan2022,erdogan,1,1.0,0.1310281683869418
erdogan2022_c005,erdogan2022,erdogan,1,1.0,0.1310281683869418
erdogan2022_c006,erdogan2022,erdogan,1,1.0,0.0
erdogan2022_c007,erdogan2022,erdogan,1,1.0,0.13214812105697743
erdogan2022_c008,erdogan2022,erdogan,1,1.0,0.0
erdogan2022_c009,erdogan2022,erdogan,1,1.0,0.13102567568744264
erdogan2022_c010,erdogan2022,erdogan,1,1.0,0.0
erdogan2022_c011,erdogan2022,erdogan,1,1.0,0.1310281683869418
erdogan2022_c012,erdogan2022,erdogan,1,1.0,0.02900641784026009
erdogan2023_c000,erdogan2023,erdogan,1,1.0,0.061450587908605143
erdogan2023_c001,erdogan2023,erdogan,-1,0.0,0.18189531487282234
erdogan2023_c002,erdogan2023,erdogan,1,1.0,0.1412840850309416
erdogan2023_c003,erdogan2023,erdogan,1,1.0,0.0
erdogan2023_c004,erdogan2023,erdogan,1,0.9966884724160247,0.15348859474183393
erdogan2023_c005,erdogan2023,erdogan,-1,0.0,0.20183873812907194
erdogan2023_c006,erdogan2023,erdogan,1,0.9982133319531107,0.15219349499373408
erdogan2023_c007,erdogan2023,erdogan,1,1.0,0.10646169405256475
erdogan2023_c008,erdogan2023,erdogan,1,1.0,0.1409121706203769
