chunk_id,speech_id,leader,cluster,membership_probability,outlier_score
erdogan1_c000,erdogan1,erdogan,4,1.0,0.0
erdogan1_c001,erdogan1,erdogan,-1,0.0,0.21183862713034973
erdogan1_c002,erdogan1,erdogan,-1,0.0,0.24506879416690258
erdogan1_c003,erdogan1,erdogan,4,0.9147510205236762,0.08524897947632387
erdogan1_c004,erdogan1,erdogan,4,1.0,0.0
erdogan1_c005,erdogan1,erdogan,4,1.0,0.0
erdogan1_c006,erdogan1,erdogan,4,1.0,0.0
erdogan1_c007,erdogan1,erdogan,4,0.9727560818873199,0.027243918112680128
erdogan1_c008,erdogan1,erdogan,4,1.0,0.0
erdogan1_c009,erdogan1,erdogan,4,0.9414725653463186,0.058527434653681376
erdogan1_c010,erdogan1,erdogan,4,1.0,0.0
erdogan1_c011,erdogan1,erdogan,4,1.0,0.0
erdogan1_c012,erdogan1,erdogan,4,0.9092197695437022,0.09078023045629777
erdogan2022_c000,erdogan2022,erdogan,5,1.0,0.0
erdogan2022_c001,erdogan2022,erdogan,5,0.9672903431678711,0.17731708579834804
erdogan2022_c002,erdogan2022,erdogan,-1,0.0,0.23437719014093136
erdogan2022_c003,erdogan2022,erdogan,5,1.0,0.0
erdogan2022_c004,erdogan2022,erdogan,-1,0.0,0.23873618258234616
erdogan2022_c005,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c006,erdogan2022,erdogan,-1,0.0,0.23873618258234616
erdogan2022_c007,erdogan2022,erdogan,-1,0.0,0.23873618258234616
erdogan2022_c008,erdogan2022,erdogan,-1,0.0,0.07004322272092985
erdogan2022_c009,erdogan2022,erdogan,7,0.9644588343605717,0.035541165639428315
erdogan2022_c010,erdogan2022,erdogan,7,0.9552210615865703,0.04477893841342973
erdogan2022_c011,erdogan2022,erdogan,7,0.9531478884021481,0.0468521115978518
erdogan2022_c012,erdogan2022,erdogan,-1,0.0,0.21103953250390747
erdogan2022_c013,erdogan2022,erdogan,0,1.0,0.0
erdogan2022_c014,erdogan2022,erdogan,-1,0.0,0.20188440052369588
erdogan2022_c015,erdogan2022,erdogan,5,0.9552528003951101,0.18755504675605758
erdogan2022_c016,erdogan2022,erdogan,-1,0.0,0.3083541529119795
erdogan2022_c017,erdogan2022,erdogan,5,0.9552528003951101,0.18755504675605758
erdogan2023_c000,erdogan2023,erdogan,5,1.0,0.0
erdogan2023_c001,erdogan2023,erdogan,5,1.0,0.0013847825661780881
erdogan2023_c002,erdogan2023,erdogan,-1,0.0,0.2448579719309569
erdogan2023_c003,erdogan2023,erdogan,-1,0.0,0.2546734437589919
erdogan2023_c004,erdogan2023,erdogan,-1,0.0,0.2324586724827803
erdogan2023_c005,erdogan2023,erdogan,-1,0.0,0.2769073830167809
erdogan2023_c006,erdogan2023,erdogan,-1,0.0,0.2805456468036334
erdogan2023_c007,erdogan2023,erdogan,-1,0.0,0.2540166227387616
erdogan2023_c008,erdogan2023,erdogan,-1,0.0,0.30764800789973556
erdogan2023_c009,erdogan2023,erdogan,1,1.0,0.0
erdogan2023_c010,erdogan2023,erdogan,-1,0.0,0.27932213861543603
