leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.8317460317460317,0.21168154381827098,3.929232642313339,63
erdogan,macron,0.05714285714285715,0.31617050381620143,0.18073430776476182,63
erdogan,merkel,0.026984126984126985,0.16019305526687533,0.16844754561408729,63
erdogan,putin,0.03015873015873016,0.1096057746562832,0.2751563980393007,63
erdogan,trump,0.05396825396825397,0.20234912244236886,0.2667086138889715,63
macron,erdogan,0.014666666666666668,0.2743067917683346,0.05346811346564608,75
macron,macron,0.8906666666666668,0.23803668953240384,3.741720103805345,75
macron,merkel,0.08133333333333333,0.16545489027296376,0.4915740671016216,75
macron,putin,0.006666666666666667,0.1132059775551857,0.058889705390484326,75
macron,trump,0.006666666666666667,0.20899565087111205,0.03189859041984568,75
merkel,erdogan,0.028947368421052635,0.2619840576545098,0.11049286235281855,38
merkel,macron,0.14210526315789476,0.3118857829220355,0.45563238512035,38
merkel,merkel,0.7815789473684212,0.11840285360704661,6.6010144482016635,38
merkel,putin,0.018421052631578946,0.10812040474630559,0.1703753576838916,38
merkel,trump,0.028947368421052635,0.19960690107010268,0.14502188183807438,38
putin,erdogan,0.04230769230769231,0.25995640182475904,0.16274918413516368,26
putin,macron,0.026923076923076925,0.309471906934237,0.08699683661043295,26
putin,merkel,0.01153846153846154,0.15679909951334675,0.07358754976446397,26
putin,putin,0.9192307692307692,0.07571057128974547,12.141379381656751,26
putin,trump,0.0,0.19806202043791166,0.0,26
trump,erdogan,0.02291666666666667,0.2772436386622065,0.08265894495270393,48
trump,macron,0.008333333333333333,0.33005195078834115,0.025248550458280467,48
trump,merkel,0.0020833333333333333,0.1672263217327595,0.012458166344546284,48
trump,putin,0.012500000000000002,0.11441800960662492,0.10924853563679052,48
trump,trump,0.9541666666666666,0.11106007921006793,8.591445940371422,48
