leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.47294117647058825,0.23607778112326333,2.0033277770585762,85
erdogan,macron,0.3011764705882353,0.3453347016840043,0.872129181109127,85
erdogan,merkel,0.13058823529411767,0.16045854825721412,0.8138440532615657,85
erdogan,putin,0.041176470588235294,0.0906939620584254,0.4540155667883298,85
erdogan,trump,0.054117647058823534,0.16743500687709306,0.3232158439755015,85
macron,erdogan,0.11919191919191918,0.30648500897408343,0.3888996711157188,99
macron,macron,0.6636363636363637,0.26083027247426943,2.544322625364855,99
macron,merkel,0.1474747474747475,0.16586247544479807,0.8891387101227105,99
macron,putin,0.0393939393939394,0.09374835568619024,0.42020939040045896,99
macron,trump,0.030303030303030304,0.17307388742065885,0.17508724600019127,99
merkel,erdogan,0.11304347826086955,0.2906207375997821,0.38897251171574454,46
merkel,macron,0.29130434782608694,0.3384876826162168,0.8606054600703826,46
merkel,merkel,0.5173913043478261,0.11788058469713199,4.389113828007795,46
merkel,putin,0.04130434782608696,0.08889575503052159,0.464638022500686,46
merkel,trump,0.03695652173913044,0.1641152400563475,0.2251864100277448,46
putin,erdogan,0.05384615384615385,0.2868182189017006,0.18773616980240784,26
putin,macron,0.08076923076923077,0.33405886672080426,0.2417814308061313,26
putin,merkel,0.026923076923076925,0.15521927140562622,0.1734518960130942,26
putin,putin,0.8269230769230769,0.06193570759208499,13.351313952353273,26
putin,trump,0.011538461538461537,0.16196793537978388,0.07123917157680654,26
trump,erdogan,0.07916666666666668,0.3021918268980465,0.26197487694919,48
trump,macron,0.1395833333333333,0.3519645983871365,0.3965834460993187,48
trump,merkel,0.05416666666666667,0.16353910632129576,0.3312153764632208,48
trump,putin,0.06666666666666667,0.09243514705116718,0.7212263818844097,48
trump,trump,0.6604166666666668,0.08986932134235397,7.3486330685733465,48
