leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.8114754098360656,0.21148937707847396,3.836955884242661,61
erdogan,macron,0.07377049180327869,0.3267309211000798,0.22578362511542735,61
erdogan,merkel,0.01639344262295082,0.14811801756536963,0.11067824760560156,61
erdogan,putin,0.04098360655737705,0.11326671931469434,0.3618327325567746,61
erdogan,trump,0.05737704918032788,0.20039496494138234,0.2863198144579694,61
macron,erdogan,0.02266666666666667,0.2751898760024768,0.08236737119814197,75
macron,macron,0.8866666666666667,0.2466113230751866,3.595401280079669,75
macron,merkel,0.05733333333333334,0.15338452105056086,0.3737882606448553,75
macron,putin,0.028,0.11729404550925236,0.23871629525977353,75
macron,trump,0.005333333333333334,0.2075202343625235,0.025700305079727162,75
merkel,erdogan,0.020588235294117647,0.2612760742021031,0.07879877771813186,34
merkel,macron,0.1647058823529412,0.3212410748386513,0.5127173803526448,34
merkel,merkel,0.7647058823529411,0.10909141911414066,7.00977114939573,34
merkel,putin,0.02058823529411765,0.11136357261073242,0.18487405541561716,34
merkel,trump,0.029411764705882353,0.19702785923437272,0.14927718760267222,34
putin,erdogan,0.06538461538461539,0.26029766452485636,0.25119170970652976,26
putin,macron,0.10384615384615384,0.3200381121207251,0.3244805850091407,26
putin,merkel,0.007692307692307693,0.14508394416139536,0.05301970343286614,26
putin,putin,0.8192307692307691,0.07829023709231188,10.464022075508796,26
putin,trump,0.0038461538461538464,0.19629004210071135,0.019594238225189662,26
trump,erdogan,0.02608695652173913,0.27843969163792914,0.09368979102182555,46
trump,macron,0.02391304347826087,0.34234388316138853,0.06985094419516101,46
trump,merkel,0.0,0.15519589369982947,0.0,46
trump,putin,0.013043478260869565,0.11867921282928137,0.10990533177560297,46
trump,trump,0.9369565217391305,0.1053413186715715,8.894482559690866,46
