leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.5984126984126985,0.21168154381827098,2.826947912504063,63
erdogan,macron,0.20317460317460312,0.31617050381620143,0.6426108720524862,63
erdogan,merkel,0.07142857142857141,0.16019305526687533,0.44589056191964266,63
erdogan,putin,0.07460317460317459,0.1096057746562832,0.6806500372551122,63
erdogan,trump,0.05238095238095239,0.20234912244236886,0.2588642428922371,63
macron,erdogan,0.09733333333333333,0.2743067917683346,0.3548338439083785,75
macron,macron,0.7133333333333334,0.23803668953240384,2.9967369094848197,75
macron,merkel,0.10400000000000001,0.16545489027296376,0.6285701185889588,75
macron,putin,0.05333333333333334,0.1132059775551857,0.4711176431238746,75
macron,trump,0.03200000000000001,0.20899565087111205,0.15311323401525928,75
merkel,erdogan,0.0868421052631579,0.2619840576545098,0.3314785870584557,38
merkel,macron,0.3210526315789474,0.3118857829220355,1.0293916849015314,38
merkel,merkel,0.4789473684210526,0.11840285360704661,4.0450660928373825,38
merkel,putin,0.05526315789473685,0.10812040474630559,0.5111260730516749,38
merkel,trump,0.05789473684210527,0.19960690107010268,0.29004376367614876,38
putin,erdogan,0.10384615384615385,0.25995640182475904,0.3994752701499472,26
putin,macron,0.09615384615384617,0.309471906934237,0.3107029878944034,26
putin,merkel,0.03076923076923077,0.15679909951334675,0.19623346603857053,26
putin,putin,0.7615384615384616,0.07571057128974547,10.058548609071284,26
putin,trump,0.007692307692307693,0.19806202043791166,0.03883787348680042,26
trump,erdogan,0.10416666666666667,0.2772436386622065,0.37572247705774514,48
trump,macron,0.14375000000000002,0.33005195078834115,0.4355374954053381,48
trump,merkel,0.03541666666666667,0.1672263217327595,0.21178882785728687,48
trump,putin,0.05833333333333334,0.11441800960662492,0.5098264996383557,48
trump,trump,0.6583333333333333,0.11106007921006793,5.927722526544475,48
