leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.99125,0.2322570374822583,4.267900816894385,80
erdogan,macron,0.0,0.350968211436682,0.0,80
erdogan,merkel,0.0,0.1535485925035483,0.0,80
erdogan,putin,0.005,0.09505389059743469,0.052601739587658077,80
erdogan,trump,0.0037500000000000007,0.16817226798007673,0.02229856352085506,80
macron,erdogan,0.004166666666666667,0.30293481394376837,0.013754334183063209,96
macron,macron,0.9489583333333332,0.2653830761863618,3.575805763389899,96
macron,merkel,0.021874999999999995,0.15904077732047842,0.13754334183063205,96
macron,putin,0.020833333333333332,0.0984538145317247,0.21160514127789554,96
macron,trump,0.004166666666666667,0.17418751801766677,0.02392058118793602,96
merkel,erdogan,0.047619047619047616,0.2863518978829823,0.16629555442481173,42
merkel,macron,0.17142857142857143,0.34362227745957885,0.4988866632744351,42
merkel,merkel,0.6595238095238096,0.11230911656275482,5.872397804458629,42
merkel,putin,0.07380952380952381,0.09306436681196924,0.7931018749491023,42
merkel,trump,0.047619047619047616,0.16465234128271483,0.2892096598692378,42
putin,erdogan,0.038461538461538464,0.28333279229540953,0.13574686554967327,26
putin,macron,0.03461538461538462,0.3399993507544915,0.10181014916225495,26
putin,merkel,0.007692307692307693,0.14874971595509004,0.05171309163797076,26
putin,putin,0.8730769230769231,0.06500178542514837,13.431583722916335,26
putin,trump,0.04615384615384616,0.16291635556986048,0.2832978063645356,26
trump,erdogan,0.02608695652173913,0.299493624410469,0.0871035454363657,46
trump,macron,0.01956521739130435,0.35939234929256275,0.05443971589772857,46
trump,merkel,0.004347826086956522,0.15723415281549616,0.027651919186147855,46
trump,putin,0.13043478260869568,0.09733542793340237,1.340054545174858,46
trump,trump,0.8195652173913043,0.08654444554806974,9.469876572680679,46
