chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6463545
erdogan1_c001,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.61610264
erdogan1_c002,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.64754415
erdogan1_c003,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6111597
erdogan1_c004,erdogan1,erdogan,0.1,0.0,0.2,0.0,0.7,0.1,0.5092505
erdogan1_c005,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6480176
erdogan1_c006,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.551967
erdogan1_c007,erdogan1,erdogan,0.1,0.1,0.0,0.0,0.8,0.1,0.53326064
erdogan1_c008,erdogan1,erdogan,0.8,0.1,0.0,0.0,0.1,0.8,0.48433074
erdogan1_c009,erdogan1,erdogan,0.0,0.7,0.3,0.0,0.0,0.0,0.50816405
erdogan2022_c000,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7249118
erdogan2022_c001,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.56204635
erdogan2022_c002,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.72131
erdogan2022_c003,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.73590624
erdogan2022_c004,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.74081886
erdogan2022_c005,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7778476
erdogan2022_c006,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.68146807
erdogan2022_c007,erdogan2022,erdogan,0.4,0.3,0.0,0.0,0.3,0.4,0.579301
erdogan2022_c008,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.71062577
erdogan2022_c009,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.72298515
erdogan2022_c010,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6974602
erdogan2022_c011,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7623296
erdogan2022_c012,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7772387
erdogan2023_c000,erdogan2023,erdogan,0.3,0.2,0.1,0.4,0.0,0.3,0.78137964
erdogan2023_c001,erdogan2023,erdogan,0.7,0.0,0.2,0.1,0.0,0.7,0.7112602
erdogan2023_c002,erdogan2023,erdogan,0.4,0.4,0.2,0.0,0.0,0.4,0.6305011
erdogan2023_c003,erdogan2023,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.68784994
erdogan2023_c004,erdogan2023,erdogan,0.5,0.2,0.2,0.0,0.1,0.5,0.61926496
erdogan2023_c005,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7275716
erdogan2023_c006,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7537193
erdogan2023_c007,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7233757
erdogan2023_c008,erdogan2023,erdogan,0.0,0.0,0.0,0.1,0.9,0.0,0.6518213
erdogan2023_c009,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.76673967
