chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,0.4,0.4,0.2,0.0,0.0,0.4,0.6339017
erdogan1_c001,erdogan1,erdogan,0.5,0.3,0.1,0.0,0.1,0.5,0.62746584
erdogan1_c002,erdogan1,erdogan,0.4,0.3,0.3,0.0,0.0,0.4,0.6083819
erdogan1_c003,erdogan1,erdogan,0.2,0.4,0.4,0.0,0.0,0.2,0.65570253
erdogan1_c004,erdogan1,erdogan,0.3,0.3,0.4,0.0,0.0,0.3,0.5816806
erdogan1_c005,erdogan1,erdogan,0.2,0.4,0.3,0.0,0.1,0.2,0.60092056
erdogan1_c006,erdogan1,erdogan,0.5,0.1,0.4,0.0,0.0,0.5,0.6449552
erdogan1_c007,erdogan1,erdogan,0.1,0.5,0.2,0.0,0.2,0.1,0.59937584
erdogan1_c008,erdogan1,erdogan,0.2,0.3,0.4,0.0,0.1,0.2,0.547467
erdogan1_c009,erdogan1,erdogan,0.4,0.5,0.1,0.0,0.0,0.4,0.6085904
erdogan1_c010,erdogan1,erdogan,0.3,0.2,0.3,0.0,0.2,0.3,0.6003102
erdogan1_c011,erdogan1,erdogan,0.1,0.4,0.4,0.0,0.1,0.1,0.5630528
erdogan1_c012,erdogan1,erdogan,0.0,0.5,0.4,0.0,0.1,0.0,0.5502604
erdogan2022_c000,erdogan2022,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.776959
erdogan2022_c001,erdogan2022,erdogan,0.4,0.6,0.0,0.0,0.0,0.4,0.5855939
erdogan2022_c002,erdogan2022,erdogan,0.6,0.2,0.2,0.0,0.0,0.6,0.6003184
erdogan2022_c003,erdogan2022,erdogan,0.3,0.5,0.1,0.1,0.0,0.3,0.6860984
erdogan2022_c004,erdogan2022,erdogan,0.3,0.7,0.0,0.0,0.0,0.3,0.6781841
erdogan2022_c005,erdogan2022,erdogan,0.4,0.4,0.2,0.0,0.0,0.4,0.5891607
erdogan2022_c006,erdogan2022,erdogan,0.5,0.4,0.1,0.0,0.0,0.5,0.6739167
erdogan2022_c007,erdogan2022,erdogan,0.6,0.3,0.1,0.0,0.0,0.6,0.649141
erdogan2022_c008,erdogan2022,erdogan,0.4,0.5,0.0,0.1,0.0,0.4,0.6450477
erdogan2022_c009,erdogan2022,erdogan,0.2,0.3,0.4,0.0,0.1,0.2,0.6314362
erdogan2022_c010,erdogan2022,erdogan,0.2,0.6,0.2,0.0,0.0,0.2,0.6711647
erdogan2022_c011,erdogan2022,erdogan,0.4,0.2,0.3,0.1,0.0,0.4,0.63644373
erdogan2022_c012,erdogan2022,erdogan,0.5,0.3,0.1,0.0,0.1,0.5,0.61668605
erdogan2022_c013,erdogan2022,erdogan,0.5,0.2,0.3,0.0,0.0,0.5,0.59921664
erdogan2022_c014,erdogan2022,erdogan,0.7,0.2,0.0,0.0,0.1,0.7,0.64598984
erdogan2022_c015,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.73173857
erdogan2022_c016,erdogan2022,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.67046386
erdogan2022_c017,erdogan2022,erdogan,0.7,0.1,0.1,0.1,0.0,0.7,0.80029756
erdogan2023_c000,erdogan2023,erdogan,0.8,0.2,0.0,0.0,0.0,0.8,0.8027641
erdogan2023_c001,erdogan2023,erdogan,0.3,0.1,0.2,0.4,0.0,0.3,0.6667556
erdogan2023_c002,erdogan2023,erdogan,0.0,0.2,0.6,0.0,0.2,0.0,0.65096784
erdogan2023_c003,erdogan2023,erdogan,0.4,0.3,0.0,0.3,0.0,0.4,0.645599
erdogan2023_c004,erdogan2023,erdogan,0.0,0.4,0.4,0.0,0.2,0.0,0.62791073
erdogan2023_c005,erdogan2023,erdogan,0.2,0.4,0.3,0.0,0.1,0.2,0.64964706
erdogan2023_c006,erdogan2023,erdogan,0.5,0.1,0.1,0.2,0.1,0.5,0.65184003
erdogan2023_c007,erdogan2023,erdogan,0.8,0.1,0.1,0.0,0.0,0.8,0.67925733
erdogan2023_c008,erdogan2023,erdogan,0.7,0.0,0.3,0.0,0.0,0.7,0.61525023
erdogan2023_c009,erdogan2023,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.66457784
erdogan2023_c010,erdogan2023,erdogan,0.5,0.5,0.0,0.0,0.0,0.5,0.6213266
erdogan2023_c011,erdogan2023,erdogan,0.2,0.2,0.4,0.0,0.2,0.2,0.62995964
erdogan2023_c012,erdogan2023,erdogan,0.5,0.3,0.0,0.2,0.0,0.5,0.6518983
erdogan2023_c013,erdogan2023,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.72001487
erdogan2023_c014,erdogan2023,erdogan,0.1,0.1,0.0,0.3,0.5,0.1,0.6699884
erdogan2023_c015,erdogan2023,erdogan,0.3,0.3,0.2,0.0,0.2,0.3,0.6166369
erdogan2023_c016,erdogan2023,erdogan,0.0,0.5,0.1,0.0,0.4,0.0,0.642925
erdogan2023_c017,erdogan2023,erdogan,0.5,0.5,0.0,0.0,0.0,0.5,0.69337195
erdogan2023_c018,erdogan2023,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.77597505
erdogan2024_c000,erdogan2024,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.81067085
erdogan2024_c001,erdogan2024,erdogan,0.8,0.1,0.0,0.1,0.0,0.8,0.71611726
erdogan2024_c002,erdogan2024,erdogan,0.3,0.7,0.0,0.0,0.0,0.3,0.62001264
erdogan2024_c003,erdogan2024,erdogan,0.4,0.4,0.0,0.0,0.2,0.4,0.6734762
erdogan2024_c004,erdogan2024,erdogan,0.5,0.3,0.0,0.0,0.2,0.5,0.67219406
erdogan2024_c005,erdogan2024,erdogan,0.5,0.5,0.0,0.0,0.0,0.5,0.659447
erdogan2024_c006,erdogan2024,erdogan,0.3,0.6,0.1,0.0,0.0,0.3,0.65084124
erdogan2024_c007,erdogan2024,erdogan,0.6,0.2,0.2,0.0,0.0,0.6,0.64430714
erdogan2024_c008,erdogan2024,erdogan,0.7,0.2,0.0,0.1,0.0,0.7,0.6950406
erdogan2024_c009,erdogan2024,erdogan,0.8,0.0,0.1,0.1,0.0,0.8,0.6541011
erdogan2024_c010,erdogan2024,erdogan,0.6,0.3,0.0,0.0,0.1,0.6,0.6588436
erdogan2024_c011,erdogan2024,erdogan,0.6,0.3,0.0,0.0,0.1,0.6,0.594875
erdogan2024_c012,erdogan2024,erdogan,0.3,0.3,0.0,0.4,0.0,0.3,0.666337
erdogan2024_c013,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7102836
erdogan2024_c014,erdogan2024,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.70116174
erdogan2024_c015,erdogan2024,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.7784625
erdogan2025_c000,erdogan2025,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.782894
erdogan2025_c001,erdogan2025,erdogan,0.7,0.1,0.1,0.1,0.0,0.7,0.7465443
erdogan2025_c002,erdogan2025,erdogan,0.6,0.3,0.0,0.1,0.0,0.6,0.6974122
erdogan2025_c003,erdogan2025,erdogan,0.4,0.4,0.0,0.0,0.2,0.4,0.65238917
erdogan2025_c004,erdogan2025,erdogan,0.4,0.2,0.1,0.0,0.3,0.4,0.5765013
erdogan2025_c005,erdogan2025,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.6681429
erdogan2025_c006,erdogan2025,erdogan,0.6,0.2,0.2,0.0,0.0,0.6,0.5890526
erdogan2025_c007,erdogan2025,erdogan,0.1,0.6,0.2,0.1,0.0,0.1,0.6044442
erdogan2025_c008,erdogan2025,erdogan,0.4,0.4,0.2,0.0,0.0,0.4,0.6302598
erdogan2025_c009,erdogan2025,erdogan,0.6,0.1,0.1,0.1,0.1,0.6,0.64784646
erdogan2025_c010,erdogan2025,erdogan,0.6,0.1,0.2,0.1,0.0,0.6,0.62384045
erdogan2025_c011,erdogan2025,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.61958045
erdogan2025_c012,erdogan2025,erdogan,0.6,0.3,0.0,0.1,0.0,0.6,0.6300383
erdogan2025_c013,erdogan2025,erdogan,0.4,0.2,0.0,0.4,0.0,0.4,0.6662857
erdogan2025_c014,erdogan2025,erdogan,0.6,0.1,0.1,0.0,0.2,0.6,0.648934
erdogan2025_c015,erdogan2025,erdogan,0.6,0.1,0.3,0.0,0.0,0.6,0.599136
erdogan2025_c016,erdogan2025,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.62190115
erdogan2025_c017,erdogan2025,erdogan,0.4,0.5,0.0,0.0,0.1,0.4,0.6679944
erdogan2025_c018,erdogan2025,erdogan,0.7,0.2,0.1,0.0,0.0,0.7,0.7990888
macron2022_c000,macron2022,macron,0.3,0.3,0.0,0.4,0.0,0.3,0.7276243
macron2022_c001,macron2022,macron,0.0,0.7,0.1,0.0,0.2,0.7,0.69277763
macron2022_c002,macron2022,macron,0.4,0.4,0.1,0.1,0.0,0.4,0.73697007
macron2022_c003,macron2022,macron,0.2,0.4,0.0,0.4,0.0,0.4,0.63294196
macron2022_c004,macron2022,macron,0.0,0.8,0.0,0.2,0.0,0.8,0.66814125
macron2022_c005,macron2022,macron,0.4,0.5,0.0,0.0,0.1,0.5,0.6538733
macron2022_c006,macron2022,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.6429934
macron2022_c007,macron2022,macron,0.1,0.7,0.0,0.0,0.2,0.7,0.7019589
macron2022_c008,macron2022,macron,0.2,0.6,0.0,0.2,0.0,0.6,0.7000783
macron2022_c009,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6185346
macron2022_c010,macron2022,macron,0.3,0.5,0.2,0.0,0.0,0.5,0.5841383
macron2022_c011,macron2022,macron,0.2,0.6,0.2,0.0,0.0,0.6,0.63036823
macron2022_c012,macron2022,macron,0.0,0.7,0.2,0.0,0.1,0.7,0.6488526
macron2022_c013,macron2022,macron,0.1,0.8,0.1,0.0,0.0,0.8,0.6315898
macron2022_c014,macron2022,macron,0.3,0.7,0.0,0.0,0.0,0.7,0.64137024
macron2022_c015,macron2022,macron,0.0,0.4,0.6,0.0,0.0,0.4,0.6363267
macron2022_c016,macron2022,macron,0.2,0.3,0.2,0.1,0.2,0.3,0.67817414
macron2022_c017,macron2022,macron,0.1,0.6,0.3,0.0,0.0,0.6,0.6678943
macron2022_c018,macron2022,macron,0.1,0.7,0.2,0.0,0.0,0.7,0.7445183
macron2022_c019,macron2022,macron,0.1,0.5,0.3,0.0,0.1,0.5,0.68744576
macron2022_c020,macron2022,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.66425014
macron2022_c021,macron2022,macron,0.0,0.7,0.1,0.0,0.2,0.7,0.64496803
macron2022_c022,macron2022,macron,0.0,0.5,0.3,0.0,0.2,0.5,0.60345066
macron2022_c023,macron2022,macron,0.1,0.5,0.4,0.0,0.0,0.5,0.6670769
macron2022_c024,macron2022,macron,0.0,0.6,0.4,0.0,0.0,0.6,0.68107295
macron2022_c025,macron2022,macron,0.0,0.6,0.2,0.0,0.2,0.6,0.65075094
macron2022_c026,macron2022,macron,0.0,0.5,0.5,0.0,0.0,0.5,0.650586
macron2022_c027,macron2022,macron,0.1,0.6,0.3,0.0,0.0,0.6,0.6798591
macron2022_c028,macron2022,macron,0.1,0.9,0.0,0.0,0.0,0.9,0.7029276
macron2022_c029,macron2022,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.68115574
macron2022_c030,macron2022,macron,0.0,0.7,0.1,0.1,0.1,0.7,0.65263265
macron2022_c031,macron2022,macron,0.0,0.4,0.0,0.6,0.0,0.4,0.7214919
macron2022_c032,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6680232
macron2022_c033,macron2022,macron,0.1,0.5,0.4,0.0,0.0,0.5,0.71333766
macron2022_c034,macron2022,macron,0.4,0.5,0.1,0.0,0.0,0.5,0.7801466
macron2023_c000,macron2023,macron,0.2,0.8,0.0,0.0,0.0,0.8,0.7711962
macron2023_c001,macron2023,macron,0.4,0.5,0.1,0.0,0.0,0.5,0.62690246
macron2023_c002,macron2023,macron,0.1,0.7,0.2,0.0,0.0,0.7,0.6544544
macron2023_c003,macron2023,macron,0.0,0.2,0.5,0.2,0.1,0.2,0.6288636
macron2023_c004,macron2023,macron,0.1,0.8,0.1,0.0,0.0,0.8,0.70425093
macron2023_c005,macron2023,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.6484816
macron2023_c006,macron2023,macron,0.1,0.8,0.1,0.0,0.0,0.8,0.65863025
macron2023_c007,macron2023,macron,0.3,0.7,0.0,0.0,0.0,0.7,0.6927483
macron2023_c008,macron2023,macron,0.0,0.6,0.2,0.0,0.2,0.6,0.6459266
macron2023_c009,macron2023,macron,0.0,0.5,0.4,0.0,0.1,0.5,0.6181718
macron2023_c010,macron2023,macron,0.2,0.7,0.1,0.0,0.0,0.7,0.7297119
