chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5885414
erdogan1_c001,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.55024207
erdogan1_c002,erdogan1,erdogan,0.2,0.4,0.2,0.0,0.2,0.2,0.55363905
erdogan1_c003,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6124096
erdogan1_c004,erdogan1,erdogan,0.1,0.0,0.2,0.0,0.7,0.1,0.5079918
erdogan1_c005,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.64770645
erdogan1_c006,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5523049
erdogan1_c007,erdogan1,erdogan,0.1,0.1,0.0,0.0,0.8,0.1,0.5278557
erdogan1_c008,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5097538
erdogan2022_c000,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.71469116
erdogan2022_c001,erdogan2022,erdogan,0.8,0.2,0.0,0.0,0.0,0.8,0.5526591
erdogan2022_c002,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.70914966
erdogan2022_c003,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.72420245
erdogan2022_c004,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.73152584
erdogan2022_c005,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7719275
erdogan2022_c006,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.67317414
erdogan2022_c007,erdogan2022,erdogan,0.5,0.3,0.0,0.0,0.2,0.5,0.5778843
erdogan2022_c008,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7064529
erdogan2022_c009,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7209724
erdogan2022_c010,erdogan2022,erdogan,0.9,0.0,0.0,0.1,0.0,0.9,0.69426715
erdogan2022_c011,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7500223
erdogan2022_c012,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7694136
erdogan2023_c000,erdogan2023,erdogan,0.2,0.3,0.0,0.5,0.0,0.2,0.7724115
erdogan2023_c001,erdogan2023,erdogan,0.7,0.1,0.0,0.2,0.0,0.7,0.705286
erdogan2023_c002,erdogan2023,erdogan,0.4,0.5,0.1,0.0,0.0,0.4,0.6291315
erdogan2023_c003,erdogan2023,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.6915103
erdogan2023_c004,erdogan2023,erdogan,0.6,0.2,0.1,0.0,0.1,0.6,0.6104518
erdogan2023_c005,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7308987
erdogan2023_c006,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7550849
erdogan2023_c007,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7235735
erdogan2023_c008,erdogan2023,erdogan,0.0,0.0,0.0,0.1,0.9,0.0,0.6520784
erdogan2023_c009,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.76810545
erdogan2023_c010,erdogan2023,erdogan,0.4,0.1,0.0,0.2,0.3,0.4,0.63805807
erdogan2023_c011,erdogan2023,erdogan,0.7,0.0,0.0,0.2,0.1,0.7,0.5903023
erdogan2023_c012,erdogan2023,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.79911226
erdogan2024_c000,erdogan2024,erdogan,0.3,0.3,0.0,0.4,0.0,0.3,0.7456347
erdogan2024_c001,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7496263
erdogan2024_c002,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.64560974
erdogan2024_c003,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7756994
erdogan2024_c004,erdogan2024,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.59566045
erdogan2024_c005,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.74023354
erdogan2024_c006,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.67288953
erdogan2024_c007,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7084731
erdogan2024_c008,erdogan2024,erdogan,0.7,0.3,0.0,0.0,0.0,0.7,0.6567229
erdogan2024_c009,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7523376
erdogan2024_c010,erdogan2024,erdogan,0.8,0.2,0.0,0.0,0.0,0.8,0.6456131
erdogan2024_c011,erdogan2024,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7512915
erdogan2025_c000,erdogan2025,erdogan,0.2,0.5,0.0,0.3,0.0,0.2,0.75709975
erdogan2025_c001,erdogan2025,erdogan,0.3,0.2,0.0,0.4,0.1,0.3,0.67490983
erdogan2025_c002,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.77906644
erdogan2025_c003,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.68369585
erdogan2025_c004,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7358906
erdogan2025_c005,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6038515
erdogan2025_c006,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.68629754
erdogan2025_c007,erdogan2025,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.63128424
erdogan2025_c008,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.69555193
erdogan2025_c009,erdogan2025,erdogan,0.7,0.1,0.0,0.1,0.1,0.7,0.6265274
erdogan2025_c010,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.68228364
erdogan2025_c011,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.69121706
erdogan2025_c012,erdogan2025,erdogan,0.4,0.4,0.2,0.0,0.0,0.4,0.59066194
erdogan2025_c013,erdogan2025,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.7924658
macron2022_c000,macron2022,macron,0.2,0.2,0.0,0.6,0.0,0.2,0.74968433
macron2022_c001,macron2022,macron,0.2,0.5,0.2,0.1,0.0,0.5,0.7173066
macron2022_c002,macron2022,macron,0.3,0.4,0.1,0.2,0.0,0.4,0.70092815
macron2022_c003,macron2022,macron,0.0,0.7,0.1,0.2,0.0,0.7,0.68372905
macron2022_c004,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.740001
macron2022_c005,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.671636
macron2022_c006,macron2022,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.7095003
macron2022_c007,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7056042
macron2022_c008,macron2022,macron,0.2,0.8,0.0,0.0,0.0,0.8,0.51903427
macron2022_c009,macron2022,macron,0.0,0.9,0.0,0.0,0.1,0.9,0.5640566
macron2022_c010,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.5708557
macron2022_c011,macron2022,macron,0.0,0.7,0.3,0.0,0.0,0.7,0.54184514
macron2022_c012,macron2022,macron,0.1,0.7,0.0,0.0,0.2,0.7,0.6150633
macron2022_c013,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6757798
macron2022_c014,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7641709
macron2022_c015,macron2022,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.63756037
macron2022_c016,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.68104863
macron2022_c017,macron2022,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.62991405
macron2022_c018,macron2022,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.6312612
macron2022_c019,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.66413414
macron2022_c020,macron2022,macron,0.0,0.5,0.5,0.0,0.0,0.5,0.55800164
macron2022_c021,macron2022,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.6319955
macron2022_c022,macron2022,macron,0.0,0.7,0.3,0.0,0.0,0.7,0.7159952
macron2022_c023,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.74334496
macron2022_c024,macron2022,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.69911754
macron2022_c025,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.741916
macron2022_c026,macron2022,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.76381147
macron2023_c000,macron2023,macron,0.2,0.4,0.0,0.4,0.0,0.4,0.77945894
macron2023_c001,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.67095315
macron2023_c002,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7109243
macron2023_c003,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7494763
macron2023_c004,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7146455
macron2023_c005,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6966983
macron2023_c006,macron2023,macron,0.1,0.8,0.1,0.0,0.0,0.8,0.66852534
macron2023_c007,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6725098
macron2023_c008,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.68340117
macron2023_c009,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6568469
macron2023_c010,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.69766766
macron2023_c011,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6878842
macron2023_c012,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.72141737
macron2023_c013,macron2023,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.6892425
macron2023_c014,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7110549
macron2023_c015,macron2023,macron,0.0,0.9,0.0,0.1,0.0,0.9,0.6007505
macron2023_c016,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6969193
macron2023_c017,macron2023,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6690853
macron2023_c018,macron2023,macron,0.1,0.8,0.0,0.1,0.0,0.8,0.7541931
macron2024_c000,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.70708144
macron2024_c001,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7225229
macron2024_c002,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.71932995
macron2024_c003,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.646258
macron2024_c004,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.71332526
macron2024_c005,macron2024,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.6367296
macron2024_c006,macron2024,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.61149126
macron2024_c007,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.74633723
macron2024_c008,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.72531736
macron2024_c009,macron2024,macron,0.0,0.8,0.2,0.0,0.0,0.8,0.68448305
macron2024_c010,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7184354
macron2024_c011,macron2024,macron,0.0,0.7,0.3,0.0,0.0,0.7,0.65580785
macron2024_c012,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.74494445
macron2024_c013,macron2024,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7195462
macron2024_c014,macron2024,macron,0.1,0.5,0.2,0.1,0.1,0.5,0.6393564
macron2024_c015,macron2024,macron,0.2,0.8,0.0,0.0,0.0,0.8,0.72758603
macron2025_c000,macron2025,macron,0.0,0.8,0.0,0.2,0.0,0.8,0.76708686
macron2025_c001,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.718815
macron2025_c002,macron2025,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.7036084
macron2025_c003,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.67077535
macron2025_c004,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.6626916
macron2025_c005,macron2025,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.67012775
macron2025_c006,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.624781
macron2025_c007,macron2025,macron,0.0,0.9,0.1,0.0,0.0,0.9,0.6439521
macron2025_c008,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7073704
macron2025_c009,macron2025,macron,0.0,0.6,0.4,0.0,0.0,0.6,0.60835856
macron2025_c010,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.7296559
macron2025_c011,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.70035595
macron2025_c012,macron2025,macron,0.0,1.0,0.0,0.0,0.0,1.0,0.73337185
merkel1_c000,merkel1,merkel,0.0,0.2,0.8,0.0,0.0,0.8,0.63780785
merkel1_c001,merkel1,merkel,0.2,0.2,0.2,0.0,0.4,0.2,0.56000435
merkel1_c002,merkel1,merkel,0.1,0.0,0.8,0.1,0.0,0.8,0.60166895
merkel1_c003,merkel1,merkel,0.1,0.2,0.6,0.1,0.0,0.6,0.6481222
merkel1_c004,merkel1,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.7174091
merkel1_c005,merkel1,merkel,0.0,0.3,0.7,0.0,0.0,0.7,0.6560877
merkel1_c006,merkel1,merkel,0.0,0.1,0.9,0.0,0.0,0.9,0.6405806
merkel1_c007,merkel1,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.6977076
merkel1_c008,merkel1,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.7166263
merkel2_c000,merkel2,merkel,0.0,0.2,0.8,0.0,0.0,0.8,0.68550164
merkel2_c001,merkel2,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.67689574
merkel2_c002,merkel2,merkel,0.0,0.2,0.5,0.0,0.3,0.5,0.56104195
merkel2_c003,merkel2,merkel,0.0,0.1,0.9,0.0,0.0,0.9,0.72304
merkel2_c004,merkel2,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.6765292
merkel2_c005,merkel2,merkel,0.0,0.2,0.8,0.0,0.0,0.8,0.6051777
merkel2_c006,merkel2,merkel,0.0,0.5,0.5,0.0,0.0,0.5,0.62675124
merkel2_c007,merkel2,merkel,0.0,0.3,0.7,0.0,0.0,0.7,0.72461784
merkel2_c008,merkel2,merkel,0.0,0.1,0.9,0.0,0.0,0.9,0.7406505
merkel2020_c000,merkel2020,merkel,0.1,0.6,0.0,0.3,0.0,0.0,0.68680954
merkel2020_c001,merkel2020,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.68042696
merkel2020_c002,merkel2020,merkel,0.1,0.5,0.1,0.0,0.3,0.1,0.5843874
merkel2020_c003,merkel2020,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.59630597
merkel2020_c004,merkel2020,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.68959606
merkel2020_c005,merkel2020,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.64745206
merkel2020_c006,merkel2020,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.7606516
merkel2020_c007,merkel2020,merkel,0.0,0.3,0.7,0.0,0.0,0.7,0.71357286
merkel3_c000,merkel3,merkel,0.0,0.4,0.4,0.2,0.0,0.4,0.6882305
merkel3_c001,merkel3,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.65701884
merkel3_c002,merkel3,merkel,0.0,0.2,0.8,0.0,0.0,0.8,0.6793404
merkel3_c003,merkel3,merkel,0.0,0.2,0.8,0.0,0.0,0.8,0.52726173
merkel3_c004,merkel3,merkel,0.1,0.4,0.5,0.0,0.0,0.5,0.68343323
merkel3_c005,merkel3,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.68570817
merkel3_c006,merkel3,merkel,0.0,0.4,0.6,0.0,0.0,0.6,0.73086923
merkel3_c007,merkel3,merkel,0.0,0.0,1.0,0.0,0.0,1.0,0.7283933
putin2022_c000,putin2022,putin,0.0,0.1,0.0,0.9,0.0,0.9,0.7286117
putin2022_c001,putin2022,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.74676967
putin2022_c002,putin2022,putin,0.0,0.1,0.0,0.9,0.0,0.9,0.7461303
putin2022_c003,putin2022,putin,0.2,0.3,0.0,0.4,0.1,0.4,0.5583997
putin2022_c004,putin2022,putin,0.0,0.3,0.0,0.7,0.0,0.7,0.7533185
putin2022_c005,putin2022,putin,0.1,0.3,0.0,0.6,0.0,0.6,0.695165
putin2022_c006,putin2022,putin,0.1,0.2,0.0,0.7,0.0,0.7,0.64304096
putin2022_c007,putin2022,putin,0.0,0.1,0.0,0.9,0.0,0.9,0.69904274
putin2022_c008,putin2022,putin,0.1,0.2,0.0,0.7,0.0,0.7,0.7173302
putin2022_c009,putin2022,putin,0.1,0.2,0.0,0.7,0.0,0.7,0.7553506
putin2022_c010,putin2022,putin,0.2,0.1,0.0,0.7,0.0,0.7,0.774922
putin2023_c000,putin2023,putin,0.3,0.2,0.0,0.5,0.0,0.5,0.70223206
putin2023_c001,putin2023,putin,0.1,0.0,0.0,0.9,0.0,0.9,0.6869127
putin2023_c002,putin2023,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.7463499
putin2023_c003,putin2023,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.751262
putin2023_c004,putin2023,putin,0.2,0.1,0.0,0.7,0.0,0.7,0.7216361
putin2023_c005,putin2023,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.71361923
putin2024_c000,putin2024,putin,0.0,0.0,0.1,0.9,0.0,0.9,0.7072295
putin2024_c001,putin2024,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.7728511
putin2024_c002,putin2024,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.7379619
putin2024_c003,putin2024,putin,0.1,0.2,0.0,0.7,0.0,0.7,0.775696
putin2025_c000,putin2025,putin,0.2,0.2,0.1,0.5,0.0,0.5,0.72647077
putin2025_c001,putin2025,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.7128164
putin2025_c002,putin2025,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.75138247
putin2025_c003,putin2025,putin,0.0,0.0,0.0,1.0,0.0,1.0,0.7849743
putin2025_c004,putin2025,putin,0.0,0.1,0.0,0.9,0.0,0.9,0.7667591
trump1_c000,trump1,trump,0.0,0.1,0.0,0.0,0.9,0.9,0.68269664
trump1_c001,trump1,trump,0.0,0.2,0.0,0.1,0.7,0.7,0.63306695
trump1_c002,trump1,trump,0.1,0.3,0.0,0.1,0.5,0.5,0.5751049
trump1_c003,trump1,trump,0.0,0.1,0.0,0.0,0.9,0.9,0.70463204
trump1_c004,trump1,trump,0.0,0.0,0.0,0.0,1.0,1.0,0.7044631
