chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.56380045
erdogan1_c001,erdogan1,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.51943827
erdogan1_c002,erdogan1,erdogan,0.5,0.2,0.3,0.0,0.0,0.5,0.518564
erdogan1_c003,erdogan1,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.5145246
erdogan1_c004,erdogan1,erdogan,0.2,0.3,0.4,0.0,0.1,0.2,0.48421192
erdogan1_c005,erdogan1,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.5329648
erdogan1_c006,erdogan1,erdogan,0.3,0.4,0.1,0.0,0.2,0.3,0.51856154
erdogan1_c007,erdogan1,erdogan,0.0,0.3,0.1,0.0,0.6,0.0,0.4865109
erdogan1_c008,erdogan1,erdogan,0.3,0.5,0.1,0.0,0.1,0.3,0.45785826
erdogan1_c009,erdogan1,erdogan,0.0,0.8,0.2,0.0,0.0,0.0,0.4931178
erdogan2022_c000,erdogan2022,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.61781144
erdogan2022_c001,erdogan2022,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.5038718
erdogan2022_c002,erdogan2022,erdogan,0.7,0.1,0.1,0.1,0.0,0.7,0.61536014
erdogan2022_c003,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.6187796
erdogan2022_c004,erdogan2022,erdogan,0.8,0.1,0.1,0.0,0.0,0.8,0.5580599
erdogan2022_c005,erdogan2022,erdogan,0.6,0.3,0.0,0.0,0.1,0.6,0.64609534
erdogan2022_c006,erdogan2022,erdogan,0.5,0.2,0.1,0.1,0.1,0.5,0.551979
erdogan2022_c007,erdogan2022,erdogan,0.2,0.4,0.1,0.0,0.3,0.2,0.5343305
erdogan2022_c008,erdogan2022,erdogan,0.6,0.2,0.1,0.1,0.0,0.6,0.5861913
erdogan2022_c009,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.5640971
