chunk_id,speech_id,leader,nn_share_erdogan,nn_share_macron,nn_share_merkel,nn_share_putin,nn_share_trump,same_leader_share,mean_nn_similarity
erdogan1_c000,erdogan1,erdogan,0.8,0.0,0.0,0.1,0.1,0.8,0.5392053
erdogan1_c001,erdogan1,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.4628454
erdogan1_c002,erdogan1,erdogan,0.5,0.3,0.2,0.0,0.0,0.5,0.5475533
erdogan1_c003,erdogan1,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.5138758
erdogan1_c004,erdogan1,erdogan,0.2,0.3,0.4,0.0,0.1,0.2,0.4845894
erdogan1_c005,erdogan1,erdogan,0.9,0.0,0.1,0.0,0.0,0.9,0.529945
erdogan1_c006,erdogan1,erdogan,0.3,0.4,0.0,0.0,0.3,0.3,0.5189386
erdogan1_c007,erdogan1,erdogan,0.0,0.3,0.1,0.0,0.6,0.0,0.48917666
erdogan1_c008,erdogan1,erdogan,0.4,0.3,0.1,0.0,0.2,0.4,0.48401722
erdogan2022_c000,erdogan2022,erdogan,1.0,0.0,0.0,0.0,0.0,1.0,0.5686235
erdogan2022_c001,erdogan2022,erdogan,0.6,0.4,0.0,0.0,0.0,0.6,0.4993874
erdogan2022_c002,erdogan2022,erdogan,0.7,0.2,0.0,0.1,0.0,0.7,0.6064899
erdogan2022_c003,erdogan2022,erdogan,0.9,0.0,0.0,0.1,0.0,0.9,0.61016256
erdogan2022_c004,erdogan2022,erdogan,0.7,0.2,0.0,0.1,0.0,0.7,0.55330354
erdogan2022_c005,erdogan2022,erdogan,0.5,0.3,0.0,0.1,0.1,0.5,0.6466249
erdogan2022_c006,erdogan2022,erdogan,0.5,0.2,0.1,0.1,0.1,0.5,0.54691166
erdogan2022_c007,erdogan2022,erdogan,0.2,0.4,0.1,0.0,0.3,0.2,0.5382283
erdogan2022_c008,erdogan2022,erdogan,0.6,0.2,0.1,0.0,0.1,0.6,0.5862702
erdogan2022_c009,erdogan2022,erdogan,0.9,0.1,0.0,0.0,0.0,0.9,0.5588888
erdogan2022_c010,erdogan2022,erdogan,0.3,0.3,0.0,0.1,0.3,0.3,0.51955044
