cluster,size,share_of_chunks,candidate_label,top_theme,top_theme_mean_pct,second_theme,second_theme_mean_pct,dominant_leader,dominant_leader_share,leader_mix_entropy,n_speeches,frequent_terms,share_erdogan,count_erdogan,share_macron,count_macron,share_merkel,count_merkel,share_putin,count_putin,share_trump,count_trump
-1,172,0.5657894736842105,(noise — not assigned),crisis_resilience,0.566,future_reform_technology,0.55,macron,0.349,0.936,19,"nation, demokratie, agir, dabei, pays, menschen, sais, aujourd, müssen, ensemble, president, ganz",0.25,43,0.349,60,0.169,29,0.087,15,0.145,25
0,11,0.03618421052631579,Security & Military,security_military,0.684,foreign_policy,0.55,erdogan,0.636,0.534,6,"alan, suriye, unseren, unserem, türlü, tatsächlich, hedef, desteği, aracı, istikrar, gereken, ülkemize",0.636,7,0.0,0,0.273,3,0.0,0,0.091,1
1,7,0.023026315789473683,"Crisis, Threat & Resilience",crisis_resilience,0.667,economy_welfare,0.61,macron,0.429,0.793,5,"croissante, sorgen, sagen, divisions, viele, land, nation",0.143,1,0.429,3,0.286,2,0.0,0,0.143,1
2,6,0.019736842105263157,National Identity & Unity,national_identity,0.575,future_reform_technology,0.484,macron,1.0,-0.0,2,"paralympiques, olympiques, jeux, fierté, héros, promis, fiers, dame, décembre, cathédrale, paris, française",0.0,0,1.0,6,0.0,0,0.0,0,0.0,0
3,15,0.049342105263157895,Foreign Policy & Geopolitics,foreign_policy,0.698,security_military,0.581,macron,0.467,0.649,7,"europe, européens, accélérer, réarmement, investir, continuer, force, zusammenarbeit, souveraineté, schönheit, puissances, internationalen",0.0,0,0.467,7,0.333,5,0.0,0,0.2,3
4,11,0.03618421052631579,"Democracy, Law & Institutions",democracy_institutions,0.905,national_identity,0.512,erdogan,1.0,-0.0,1,"cumhurbaşkanlığı, sistemine, sistemi, yönetim, millet, üzerinde, vardır, sisteminin, kardeşlerim, ülke, yürütme, sisteme",1.0,11,0.0,0,0.0,0,0.0,0,0.0,0
5,41,0.13486842105263158,National Identity & Unity / Social Solidarity & Values,national_identity,0.714,social_solidarity,0.703,erdogan,0.366,0.939,15,"selamlıyorum, yılının, insanlık, diliyorum, olmasını, always, happy, vesile, takvim, sağlıcakla, muhabbetle, kalın",0.366,15,0.171,7,0.098,4,0.22,9,0.146,6
6,7,0.023026315789473683,Social Solidarity & Values,social_solidarity,0.743,security_military,0.54,erdogan,0.286,0.963,5,"entire, gratitude, administration, thank, service, military, everyone, people, support, america, country",0.286,2,0.143,1,0.143,1,0.143,1,0.286,2
7,21,0.06907894736842106,Economy & Welfare,economy_welfare,0.843,crisis_resilience,0.402,macron,0.333,0.852,9,"ekonomi, economy, emplois, uyguladığımız, sahibi, pandemic, numbers, électricité, prix, passed, énergie, créer",0.286,6,0.333,7,0.048,1,0.048,1,0.286,6
8,13,0.04276315789473684,"Economy & Welfare / Future, Reform & Technology",economy_welfare,0.788,future_reform_technology,0.759,macron,0.615,0.534,6,"égalité, social, government, retraite, orientation, métiers, idea, forgotten, carrières, améliorer, everyone, enfants",0.0,0,0.615,8,0.077,1,0.0,0,0.308,4
