pair,content_similarity,style_distance,style_cosine,style_rank,content_rank,spearman_content_vs_style_cosine
macron–merkel,0.8495888710021973,2.072620111837064,-0.1982114871041057,3,1,0.2121212121212121
erdogan–macron,0.8056294918060303,1.45351871859381,0.4191227832495681,1,2,0.2121212121212121
erdogan–merkel,0.7844728827476501,1.9550286779549353,-0.2076442010229947,2,3,0.2121212121212121
erdogan–putin,0.7547877430915833,3.359820909176611,-0.5303736415233438,8,4,0.2121212121212121
macron–putin,0.7534238696098328,3.3745065788978708,-0.42576180706552363,9,5,0.2121212121212121
macron–trump,0.7358540892601013,3.29531774870565,-0.4189263303470973,7,6,0.2121212121212121
merkel–putin,0.7357668280601501,3.171048838013721,-0.3441041876327416,6,7,0.2121212121212121
erdogan–trump,0.7345325350761414,3.081206088161209,-0.31865330056670266,5,8,0.2121212121212121
merkel–trump,0.7288129925727844,2.599725619513689,0.12196093429794189,4,9,0.2121212121212121
putin–trump,0.7013195753097534,4.0677963645106,-0.3503106387656758,10,10,0.2121212121212121
