pair,content_similarity,style_distance,style_cosine,style_rank,content_rank,spearman_content_vs_style_cosine
macron–merkel,0.84444659948349,2.3596962434799806,-0.07137942490874993,3,1,0.3939393939393939
erdogan–macron,0.8112021684646606,1.4218945031669725,0.4882095380647241,1,2,0.3939393939393939
erdogan–merkel,0.7773323059082031,2.062782814668855,0.09152164538532487,2,3,0.3939393939393939
erdogan–putin,0.7727352976799011,3.6152079488201903,-0.639785986235834,6,4,0.3939393939393939
macron–putin,0.7692522406578064,3.4931640863680893,-0.37963276421577424,4,5,0.3939393939393939
erdogan–trump,0.7516084909439087,3.571396098417473,-0.38152890190452404,5,6,0.3939393939393939
macron–trump,0.7485046982765198,3.8801227308178183,-0.5388476072441638,9,7,0.3939393939393939
merkel–putin,0.7359131574630737,3.766278841078099,-0.4634880637702045,8,8,0.3939393939393939
merkel–trump,0.732757568359375,3.7001320148084216,-0.2522181621338956,7,9,0.3939393939393939
putin–trump,0.722502589225769,4.108024862496359,-0.11030198084226356,10,10,0.3939393939393939
