pair,content_similarity,style_distance,style_cosine,style_rank,content_rank,spearman_content_vs_style_cosine
macron–merkel,0.871052086353302,1.7175002041198755,0.1970170413890783,2,1,0.4787878787878787
erdogan–macron,0.8569785356521606,1.5587945847185414,0.5176841881142916,1,2,0.4787878787878787
erdogan–merkel,0.8275635242462158,1.8627976997162004,0.37205004108195994,3,3,0.4787878787878787
macron–trump,0.8060958385467529,3.9377104877496225,-0.5639818347165926,7,4,0.4787878787878787
erdogan–trump,0.7955118417739868,4.5176748274197704,-0.6447763999269348,10,5,0.4787878787878787
macron–putin,0.778171718120575,3.502430763718166,-0.4722236842635339,4,6,0.4787878787878787
erdogan–putin,0.7743094563484192,4.217962311172114,-0.6817321900612694,9,7,0.4787878787878787
merkel–trump,0.7741202116012573,3.9312142824779968,-0.3525879653263175,6,8,0.4787878787878787
merkel–putin,0.761445939540863,3.8965581859825513,-0.6236865131617219,5,9,0.4787878787878787
putin–trump,0.7434664368629456,3.9785667712777077,0.10308564387076895,8,10,0.4787878787878787
