pair,content_similarity,style_distance,style_cosine,style_rank,content_rank,spearman_content_vs_style_cosine
macron–merkel,0.8714354038238525,2.059380409062164,0.13835855924242127,3,1,0.4424242424242424
erdogan–macron,0.8614678978919983,1.5384823482416667,0.4734020716081872,1,2,0.4424242424242424
erdogan–merkel,0.824084460735321,1.8662660582321422,0.4540449998067161,2,3,0.4424242424242424
macron–trump,0.8204466700553894,4.058117603334018,-0.578875549207134,6,4,0.4424242424242424
erdogan–trump,0.815531849861145,4.565566851369808,-0.657195471501257,10,5,0.4424242424242424
macron–putin,0.7884635925292969,3.34763125879569,-0.3702049554868869,4,6,0.4424242424242424
erdogan–putin,0.7829932570457458,4.102785269041087,-0.6986480880413963,7,7,0.4424242424242424
merkel–trump,0.7780966758728027,4.454992268445479,-0.4668142306253939,9,8,0.4424242424242424
merkel–putin,0.7533242106437683,4.223117451991202,-0.6749997938663673,8,9,0.4424242424242424
putin–trump,0.7523903846740723,3.8666489816753673,0.1792207352248696,5,10,0.4424242424242424
