leader,rank,emotion,mean_probability
erdogan,1,approval,0.2001
erdogan,2,optimism,0.1988
erdogan,3,desire,0.1254
erdogan,4,gratitude,0.0937
erdogan,5,admiration,0.0643
macron,1,optimism,0.22
macron,2,approval,0.214
macron,3,desire,0.1618
macron,4,gratitude,0.1371
macron,5,admiration,0.1014
merkel,1,approval,0.2423
merkel,2,optimism,0.1939
merkel,3,gratitude,0.1417
merkel,4,admiration,0.1183
merkel,5,caring,0.074
putin,1,admiration,0.2536
putin,2,caring,0.2171
putin,3,optimism,0.2169
putin,4,approval,0.2043
putin,5,desire,0.1011
trump,1,gratitude,0.2824
trump,2,approval,0.1939
trump,3,admiration,0.1907
trump,4,optimism,0.1018
trump,5,love,0.0507
