leader,rank,emotion,mean_probability
erdogan,1,optimism,0.2035
erdogan,2,approval,0.2034
erdogan,3,desire,0.1295
erdogan,4,gratitude,0.0898
erdogan,5,admiration,0.0597
macron,1,optimism,0.2191
macron,2,approval,0.2154
macron,3,desire,0.1636
macron,4,gratitude,0.1357
macron,5,admiration,0.101
merkel,1,approval,0.262
merkel,2,optimism,0.1626
merkel,3,gratitude,0.1472
merkel,4,admiration,0.125
merkel,5,desire,0.0523
putin,1,admiration,0.2578
putin,2,optimism,0.229
putin,3,caring,0.2234
putin,4,approval,0.2057
putin,5,love,0.104
trump,1,admiration,0.2338
trump,2,approval,0.2014
trump,3,gratitude,0.1945
trump,4,optimism,0.1167
trump,5,joy,0.0616
