min_cluster_size,min_samples,n_clusters,noise_share,relative_validity,is_primary
4,2,8,0.396,0.1423905297676987,False
4,3,7,0.4,0.12063574784151562,False
4,5,2,0.26,0.00181580397186701,False
5,2,8,0.396,0.1423905297676987,False
5,3,7,0.4,0.12063574784151562,False
5,5,2,0.26,0.00181580397186701,False
6,2,6,0.324,0.22878131010289418,True
6,3,6,0.42,0.11933655922081697,False
6,5,2,0.26,0.00181580397186701,False
8,2,5,0.348,0.2272222837580558,False
8,3,2,0.148,0.0037341045103492726,False
8,5,2,0.26,0.00181580397186701,False
10,2,2,0.112,0.005035145068623754,False
10,3,2,0.148,0.0037341045103492726,False
10,5,2,0.26,0.00181580397186701,False
