min_cluster_size,min_samples,n_clusters,noise_share,relative_validity,is_primary
4,2,12,0.496,0.1129063779838697,False
4,3,8,0.58,0.03639802584713818,False
4,5,6,0.664,0.03712819407716106,False
5,2,10,0.528,0.1329043890820987,False
5,3,2,0.308,0.00012256091808642114,False
5,5,2,0.444,0.00044006224808833505,False
6,2,2,0.184,0.0010839394468260164,True
6,3,2,0.308,0.00012256091808642114,False
6,5,2,0.444,0.00044006224808833505,False
8,2,2,0.184,0.0010839394468260164,False
8,3,2,0.308,0.00012256091808642114,False
8,5,4,0.692,0.02074392318854625,False
10,2,2,0.404,0.00047242535911359385,False
10,3,5,0.652,0.045977335302265256,False
10,5,3,0.728,0.00040090900414325444,False
