min_cluster_size,min_samples,n_clusters,noise_share,relative_validity,is_primary
4,2,17,0.569078947368421,0.10292050258086145,False
4,3,8,0.6743421052631579,0.04723533293881133,False
4,5,4,0.8026315789473685,0.028488656421503698,False
5,2,12,0.618421052631579,0.058962056920005126,False
5,3,8,0.6743421052631579,0.04723533293881133,False
5,5,4,0.8026315789473685,0.028488656421503698,False
6,2,9,0.5657894736842105,0.06608874581178156,True
6,3,6,0.6842105263157895,0.06565127284495692,False
6,5,4,0.8026315789473685,0.028488656421503698,False
8,2,6,0.631578947368421,0.1297683699358971,False
8,3,5,0.6644736842105263,0.06558052819006593,False
8,5,3,0.8223684210526315,0.01722280057834527,False
10,2,5,0.569078947368421,0.02381353802626759,False
10,3,5,0.6644736842105263,0.06558052819006593,False
10,5,2,0.8519736842105263,0.0002322662071424096,False
