pair,old_similarity,new_similarity,old_rank,new_rank,delta
putin–trump,0.7436143755912781,0.7434664368629456,1,10,-0.00014793872833251953
macron–merkel,0.6981232762336731,0.871052086353302,2,1,0.1729288101196289
merkel–putin,0.6782196760177612,0.761445939540863,3,9,0.0832262635231018
merkel–trump,0.6597093939781189,0.7741202116012573,4,8,0.11441081762313843
macron–putin,0.642939567565918,0.778171718120575,5,6,0.13523215055465698
macron–trump,0.6333349943161011,0.8060958385467529,6,4,0.17276084423065186
erdogan–merkel,0.6205832958221436,0.8275635242462158,7,3,0.20698022842407227
erdogan–putin,0.5949561595916748,0.7743094563484192,8,7,0.17935329675674438
erdogan–trump,0.5925218462944031,0.7955118417739868,9,5,0.20298999547958374
erdogan–macron,0.5813251733779907,0.8569785356521606,10,2,0.2756533622741699
