leader_a,leader_b,cosine_similarity,cosine_distance
putin,trump,0.7436143755912781,0.2563856244087219
macron,merkel,0.6981232762336731,0.3018767237663269
merkel,putin,0.6782196760177612,0.32178032398223877
merkel,trump,0.6597093939781189,0.3402906060218811
macron,putin,0.642939567565918,0.35706043243408203
macron,trump,0.6333349943161011,0.3666650056838989
erdogan,merkel,0.6205832958221436,0.37941670417785645
erdogan,putin,0.5949561595916748,0.4050438404083252
erdogan,trump,0.5925218462944031,0.4074781537055969
erdogan,macron,0.5813251733779907,0.4186748266220093
