leader_a,leader_b,cosine_similarity,cosine_distance
macron,merkel,0.84444659948349,0.15555340051651
erdogan,macron,0.8112021684646606,0.18879783153533936
erdogan,merkel,0.7773323059082031,0.22266769409179688
erdogan,putin,0.7727352976799011,0.22726470232009888
macron,putin,0.7692522406578064,0.2307477593421936
erdogan,trump,0.7516084909439087,0.2483915090560913
macron,trump,0.7485046982765198,0.2514953017234802
merkel,putin,0.7359131574630737,0.26408684253692627
merkel,trump,0.732757568359375,0.267242431640625
putin,trump,0.722502589225769,0.27749741077423096
