leader_a,leader_b,cosine_similarity,cosine_distance
macron,merkel,0.871052086353302,0.128947913646698
erdogan,macron,0.8569785356521606,0.14302146434783936
erdogan,merkel,0.8275635242462158,0.17243647575378418
macron,trump,0.8060958385467529,0.19390416145324707
erdogan,trump,0.7955118417739868,0.20448815822601318
macron,putin,0.778171718120575,0.22182828187942505
erdogan,putin,0.7743094563484192,0.2256905436515808
merkel,trump,0.7741202116012573,0.22587978839874268
merkel,putin,0.761445939540863,0.23855406045913696
putin,trump,0.7434664368629456,0.25653356313705444
