leader_a,leader_b,cosine_similarity,cosine_distance
macron,merkel,0.8714354038238525,0.12856459617614746
erdogan,macron,0.8614678978919983,0.1385321021080017
erdogan,merkel,0.824084460735321,0.17591553926467896
macron,trump,0.8204466700553894,0.1795533299446106
erdogan,trump,0.815531849861145,0.18446815013885498
macron,putin,0.7884635925292969,0.21153640747070312
erdogan,putin,0.7829932570457458,0.21700674295425415
merkel,trump,0.7780966758728027,0.22190332412719727
merkel,putin,0.7533242106437683,0.2466757893562317
putin,trump,0.7523903846740723,0.24760961532592773
