speech_id,erdogan1,erdogan2022,erdogan2023,erdogan2024,erdogan2025,macron2022,macron2023,macron2024,macron2025,merkel1,merkel2,merkel2020,merkel3,putin2022,putin2023,putin2024,putin2025,trump1,trump2,trump3
erdogan1,1.0,0.73922265,0.7528523,0.70938784,0.7192065,0.6667105,0.62209,0.6527703,0.6439138,0.6434457,0.6370616,0.64322174,0.65412617,0.5603555,0.5839226,0.5488993,0.5313535,0.6428112,0.5711732,0.64286083
erdogan2022,0.73922265,1.0,0.9127277,0.89483696,0.9002774,0.7480606,0.7324782,0.738461,0.70936906,0.70055455,0.66817796,0.68609405,0.7010932,0.6912712,0.6787027,0.6758348,0.6288913,0.67938346,0.60941935,0.64567524
erdogan2023,0.7528523,0.9127277,1.0,0.9271106,0.91779697,0.8008811,0.75928754,0.7838046,0.7881738,0.77414286,0.7472984,0.7692126,0.7810317,0.76227224,0.7609811,0.7394028,0.7315441,0.72124386,0.6525618,0.7337851
erdogan2024,0.70938784,0.89483696,0.9271106,1.0,0.9571227,0.7862325,0.76075274,0.77072656,0.78341603,0.7389653,0.7091725,0.7348309,0.75263566,0.7615154,0.74473894,0.7505993,0.7213598,0.6872629,0.6300667,0.68265986
erdogan2025,0.7192065,0.9002774,0.91779697,0.9571227,1.0,0.77631253,0.7416631,0.7549034,0.7633644,0.7338055,0.70094764,0.72654855,0.7460186,0.75036293,0.72432756,0.7090152,0.68969977,0.6908239,0.6367509,0.6661999
macron2022,0.6667105,0.7480606,0.8008811,0.7862325,0.77631253,1.0,0.9535561,0.95450914,0.9570804,0.81056625,0.8252104,0.849398,0.8407036,0.74878573,0.74914706,0.72681683,0.70722604,0.7293068,0.6656667,0.72694856
macron2023,0.62209,0.7324782,0.75928754,0.76075274,0.7416631,0.9535561,1.0,0.961808,0.92836547,0.7670503,0.7630652,0.7903425,0.7822582,0.71543413,0.71769696,0.7148845,0.66948026,0.69696975,0.646177,0.6887378
macron2024,0.6527703,0.738461,0.7838046,0.77072656,0.7549034,0.95450914,0.961808,1.0,0.9461708,0.79613394,0.7974704,0.8203465,0.82194453,0.7197682,0.7223434,0.72650707,0.68155944,0.71881676,0.6494615,0.71795565
macron2025,0.6439138,0.70936894,0.7881738,0.7834159,0.76336426,0.9570803,0.92836535,0.94617075,0.99999994,0.8032145,0.81515896,0.8316359,0.8382827,0.7453708,0.7369426,0.7218212,0.71289974,0.7117562,0.6501847,0.7168265
merkel1,0.6434456,0.70055467,0.77414286,0.7389653,0.73380554,0.81056625,0.7670503,0.79613405,0.8032145,0.9999999,0.9116178,0.90790856,0.9227811,0.7154872,0.70614505,0.67128474,0.6630668,0.69957817,0.63685834,0.6972349
merkel2,0.6370616,0.66817796,0.7472984,0.7091725,0.70094764,0.8252104,0.7630652,0.7974704,0.81515896,0.9116179,0.99999994,0.9416748,0.9201965,0.6863573,0.71700555,0.6678564,0.67094195,0.6841973,0.638673,0.69790393
merkel2020,0.64322174,0.68609405,0.7692126,0.7348309,0.72654855,0.849398,0.7903425,0.8203465,0.8316359,0.9079085,0.9416748,0.99999994,0.9410734,0.7062852,0.72050846,0.6972096,0.6788611,0.7054764,0.65350634,0.7098544
merkel3,0.65412617,0.7010932,0.7810317,0.75263566,0.7460186,0.8407036,0.7822582,0.82194453,0.83828276,0.92278105,0.9201965,0.9410734,1.0,0.72929084,0.7239163,0.6876105,0.6902901,0.7079993,0.62615705,0.6977691
putin2022,0.5603555,0.6912712,0.76227224,0.7615154,0.75036293,0.74878573,0.71543413,0.7197682,0.7453708,0.7154871,0.6863573,0.7062852,0.72929084,1.0,0.9367633,0.91412944,0.9303505,0.6930936,0.62604934,0.6725936
putin2023,0.5839226,0.6787027,0.7609811,0.74473894,0.72432756,0.74914706,0.71769696,0.7223434,0.7369425,0.70614517,0.71700555,0.72050846,0.7239163,0.9367633,1.0,0.9334479,0.9360011,0.6969286,0.63641727,0.6933915
putin2024,0.5488993,0.6758348,0.7394028,0.7505993,0.7090152,0.72681683,0.7148845,0.72650707,0.7218211,0.6712848,0.6678564,0.6972096,0.6876105,0.91412944,0.9334479,0.9999999,0.9340591,0.6672955,0.6194372,0.66857886
putin2025,0.5313534,0.62889135,0.73154414,0.7213596,0.6896998,0.7072261,0.6694802,0.68155944,0.71289986,0.6630667,0.670942,0.678861,0.69029,0.93035066,0.9360012,0.9340592,1.0,0.63879204,0.5936036,0.6618976
trump1,0.6428111,0.67938346,0.72124386,0.6872629,0.6908238,0.7293067,0.6969696,0.71881676,0.7117563,0.6995783,0.6841973,0.70547646,0.70799935,0.6930935,0.69692844,0.6672956,0.63879204,1.0,0.8695212,0.9236482
trump2,0.5711732,0.60941935,0.6525618,0.6300667,0.6367509,0.6656667,0.646177,0.6494615,0.6501847,0.63685834,0.638673,0.65350634,0.62615705,0.62604934,0.63641727,0.6194372,0.5936036,0.8695212,1.0,0.8554549
trump3,0.64286083,0.64567524,0.7337851,0.68265986,0.6661999,0.72694856,0.6887378,0.71795565,0.7168265,0.6972349,0.69790393,0.7098544,0.6977691,0.6725936,0.6933915,0.66857886,0.6618976,0.9236482,0.8554549,1.0
